"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"21","Han conquest of Gojoseon","battle_19503687","needs_review","26","1","18","7","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family|extraction_confidence","Han conquest of Gojoseon","19503687","full_parse_fallback",""
"25","Han conquest of Nanyue","battle_38024939","needs_review","27","1","18","8","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Han conquest of Nanyue","38024939","full_parse_fallback",""
"41","Han conquest of Dian","battle_39899639","needs_review","23","1","14","8","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Han conquest of Dian","39899639","full_parse_fallback",""
"121","Battle of Xiapi","battle_8149150","needs_review","3","1","2","0","invalid_result_type","latitude|longitude","","Battle of Xiapi","8149150","wikitext_batch",""
"145","Battle of Anyi","battle_60236241","needs_review","7","1","2","4","invalid_result_type","latitude|longitude","page_type_confidence|classification_notes|acceptance_reason|categories","Battle of Anyi","60236241","wikitext_batch",""
"155","Battle of White Wolf Mountain","battle_23602094","needs_review","5","1","0","4","invalid_result_type","","page_type_confidence|classification_notes|acceptance_reason|categories","Battle of White Wolf Mountain","23602094","wikitext_batch",""
"199","Battle of Cannae","battle_157814","needs_review","1","1","0","0","invalid_result_type","","","Battle of Cannae","157814","wikitext_batch",""
"230","Battle of Sellasia","battle_2011100","needs_review","1","1","0","0","invalid_result_type","","","Battle of Sellasia","2011100","wikitext_batch",""
"233","Battle of Telamon","battle_2472426","needs_review","23","0","18","5","","location_raw|location_normalized|latitude|longitude|result_raw|result_normalized|result_type|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_b_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Telamon","2472426","wikitext_batch",""
"248","Invasions of Epidamnus","battle_42523928","needs_review","23","1","14","8","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_b_raw|casualties_side_a_raw|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Invasions of Epidamnus","42523928","full_parse_fallback",""
