"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"21","Han conquest of Gojoseon","battle_19503687","needs_review","26","1","18","7","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family|extraction_confidence","Han conquest of Gojoseon","19503687","full_parse_fallback",""
"25","Han conquest of Nanyue","battle_38024939","needs_review","27","1","18","8","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Han conquest of Nanyue","38024939","full_parse_fallback",""
"36","Herodium","battle_1353923","needs_review","11","0","4","7","","latitude|longitude|result_raw|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Herodium","1353923","wikitext_batch",""
"41","Han conquest of Dian","battle_39899639","needs_review","23","1","14","8","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Han conquest of Dian","39899639","full_parse_fallback",""
"44","Han campaigns against Minyue","battle_39871561","needs_review","9","0","4","5","","location_raw|location_normalized|result_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Han campaigns against Minyue","39871561","wikitext_batch",""
"79","Battle of Carnuntum","battle_43073087","needs_review","11","0","6","5","","date_raw|location_raw|location_normalized|casualties_side_b_raw|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Carnuntum","43073087","wikitext_batch",""
"85","Shunga–Greek War","battle_75336898","needs_review","8","2","2","4","date_field_mismatch:start_date|missing_commanders","start_date|commander_side_b_raw","page_type_confidence|classification_notes|acceptance_reason|categories","Shunga–Greek War","75336898","wikitext_batch",""
"233","Battle of Telamon","battle_2472426","needs_review","23","0","18","5","","location_raw|location_normalized|latitude|longitude|result_raw|result_normalized|result_type|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_b_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Telamon","2472426","wikitext_batch",""
"241","Zhuge Liang's Northern Expeditions","battle_994822","needs_review","13","1","7","5","suspicious_commander_count","date_raw|location_raw|location_normalized|result_raw|commander_side_a_raw|commander_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Zhuge Liang's Northern Expeditions","994822","wikitext_batch",""
"245","Cleomenean War","battle_12833892","needs_review","14","0","6","8","","date_raw|war_name|belligerent_1_raw|belligerent_2_raw|commander_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family","Cleomenean War","12833892","wikitext_batch",""
