"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"2","Air assault","battle_1042730","needs_review","3","3","0","0","likely_false_positive_generic_topic|missing_field|weak_row_no_infobox_no_result","","","Air assault","1042730","wikitext_batch",""
"21","Han conquest of Gojoseon","battle_19503687","needs_review","26","1","18","7","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family|extraction_confidence","Han conquest of Gojoseon","19503687","full_parse_fallback",""
"25","Han conquest of Nanyue","battle_38024939","needs_review","27","1","18","8","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Han conquest of Nanyue","38024939","full_parse_fallback",""
"41","Han conquest of Dian","battle_39899639","needs_review","23","1","14","8","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|strength_side_a_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Han conquest of Dian","39899639","full_parse_fallback",""
"248","Invasions of Epidamnus","battle_42523928","needs_review","23","1","14","8","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_b_raw|casualties_side_a_raw|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Invasions of Epidamnus","42523928","full_parse_fallback",""
"276","Fall of Hatra","battle_60244524","needs_review","18","1","13","4","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Fall of Hatra","60244524","full_parse_fallback",""
"314","Roman withdrawal from Africa (255 BC)","battle_51240628","needs_review","36","1","27","8","rejected_candidate","date_raw|year|century|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Roman withdrawal from Africa (255 BC)","51240628","full_parse_fallback",""
"537","Conquest of Former Yan by Former Qin","battle_80140575","needs_review","28","1","23","4","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Conquest of Former Yan by Former Qin","80140575","full_parse_fallback",""
"610","Conquest of Southern Yan by Jin","battle_67299146","needs_review","28","1","19","8","rejected_candidate","date_raw|year|century|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Conquest of Southern Yan by Jin","67299146","full_parse_fallback",""
"842","Sack of Apamea","battle_79832818","needs_review","25","1","16","8","rejected_candidate","date_raw|year|war_name|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","Sack of Apamea","79832818","full_parse_fallback",""
