"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"2","Air assault","battle_1042730","needs_review","3","3","0","0","likely_false_positive_generic_topic|missing_field|weak_row_no_infobox_no_result","","","Air assault","1042730","wikitext_batch",""
"119","Zhang Xiu (warlord)","battle_1221271","ok","1","1","0","0","missing_field","","","Zhang Xiu (warlord)","1221271","wikitext_batch",""
"192","Macedonian Wars","battle_838382","needs_review","3","2","0","1","missing_field|weak_row_no_infobox_no_result","","text_length","Macedonian Wars","838382","wikitext_batch",""
"224","Lyttian War","battle_55352287","ok","6","2","0","4","missing_commanders|missing_field","","page_type_confidence|classification_notes|acceptance_reason|categories","Lyttian War","55352287","wikitext_batch",""
"262","Gothic wars","battle_3019689","ok","6","2","0","4","missing_commanders|missing_field","","list_page_origin|parent_list_page|discovery_root|source_family","Gothic wars","3019689","wikitext_batch",""
"346","Roman–Gallic wars","battle_37427719","needs_review","2","2","0","0","missing_field|weak_row_no_infobox_no_result","","","Roman–Gallic wars","37427719","wikitext_batch",""
"389","Tonkawa massacre","battle_28131408","needs_review","6","2","0","4","missing_field|weak_row_no_infobox_no_result","","list_page_origin|parent_list_page|discovery_root|source_family","Tonkawa massacre","28131408","wikitext_batch",""
"433","Goguryeo–Yan Wars","battle_11429068","ok","1","1","0","0","missing_field","","","Goguryeo–Yan Wars","11429068","wikitext_batch",""
"463","Popular Front for the Liberation of Palestine – General Command","battle_88176","needs_review","10","1","6","3","missing_field","date_raw|start_date|year|century|war_name|notes","acceptance_reason|text_length|categories","Popular Front for the Liberation of Palestine – General Command","88176","wikitext_batch",""
"495","Principles of war","battle_1968575","needs_review","2","2","0","0","missing_field|weak_row_no_infobox_no_result","","","Principles of war","1968575","wikitext_batch",""
"498","United Nations Disengagement Observer Force","battle_6025104","needs_review","3","1","2","0","missing_field","latitude|longitude","","United Nations Disengagement Observer Force","6025104","wikitext_batch",""
"596","Phyle Campaign","battle_20796973","needs_review","2","2","0","0","missing_field|weak_row_no_infobox_no_result","","","Phyle Campaign","20796973","wikitext_batch",""
"629","Vandal war of 422","battle_58295375","ok","5","1","0","4","missing_field","","list_page_origin|parent_list_page|discovery_root|source_family","Vandal war of 422","58295375","wikitext_batch",""
"803","Political warfare","battle_41249186","needs_review","3","2","0","1","missing_field|weak_row_no_infobox_no_result","","text_length","Political warfare","41249186","wikitext_batch",""
"816","Sieges of Petra, Lazica","battle_60087609","needs_review","10","2","0","8","missing_field|weak_row_no_infobox_no_result","","page_type_confidence|classification_notes|acceptance_reason|categories|list_page_origin|parent_list_page|discovery_root|source_family","Sieges of Petra, Lazica","60087609","wikitext_batch",""
"853","Capture of Breda (1581)","battle_7468150","needs_review","6","2","0","4","missing_field|weak_row_no_infobox_no_result","","list_page_origin|parent_list_page|discovery_root|source_family","Capture of Breda (1581)","7468150","wikitext_batch",""
"926","Expedition of Tabuk","battle_416058","needs_review","2","2","0","0","missing_field|weak_row_no_infobox_no_result","","","Expedition of Tabuk","416058","wikitext_batch",""
"938","Military career of Muhammad","battle_1204154","needs_review","5","1","1","3","missing_field","notes","acceptance_reason|text_length|categories","Military career of Muhammad","1204154","wikitext_batch",""
