rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1,95.23523670082967,elite,acmd_94064b179f40,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,34,15,0,2,17,25,0.7352941176470589,0.6051995057369856,99.85358711566617,90.56857003416302,96.5592972181552,97.9502196193265,99.0117130307467,49.194729136163986,45,0.31972789115646255,war_campaign_heavy,
2,93.78550512445096,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,24,18,0,1,5,20,0.8333333333333334,0.588291836745161,99.78038067349927,90.15373352855052,87.70131771595901,97.43777452415813,83.08931185944363,74.23133235724744,28,0.11330049261083742,battle_dominant,
3,93.12884333821377,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,74,63,0,6,5,62,0.8378378378378378,0.5075910421354246,98.46266471449488,90.59297218155199,80.30746705710102,100.0,96.04685212298682,72.32796486090776,22,0.07045370711914423,battle_dominant,
4,88.78794533918985,very_strong,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,38,18,5,13,2,33,0.868421052631579,0.46225591949509176,95.31478770131771,95.91264031234749,52.19619326500732,99.26793557833089,99.85358711566617,74.15812591508053,10,0.3803786574870912,mixed_profile,
5,88.7747681795998,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,21,8,0,1,12,11,0.5238095238095238,0.49602866869699647,98.38945827232797,73.32845290385553,87.70131771595901,90.77598828696925,95.93704245973646,46.120058565153734,28,0.37254901960784315,war_campaign_heavy,
6,87.82930697901415,very_strong,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,27,16,0,3,8,21,0.7777777777777778,0.5344861177889968,99.34114202049781,73.32845290385553,71.63250366032212,97.2181551976574,93.59443631039531,59.443631039531475,18,0.19597989949748745,mixed_profile,
7,87.56979014153245,very_strong,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,25,19,0,3,3,21,0.84,0.4897827509963775,97.36456808199122,71.24206930209859,80.30746705710102,97.80380673499268,84.33382137628112,65.51976573938506,22,0.1131855309218203,battle_dominant,
8,86.38518789653492,very_strong,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,29,24,0,1,4,26,0.896551724137931,0.6315605997223246,99.9267935578331,73.56027330405075,60.57833089311859,98.75549048316252,72.98682284040996,84.11420204978039,13,0.06523855890944498,battle_dominant,
9,85.69241093216202,very_strong,acmd_8859ec6c1865,Babur,https://en.wikipedia.org/wiki/Babur,early_modern,16,11,0,2,3,8,0.5,0.36740698574329683,86.82284040995609,89.06783796974133,93.5212298682284,91.10541727672035,81.14934114202049,20.021961932650072,35,0.16349809885931557,mixed_profile,
10,85.41752074182527,very_strong,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,14,12,0,1,1,11,0.7857142857142857,0.4448413687797877,94.87554904831626,72.0473401659346,91.8740849194729,90.92240117130308,47.80380673499268,64.31185944363104,32,0.06976744186046512,battle_dominant,
