battle_id,battle_name,wikipedia_title,side,raw_text,issue_type,details
battle_63509993,Siege of the fortress at Muluccha,Siege of the fortress at Muluccha,side_b,Unknown Numidian commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_4534026,Battle of Loulan,Battle of Loulan,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_9292796,Siege of Thala,Siege of Thala,side_b,Unknown Numidian commander,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_79629525,Sunpadh Rebellion,Sunpadh Rebellion,side_a,Abbasid banner.svg جمهور بن مرار العجلي Abbasid banner.svg عمر بن العلاء,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_79629525,Sunpadh Rebellion,Sunpadh Rebellion,side_b,Red flag.svg Sunpadh,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_54202353,Burnswark Hill,Burnswark Hill,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_23223203,Battle of Manlian Pass,Battle of Manlian Pass,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_6906551,First Celtiberian War,First Celtiberian War,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_12575824,Battle of Mount Olympus,Battle of Mount Olympus,side_a,-,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_25792603,Battle of Mutina (193 BC),Battle of Mutina (193 BC),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_37135902,Battle of Carteia,Battle of Carteia,side_a,19px Lucius Marcius Septimus,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_37135902,Battle of Carteia,Battle of Carteia,side_b,12px Hanno,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_57689505,Battle of Petelia,Battle of Petelia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_57836104,Battle of Silva Litana,Battle of Silva Litana,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8449905,Battle of Lilybaeum,Battle of Lilybaeum,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_12962824,Battle of the Rhône Crossing,Battle of the Rhône Crossing,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5836293,Siege of Saguntum,Siege of Saguntum,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_3167375,Battle of Faesulae (225 BC),Battle of Faesulae (225 BC),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_42514748,Battle of Phoenice,Battle of Phoenice,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_42513975,Siege of Medion,Siege of Medion,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_25177352,Battle at the Harzhorn,Battle at the Harzhorn,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_39140192,Siege of Nisibis (237),Siege of Nisibis (237),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_37272121,Battle of the Caecus River,Battle of the Caecus River,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_57087186,Siege of Nisibis (252),Siege of Nisibis (252),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_39147951,Siege of Antioch (253),Siege of Antioch (253),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_9978816,Battle of Thermopylae (254),Battle of Thermopylae (254),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58021010,Siege of Thessalonica (254),Siege of Thessalonica (254),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58021010,Siege of Thessalonica (254),Siege of Thessalonica (254),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_51240628,Roman withdrawal from Africa (255 BC),Roman withdrawal from Africa (255 BC),side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_20681480,Siege of Aspis,Siege of Aspis,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_39831094,Siege of Dura-Europos (256),Siege of Dura-Europos (256),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_8009553,Battle of Mediolanum,Battle of Mediolanum,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_1973930,Kalinga War,Kalinga War,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_51306,Battle of Lake Benacus,Battle of Lake Benacus,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
