row_number,wikipedia_title,battle_id,status,blocker_count,blockers,rebuild_mode
1,Caratacus' last battle,battle_1269828,ok,0,,wikitext
2,Battle of Vercellae,battle_1187231,ok,0,,wikitext
3,Third Battle of Tapae,battle_5905704,ok,0,,wikitext
4,Trajan's Dacian Wars,battle_1711717,ok,0,,wikitext
5,Trajan's First Dacian War,battle_8467905,ok,0,,wikitext
6,Battle of Adamclisi,battle_5999960,ok,0,,wikitext
7,Battle of Aquae Sextiae,battle_2224425,ok,0,,wikitext
8,Battle of Tridentum,battle_61275535,ok,0,,wikitext
9,Second Servile War,battle_895420,ok,0,,wikitext
10,War of the Heavenly Horses,battle_34184306,ok,0,,wikitext
11,Battle of Arausio,battle_1406206,ok,0,,wikitext
12,Trajan's Second Dacian War,battle_8468666,ok,0,,wikitext
13,Battle of Sarmizegetusa,battle_30863164,ok,0,,wikitext
14,Second Battle of Cirta,battle_61309241,ok,0,,wikitext
15,Siege of the fortress at Muluccha,battle_63509993,ok,0,,wikitext
16,Battle of Burdigala,battle_36242133,ok,0,,wikitext
17,Battle of Loulan,battle_4534026,ok,0,,wikitext
18,Siege of Thala,battle_9292796,ok,0,,wikitext
19,Battle of the Muthul,battle_3122531,ok,0,,wikitext
20,Han conquest of Gojoseon,battle_19503687,ok,0,,wikitext
21,Siege of Zama,battle_63570699,ok,0,,wikitext
22,Battle of Suthul,battle_9292775,ok,0,,wikitext
23,Operation Blue Star,battle_311735,ok,0,,wikitext
24,Han conquest of Nanyue,battle_38024939,ok,0,,wikitext
25,Jugurthine War,battle_558453,ok,0,,wikitext
26,Battle of Noreia,battle_3204588,ok,0,,wikitext
27,Cimbrian War,battle_3211844,ok,0,,wikitext
28,Siege of Cirta,battle_58038666,ok,0,,wikitext
29,Trajan's Parthian campaign,battle_48463035,ok,0,,wikitext
30,Kitos War,battle_1956203,ok,0,,wikitext
31,Battle of Mobei,battle_4548076,ok,0,,wikitext
32,Battle of Vindalium,battle_47799038,ok,0,,wikitext
33,Battle of the Isère River,battle_64636633,ok,0,,wikitext
34,Battle of Ecbatana,battle_3134575,ok,0,,wikitext
35,Herodium,battle_1353923,ok,0,,wikitext
36,Battle of Mayi,battle_4534946,ok,0,,wikitext
37,Han–Xiongnu Wars,battle_4626624,ok,0,,wikitext
38,Siege of Numantia,battle_6469947,ok,0,,wikitext
39,First Servile War,battle_229562,ok,0,,wikitext
40,Han conquest of Dian,battle_39899639,ok,0,,wikitext
41,Jewish–Roman wars,battle_1356252,ok,0,,wikitext
42,Sunpadh Rebellion,battle_79629525,ok,0,,wikitext
43,Han campaigns against Minyue,battle_39871561,ok,0,,wikitext
44,Siege of Dong'ou,battle_82484704,ok,0,,wikitext
45,Burnswark Hill,battle_54202353,ok,0,,wikitext
46,Numantine War,battle_6469951,ok,0,,wikitext
47,Battle of the Oenoparus,battle_2462997,ok,0,,wikitext
48,Achaean War,battle_31697331,ok,0,,wikitext
49,Battle of Corinth (146 BC),battle_2924155,ok,0,,wikitext
50,Battle of Scarpheia,battle_42545487,ok,0,,wikitext
51,Battle of Nepheris (147 BC),battle_36192780,ok,0,,wikitext
52,Battle of the Port of Carthage,battle_36193794,ok,0,,wikitext
53,Battle of Pydna (148 BC),battle_3154899,ok,0,,wikitext
54,Battle of Lake Tunis,battle_51804400,ok,0,,wikitext
55,Siege of Carthage (Third Punic War),battle_266649,ok,0,,wikitext
56,Third Punic War,battle_57551,ok,0,,wikitext
57,Fourth Macedonian War,battle_242356,ok,0,,wikitext
58,Battle of Oroscopa,battle_68318828,ok,0,,wikitext
59,Rebellion of the Seven States,battle_356163,ok,0,,wikitext
60,Lusitanian Wars,battle_6906723,ok,0,,wikitext
61,Battle of Elasa,battle_1066080,ok,0,,wikitext
62,Battle of Adasa,battle_3158121,ok,0,,wikitext
63,Battle of Vijithapura,battle_24968386,ok,0,,wikitext
64,Roman–Parthian War of 161–166,battle_24344027,ok,0,,wikitext
65,Battle of Beth Zechariah,battle_997586,ok,0,,wikitext
66,Siege of Edessa (163),battle_60182017,ok,0,,wikitext
67,Battle of Beth Zur,battle_3161575,ok,0,,wikitext
68,Battle of Ctesiphon (165),battle_11056490,ok,0,,wikitext
69,Battle of Emmaus,battle_1219004,ok,0,,wikitext
70,Siege of Edessa (165),battle_60181825,ok,0,,wikitext
71,Battle of Beth Horon (166 BC),battle_3134442,ok,0,,wikitext
72,Marcomannic Wars,battle_3891002,ok,0,,wikitext
73,Battle of the Ascent of Lebonah,battle_12012137,ok,0,,wikitext
74,Battle of Pydna,battle_89348,ok,0,,wikitext
75,Siege of Bassania,battle_74010056,ok,0,,wikitext
76,Siege of Eucratideia,battle_56076826,ok,0,,wikitext
77,Battle of Carnuntum,battle_43073087,ok,0,,wikitext
78,Battle of Callinicus,battle_3171968,ok,0,,wikitext
79,Third Macedonian War,battle_242354,ok,0,,wikitext
80,Battle of Jwawon,battle_13669453,ok,0,,wikitext
81,Dardanian–Bastarnic war,battle_58552605,ok,0,,wikitext
82,Battle of Manlian Pass,battle_23223203,ok,0,,wikitext
83,Shunga–Greek War,battle_75336898,ok,0,,wikitext
84,First Celtiberian War,battle_6906551,ok,0,,wikitext
85,Liang Province rebellion,battle_27059644,ok,0,,wikitext
86,Yellow Turban Rebellion,battle_247676,ok,0,,wikitext
87,Battle of Mount Olympus,battle_12575824,ok,0,,wikitext
88,Galatian War,battle_12156744,ok,0,,wikitext
89,Battle of Magnesia,battle_264291,ok,0,,wikitext
90,Battle of Myonessus,battle_3172074,ok,0,,wikitext
91,Battle of Venni,battle_46781816,ok,0,,wikitext
92,Battle of Xingyang (190),battle_16682497,ok,0,,wikitext
93,Battle of the Eurymedon (190 BC),battle_3122739,ok,0,,wikitext
94,Campaign against Dong Zhuo,battle_7348577,ok,0,,wikitext
95,Battle of Corycus,battle_66087144,ok,0,,wikitext
96,Battle of Jieqiao,battle_779078,ok,0,,wikitext
97,Battle of Thermopylae (191 BC),battle_3131620,ok,0,,wikitext
98,Battle of Xiangyang (191),battle_12598168,ok,0,,wikitext
99,Battle of Yangcheng,battle_18570214,ok,0,,wikitext
100,Battle of Chang'an,battle_63204052,ok,0,,wikitext
101,Roman–Seleucid war,battle_9476356,ok,0,,wikitext
102,Battle of Fengqiu,battle_18352025,ok,0,,wikitext
103,Battle of Mutina (193 BC),battle_25792603,ok,0,,wikitext
104,Battle of Issus (194),battle_3125814,ok,0,,wikitext
105,Battle of Placentia (194 BC),battle_3172517,ok,0,,wikitext
106,Battle of Yan Province,battle_12616314,ok,0,,wikitext
107,Roman–Parthian War of 194–198,battle_78942054,ok,0,,wikitext
108,Siege of Gythium,battle_2993524,ok,0,,wikitext
109,War against Nabis,battle_7996519,ok,0,,wikitext
110,Battle of Cynoscephalae,battle_89309,ok,0,,wikitext
111,Battle of Lugdunum,battle_2315588,ok,0,,wikitext
112,Campaign against Yuan Shu,battle_18683791,ok,0,,wikitext
113,Siege of Hatra (197–198),battle_79812805,ok,0,,wikitext
114,War between Cao Cao and Zhang Xiu,battle_7615332,ok,0,,wikitext
115,Battle of Ctesiphon (198),battle_11056518,ok,0,,wikitext
116,Battle of Xiapi,battle_8149150,ok,0,,wikitext
117,Battle of Yijing,battle_5612207,ok,0,,wikitext
118,Battle of Baideng,battle_1647186,ok,0,,wikitext
119,Battle of Cremona (200 BC),battle_3175423,ok,0,,wikitext
120,Battle of Guandu,battle_245524,ok,0,,wikitext
121,Battle of Panium,battle_3158347,ok,0,,wikitext
122,Second Macedonian War,battle_242353,ok,0,,wikitext
123,Battle of Chios (201 BC),battle_3158092,ok,0,,wikitext
124,Battle of Lade (201 BC),battle_6080202,ok,0,,wikitext
125,War of the Armenian Succession (201–200 BC),battle_80402476,ok,0,,wikitext
126,Battle of Bowang,battle_8755756,ok,0,,wikitext
127,Battle of Liyang,battle_31848054,ok,0,,wikitext
128,Battle of Zama,battle_164286,ok,0,,wikitext
