rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
1,99.23157162726008,elite,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,24,23,0.9583333333333334,0.5791381934628616,99.86091794158554,98.26147426981919,98.33101529902642,12,13,battle_dominant,
2,98.3518776077886,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,63,57,0.9047619047619048,0.4878821054122924,99.02642559109874,100.0,92.90681502086231,22,22,battle_dominant,
3,98.15716272600834,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,18,17,0.9444444444444444,0.5400162499955145,99.72183588317107,95.54937413073714,96.24478442280946,11,28,battle_dominant,
4,97.11404728789985,elite,acmd_70fd3b0db695,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,20,17,0.85,0.53634103265725,99.58275382475661,96.59248956884562,88.10848400556328,4,37,battle_dominant,
5,96.80806675938804,elite,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,39,31,0.7948717948717948,0.618181610542518,100.0,99.58275382475661,79.41585535465924,17,13,battle_dominant,
6,96.60639777468707,elite,acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,17,16,0.9411764705882353,0.43868655932734,97.77468706536857,94.22809457579973,95.8970792767733,8,14,battle_dominant,
7,96.23783031988874,elite,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,18,17,0.9444444444444444,0.4148708660624078,96.52294853963839,95.54937413073714,96.24478442280946,5,17,battle_dominant,
8,96.1578581363004,elite,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,13,12,0.9230769230769231,0.5294117647058824,99.44367176634215,88.5952712100139,95.61891515994436,5,30,battle_dominant,
9,95.05563282336578,elite,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,34,33,0.9705882352941176,0.3807915504735138,92.48956884561892,99.16550764951322,98.47009735744089,11,36,battle_dominant,
10,95.00347705146035,elite,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,19,15,0.7894736842105263,0.47426156073133197,98.47009735744089,96.24478442280946,79.0681502086231,7,22,battle_dominant,
11,94.31849791376912,elite,acmd_eec0f4ec373e,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,18,17,0.9444444444444444,0.393146698137012,93.3240611961057,95.54937413073714,96.24478442280946,8,16,battle_dominant,
12,93.47357440890124,elite,acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,40,34,0.85,0.37505199211999246,92.21140472878999,99.72183588317107,88.10848400556328,17,17,battle_dominant,
13,93.41098748261474,elite,acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,11,10,0.9090909090909091,0.43803586782469106,97.63560500695411,83.24061196105703,93.46314325452016,2,14,battle_dominant,
14,93.32753824756607,elite,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,16,13,0.8125,0.43688773556418165,96.66203059805285,92.62865090403338,81.15438108484005,8,18,battle_dominant,
15,92.24617524339361,elite,acmd_b870b50798ee,Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,9,9,1.0,0.4821428571428572,98.81780250347705,73.36578581363004,97.4269819193324,6,3,battle_dominant,
16,92.24617524339361,elite,acmd_9acc0b2c5ac1,Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,9,9,1.0,0.4821428571428572,98.81780250347705,73.36578581363004,97.4269819193324,8,1,battle_dominant,
17,92.12100139082058,elite,acmd_7be260f9e007,Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,9,9,1.0,0.4821428571428571,98.60917941585535,73.36578581363004,97.4269819193324,2,7,battle_dominant,
18,92.02712100139082,elite,acmd_94064b179f40,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,15,11,0.7333333333333333,0.4915190967091002,99.16550764951322,91.30737134909597,64.67315716272601,12,45,battle_dominant,
19,91.86022253129347,elite,acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,17,12,0.7058823529411765,0.44350399214957154,97.91376912378304,94.22809457579973,63.69958275382476,9,37,battle_dominant,
20,91.54728789986092,elite,acmd_ad691790bfae,Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,17,14,0.8235294117647058,0.38582706360079166,92.90681502086231,94.22809457579973,81.64116828929068,7,4,battle_dominant,
21,91.10222531293464,elite,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,12,10,0.8333333333333334,0.4024014797582174,94.01947148817803,86.4394993045897,87.20445062586927,9,30,battle_dominant,
22,90.36856745479832,elite,acmd_dbaafbd66e5b,Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,21,20,0.9523809523809523,0.3373248936800321,86.09179415855354,96.94019471488178,96.52294853963839,4,18,battle_dominant,
23,89.86439499304589,very_strong,acmd_8ff67c26331f,Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,22,20,0.9090909090909091,0.33488984389006493,85.81363004172462,97.4269819193324,93.46314325452016,13,19,battle_dominant,
24,89.54450625869262,very_strong,acmd_4ed31628d983,Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,15,15,1.0,0.3389793634032282,86.36995827538247,91.30737134909597,99.30458970792768,6,31,battle_dominant,
25,89.44019471488178,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,8,8,1.0,0.46153846153846156,98.12239221140473,65.43810848400557,94.71488178025035,3,25,battle_dominant,
26,89.38803894297635,very_strong,acmd_ac43c188bcf2,Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,9,8,0.8888888888888888,0.4615384615384616,98.33101529902642,73.36578581363004,80.31988873435327,6,27,battle_dominant,
27,89.26286509040334,very_strong,acmd_956599c6e40d,John Monash,https://en.wikipedia.org/wiki/John_Monash,world_wars,9,8,0.8888888888888888,0.46153846153846156,98.12239221140473,73.36578581363004,80.31988873435327,5,0,battle_dominant,
28,88.8212795549374,very_strong,acmd_f47199d981fc,Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,11,9,0.8181818181818182,0.4126613830757829,96.38386648122392,83.24061196105703,67.87204450625869,9,26,battle_dominant,
29,88.50834492350485,very_strong,acmd_6970e6b60c26,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,20,10,0.5,0.5,99.30458970792768,96.59248956884562,31.84979137691238,5,25,battle_dominant,
30,86.26216968011126,very_strong,acmd_8efa327f7649,Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,12,10,0.8333333333333334,0.3351944553278827,85.95271210013908,86.4394993045897,87.20445062586927,6,18,battle_dominant,
31,86.07788595271211,very_strong,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,18,16,0.8888888888888888,0.33161958649410245,80.52851182197497,95.54937413073714,92.48956884561892,12,8,battle_dominant,
32,85.96662030598053,very_strong,acmd_cad827cf336f,Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,9,8,0.8888888888888888,0.3828244431313416,92.62865090403338,73.36578581363004,80.31988873435327,4,17,battle_dominant,
33,85.615438108484,very_strong,acmd_4553085c23c9,Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,12,8,0.6666666666666666,0.4004607837121331,93.88038942976355,86.4394993045897,51.18219749652295,9,3,battle_dominant,
34,85.57371349095966,very_strong,acmd_eb09136d57ea,Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,10,7,0.7,0.4375000000000001,97.4269819193324,79.34631432545201,48.53963838664812,2,14,battle_dominant,
35,85.44853963838663,very_strong,acmd_728cd65a1773,Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,12,8,0.6666666666666666,0.39733607802409526,93.60222531293462,86.4394993045897,51.18219749652295,8,1617,battle_dominant,
36,85.36509040333796,very_strong,acmd_8a9267fb6cd4,John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,10,8,0.8,0.39183113481908094,93.18497913769124,79.34631432545201,64.11682892906815,7,19,battle_dominant,
37,85.32336578581362,very_strong,acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,10,7,0.7,0.4375,97.00973574408901,79.34631432545201,48.53963838664812,2,21,battle_dominant,
38,85.2712100139082,very_strong,acmd_882696f48db2,Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,10,9,0.9,0.34613839179548556,86.78720445062586,79.34631432545201,89.08205841446454,4,30,battle_dominant,
39,84.70445062586927,very_strong,acmd_33aa25cc2331,Karađorđe Petrović,https://en.wikipedia.org/wiki/Kara%C4%91or%C4%91e,revolutionary_napoleonic,8,7,0.875,0.4375000000000001,97.4269819193324,65.43810848400557,65.92489568845619,3,6,battle_dominant,
40,84.45410292072323,very_strong,acmd_bc6e506fb448,Charles Mangin,https://en.wikipedia.org/wiki/Charles_Mangin,world_wars,8,7,0.875,0.4375,97.00973574408901,65.43810848400557,65.92489568845619,6,6,battle_dominant,
41,84.45410292072323,very_strong,acmd_593794f5ce40,Prince Friedrich Karl of Prussia,https://en.wikipedia.org/wiki/Prince_Friedrich_Karl_of_Prussia_(1828-1885),long_nineteenth_century,8,7,0.875,0.4375,97.00973574408901,65.43810848400557,65.92489568845619,4,7,battle_dominant,
42,84.384561891516,very_strong,acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,12,7,0.5833333333333334,0.4375,97.00973574408901,86.4394993045897,30.45897079276773,6,32,battle_dominant,
43,84.00904033379693,very_strong,acmd_6708954ecbb0,Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,12,9,0.75,0.3634077752164422,88.03894297635605,86.4394993045897,63.83866481223922,7,20,battle_dominant,
44,83.12934631432545,very_strong,acmd_cf14a194e3dc,Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,9,8,0.8888888888888888,0.36236786654546915,87.89986091794158,73.36578581363004,80.31988873435327,9,17,battle_dominant,
45,82.85813630041724,very_strong,acmd_c2011f41d49c,Erich Hoepner,https://en.wikipedia.org/wiki/Erich_Hoepner,world_wars,9,7,0.7777777777777778,0.3859521758176572,93.04589707927677,73.36578581363004,57.92767732962448,6,2,battle_dominant,
