rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
1,99.96674057649668,elite,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,39,31,0.7948717948717948,0.618181610542518,100.0,99.86696230598669,,17,13,battle_dominant,
2,99.8170731707317,elite,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,24,23,0.9583333333333334,0.5791381934628616,99.95565410199556,99.40133037694014,,12,13,battle_dominant,
3,99.76718403547672,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,63,57,0.9047619047619048,0.4878821054122924,99.68957871396896,100.0,,22,22,battle_dominant,
4,99.61751662971174,elite,acmd_70fd3b0db695,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,20,17,0.85,0.53634103265725,99.86696230598669,98.86917960088691,,4,37,battle_dominant,
5,99.55654101995566,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,18,17,0.9444444444444444,0.5400162499955145,99.91130820399114,98.49223946784922,,11,28,battle_dominant,
6,99.55099778270511,elite,acmd_6970e6b60c26,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,20,10,0.5,0.5,99.77827050997783,98.86917960088691,,5,25,battle_dominant,
7,99.31818181818183,elite,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,19,15,0.7894736842105263,0.47426156073133197,99.51219512195122,98.73614190687361,,7,22,battle_dominant,
8,99.06873614190687,elite,acmd_94064b179f40,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,15,11,0.7333333333333333,0.4915190967091002,99.73392461197339,97.07317073170731,,12,45,battle_dominant,
9,99.01884700665188,elite,acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,17,12,0.7058823529411765,0.44350399214957154,99.33481152993349,98.0709534368071,,9,37,battle_dominant,
10,98.98558758314856,elite,acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,17,16,0.9411764705882353,0.43868655932734,99.29046563192905,98.0709534368071,,8,14,battle_dominant,
11,98.89135254988912,elite,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,13,12,0.9230769230769231,0.5294117647058824,99.82261640798225,96.09756097560975,,5,30,battle_dominant,
12,98.79157427937916,elite,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,18,17,0.9444444444444444,0.4148708660624078,98.89135254988913,98.49223946784922,,5,17,battle_dominant,
13,98.58647450110865,elite,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,16,13,0.8125,0.43688773556418165,98.93569844789357,97.53880266075387,,8,18,battle_dominant,
14,98.13747228381375,elite,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,34,33,0.9705882352941176,0.3807915504735138,97.60532150776054,99.73392461197339,,11,36,battle_dominant,
15,98.12084257206209,elite,acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,12,7,0.5833333333333334,0.4375,99.04656319290466,95.34368070953437,,6,32,battle_dominant,
16,98.12084257206209,elite,acmd_b843c9060a65,Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,long_nineteenth_century,24,7,0.2916666666666667,0.38472458236854273,97.6940133037694,99.40133037694014,,3,3,battle_dominant,
17,98.11529933481154,elite,acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,40,34,0.85,0.37505199211999246,97.51662971175166,99.91130820399114,,17,17,battle_dominant,
18,98.02660753880266,elite,acmd_eec0f4ec373e,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,18,17,0.9444444444444444,0.393146698137012,97.87139689578714,98.49223946784922,,8,16,battle_dominant,
19,97.99334811529934,elite,acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,11,10,0.9090909090909091,0.43803586782469106,99.24611973392462,94.2350332594235,,2,14,battle_dominant,
20,97.98780487804879,elite,acmd_9e98c779580b,Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,14,6,0.42857142857142855,0.40909090909090906,98.4478935698448,96.60753880266076,,3,4,battle_dominant,
21,97.82150776053214,elite,acmd_ad691790bfae,Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,17,14,0.8235294117647058,0.38582706360079166,97.73835920177383,98.0709534368071,,7,4,battle_dominant,
22,97.69401330376941,elite,acmd_f47199d981fc,Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,11,9,0.8181818181818182,0.4126613830757829,98.84700665188471,94.2350332594235,,9,26,battle_dominant,
23,97.59977827050999,elite,acmd_eb09136d57ea,Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,10,7,0.7,0.4375000000000001,99.17960088691797,92.86031042128603,,2,14,battle_dominant,
24,97.5,elite,acmd_cbe4494bd0e0,"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,10,7,0.7,0.4375,99.04656319290466,92.86031042128603,,2,21,battle_dominant,
25,97.41130820399113,elite,acmd_b870b50798ee,Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,9,9,1.0,0.4821428571428572,99.62305986696231,90.7760532150776,,6,3,battle_dominant,
26,97.41130820399113,elite,acmd_9acc0b2c5ac1,Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,9,9,1.0,0.4821428571428572,99.62305986696231,90.7760532150776,,8,1,battle_dominant,
27,97.40576496674058,elite,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,12,10,0.8333333333333334,0.4024014797582174,98.09312638580931,95.34368070953437,,9,30,battle_dominant,
28,97.39467849223948,elite,acmd_7efa0f23739e,Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,11,6,0.5454545454545454,0.40909090909090906,98.4478935698448,94.2350332594235,,4,19,battle_dominant,
29,97.37250554323725,elite,acmd_4553085c23c9,Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,12,8,0.6666666666666666,0.4004607837121331,98.04878048780488,95.34368070953437,,9,3,battle_dominant,
30,97.36141906873614,elite,acmd_7be260f9e007,Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,9,9,1.0,0.4821428571428571,99.55654101995566,90.7760532150776,,2,7,battle_dominant,
31,97.3059866962306,elite,acmd_728cd65a1773,Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,12,8,0.6666666666666666,0.39733607802409526,97.96008869179602,95.34368070953437,,8,1617,battle_dominant,
32,97.29490022172948,elite,acmd_ac43c188bcf2,Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,9,8,0.8888888888888888,0.4615384615384616,99.46784922394679,90.7760532150776,,6,27,battle_dominant,
33,97.2450110864745,elite,acmd_956599c6e40d,John Monash,https://en.wikipedia.org/wiki/John_Monash,world_wars,9,8,0.8888888888888888,0.46153846153846156,99.40133037694014,90.7760532150776,,5,0,battle_dominant,
34,97.05099778270511,elite,acmd_65a73d9853f9,Arthur Currie,https://en.wikipedia.org/wiki/Arthur_Currie,world_wars,10,6,0.6,0.40909090909090906,98.4478935698448,92.86031042128603,,7,3,battle_dominant,
35,96.58536585365854,elite,acmd_8a9267fb6cd4,John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,10,8,0.8,0.39183113481908094,97.8270509977827,92.86031042128603,,7,19,battle_dominant,
36,96.51330376940135,elite,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,8,8,1.0,0.46153846153846156,99.40133037694014,87.84922394678493,,3,25,battle_dominant,
37,96.4190687361419,elite,acmd_dbaafbd66e5b,Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,21,20,0.9523809523809523,0.3373248936800321,95.56541019955654,98.980044345898,,4,18,battle_dominant,
38,96.3968957871397,elite,acmd_ed754e5e4fb9,P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,long_nineteenth_century,18,6,0.3333333333333333,0.3457780418636981,95.69844789356985,98.49223946784922,,3,3,battle_dominant,
39,96.39135254988912,elite,acmd_8ff67c26331f,Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,22,20,0.9090909090909091,0.33488984389006493,95.47671840354766,99.13525498891353,,13,19,battle_dominant,
40,96.38580931263859,elite,acmd_92915a68e51e,Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,early_modern,10,7,0.7,0.37559708019137694,97.5609756097561,92.86031042128603,,7,35,battle_dominant,
