rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1,95.23872226286271,elite,acmd_94064b179f40,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,34,15,0,2,17,25,0.7352941176470589,0.6051995057369856,99.85369422092172,90.57546939770788,96.56181419166057,97.95171909290417,99.01243599122165,49.231894659839064,45,0.31972789115646255,war_campaign_heavy,
2,93.78566203365034,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,24,18,0,1,5,20,0.8333333333333334,0.588291836745161,99.7805413313826,90.1609363569861,87.71031455742502,97.43964886613021,83.02852962692026,74.25018288222385,28,0.11330049261083742,battle_dominant,
3,93.12948061448428,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,74,63,0,6,5,62,0.8378378378378378,0.5075910421354246,98.46378931967813,90.59985369422093,80.3218727139722,100.0,95.97659107534747,72.3482077542063,22,0.07045370711914423,battle_dominant,
4,88.79614728115097,very_strong,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,38,18,5,13,2,33,0.868421052631579,0.46225591949509176,95.31821506949525,95.91563033406486,52.23116313094367,99.26847110460864,99.85369422092172,74.17702999268471,10,0.3803786574870912,mixed_profile,
5,88.77615215801023,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,21,8,0,1,12,11,0.5238095238095238,0.49602866869699647,98.39063643013898,73.33577176298463,87.71031455742502,90.78273591806877,95.86686174103876,46.15947329919532,28,0.37254901960784315,war_campaign_heavy,
6,87.83138258961232,very_strong,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,27,16,0,3,8,21,0.7777777777777778,0.5344861177889968,99.34162399414777,73.33577176298463,71.6532553035845,97.2201901975128,93.5259692757864,59.47329919531822,18,0.19597989949748745,mixed_profile,
7,87.57205559619605,very_strong,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,25,19,0,3,3,21,0.84,0.4897827509963775,97.36649597659107,71.25091441111924,80.3218727139722,97.8054133138259,84.27212874908558,65.54498902706656,22,0.1131855309218203,battle_dominant,
8,86.38831992197025,very_strong,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,29,24,0,1,4,26,0.896551724137931,0.6315605997223246,99.92684711046086,73.56742257985859,60.60716898317483,98.75640087783466,72.93343087051939,84.12582297000732,13,0.06523855890944498,battle_dominant,
9,85.66264325774202,very_strong,acmd_8859ec6c1865,Babur,https://en.wikipedia.org/wiki/Babur,early_modern,16,11,0,2,3,8,0.5,0.36740698574329683,86.75932699341624,89.07583516215557,93.5259692757864,91.11192392099487,81.08997805413314,20.007315288953915,35,0.16349809885931557,mixed_profile,
10,85.42136064374543,very_strong,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,14,12,0,1,1,11,0.7857142857142857,0.4448413687797877,94.87929773226043,72.05559619604975,91.88002926115581,90.92904169714704,47.76883686905633,64.33796634967082,32,0.06976744186046512,battle_dominant,
11,84.95623018775908,very_strong,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,39,34,0,0,5,33,0.8461538461538461,0.40617765383841475,91.95318215069496,59.27822482321386,94.25749817117776,99.48792977322604,74.32333577176298,79.37088514996343,36,0.04895104895104895,battle_dominant,
