display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_weighted,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,1.0,2.0,8.0,7.0,13.0,9.0,99.23157162726008,86.38831992197025,29,24,15,22,26,V=25; D=1; N=0; U=3,B=24; O=0; C=1; W=4,battle_dominant,stable,
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,2.0,3.0,3.0,3.0,2.0,3.0,98.3518776077886,93.12948061448428,74,63,30,56,62,V=51; D=11; N=0; U=12,B=63; O=0; C=6; W=5,battle_dominant,core_stable,
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,3.0,5.0,2.0,2.0,3.0,2.0,98.15716272600834,93.78566203365034,24,18,16,23,20,V=18; D=2; N=0; U=4,B=18; O=0; C=1; W=5,battle_dominant,core_stable,
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,4.0,4.0,76.0,75.0,63.0,84.0,97.11404728789985,76.99487929773227,20,20,4,16,17,V=16; D=1; N=0; U=3,B=20; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,5.0,1.0,48.0,51.0,39.0,47.0,96.80806675938804,79.50097537186052,40,39,18,24,32,V=31; D=0; N=1; U=8,B=39; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,6.0,10.0,41.0,48.0,34.0,43.0,96.60639777468707,80.1213118751524,20,17,10,18,16,V=14; D=2; N=0; U=4,B=17; O=0; C=0; W=3,battle_dominant,model_sensitive,
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,7.0,12.0,21.0,24.0,15.0,27.0,96.23783031988874,82.57802974884174,21,18,8,15,19,V=15; D=4; N=0; U=2,B=18; O=0; C=1; W=2,battle_dominant,stable,
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,8.0,11.0,18.0,18.0,19.0,22.0,96.1578581363004,83.71628871007073,16,13,7,13,12,V=12; D=0; N=0; U=4,B=13; O=0; C=0; W=3,battle_dominant,stable,
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,9.0,14.0,11.0,13.0,11.0,15.0,95.05563282336578,84.95623018775908,39,34,15,11,33,V=26; D=7; N=0; U=6,B=34; O=0; C=0; W=5,battle_dominant,core_stable,
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,10.0,7.0,7.0,17.0,9.0,7.0,95.00347705146035,87.57205559619605,25,19,10,20,21,V=16; D=5; N=0; U=4,B=19; O=0; C=3; W=3,battle_dominant,core_stable,
