battle_id,battle_name,year,war_name,commander_name_raw,commander_name_normalized,commander_wikipedia_url,side,belligerent,battle_result_for_commander,role_in_battle,opposing_commander_names_raw,location_normalized,strength_side_raw,strength_enemy_raw,casualties_side_raw,casualties_enemy_raw,source_url,parse_notes,identity_confidence,recovery_source,recovery_side_raw_text
battle_763392,Battle of Red Cliffs,208,the wars at the end of the Han dynasty,Liu Qi,Liu Qi,https://en.wikipedia.org/wiki/Liu_Qi_%28Liu_Biao%27s_son%29,side_a,Forces of Sun Quan Forces of Liu Bei Forces of Liu Qide Crespigny 2007,unknown,,,"Yangtze River, ChinaThe precise location is debated, see #Location.","50,000de Crespigny 2010","800,000 (Cao Cao's claim)de Crespigny 2010 220,000–240,000 (Zhou Yu's estimate)de Crespigny 2010",Unknown,Heavy,https://en.wikipedia.org/wiki/Battle_of_Red_Cliffs,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Zhou Yu Cheng Pu Liu Bei Liu Qi
battle_65427437,Battle of Mount Labus,209,Seleucid-Parthian Wars,Diogenes,Diogenes,https://en.wikipedia.org/wiki/Diogenes_%28general%29,side_a,Seleucid Empire,unknown,,,Mount Labus,Unknown,"Unknown, smaller than Seleucids",Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Mount_Labus,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Antiochus the Great Diogenes Nicomedes Nicolaus of Aetolia Polyxenidas
battle_65427437,Battle of Mount Labus,209,Seleucid-Parthian Wars,Nicomedes,Nicomedes,https://en.wikipedia.org/wiki/Nicomedes_%28general%29,side_a,Seleucid Empire,unknown,,,Mount Labus,Unknown,"Unknown, smaller than Seleucids",Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Mount_Labus,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Antiochus the Great Diogenes Nicomedes Nicolaus of Aetolia Polyxenidas
battle_16773930,Battle of Lucheng,213,the wars at the end of the Han dynasty,Yang Fu,Yang Fu,https://en.wikipedia.org/wiki/Yang_Fu_%28Han_dynasty%29,side_b,Yang Fu Cao Cao,defeat,,,present-day southeastern Gansu,,,,,https://en.wikipedia.org/wiki/Battle_of_Lucheng,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,high,page_wikitext_link_match,Yang Fu Jiang Xu Xiahou Yuan
battle_16773930,Battle of Lucheng,213,the wars at the end of the Han dynasty,Jiang Xu,Jiang Xu,https://en.wikipedia.org/wiki/Jiang_Xu,side_b,Yang Fu Cao Cao,defeat,,,present-day southeastern Gansu,,,,,https://en.wikipedia.org/wiki/Battle_of_Lucheng,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Yang Fu Jiang Xu Xiahou Yuan
battle_35606863,Battle of Ruxu (213),213,the wars at the end of the Han dynasty,Sun Guan,Sun Guan,https://en.wikipedia.org/wiki/Sun_Guan,side_a,Cao Cao,victory,,,"Ruxu, Yang Province, on the eastern side of present-day Lake Chaohu, Anhui.","400,000","70,000",,,https://en.wikipedia.org/wiki/Battle_of_Ruxu_%28213%29,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Cao Cao Sun Guan (possibly in the 217 battle)
battle_64471347,Battle of Aphrodisium,238,Battle of Aphrodisium,Antiochus Hierax,Antiochus Hierax,https://en.wikipedia.org/wiki/Antiochus_Hierax,side_b,Seleucids Galatians,unknown,,,Aphrodisium (modern-day Turkey),Unknown,Unknown,Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Aphrodisium,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Antiochus Hierax
battle_9978816,Battle of Thermopylae (254),254,the Crisis of the Third Century Gothic War (248-253) and Roman–Germanic Wars,Dexippus,Dexippus,https://en.wikipedia.org/wiki/Dexippus,side_a,Roman Empire,unknown,,,"Thermopylae, Achaea, Roman Empire (present-day Thermopylae, Greece)",Militia,Unknown,Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Thermopylae_%28254%29,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,high,page_wikitext_link_match,Marianus Philostratus Dexippus
battle_54519130,Battle of Handan,259,Warring States Period,Chu,King Kaolie of Chu,https://en.wikipedia.org/wiki/King_Kaolie_of_Chu,side_b,Zhao Wei Chu,unknown,,,Handan,"Zhao: All forces Wei: 80,000 Chu: 100,000","Qin: 650,000",Zhao slightly recovered from the Battle of Changping and managed to survive for several more decades.,"Qin suffered a major defeat, which was rare in the late Warring States period.",https://en.wikipedia.org/wiki/Battle_of_Handan,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Zhao: King Xiaocheng Lian Po Lord Pingyuan Wei: Lord Xinling Chu: Lord Chunshen
battle_412766,Battle of Sphacteria,425,the Peloponnesian War,Kleon,Kleon,https://en.wikipedia.org/wiki/Kleon,side_a,Athens,unknown,,,"Sphacteria, a small island at the entrance to the bay of Pylos","3,000+ soldiers, 8,000 lightly armed rowers",440,Few,"148 killed, Remainder captured",https://en.wikipedia.org/wiki/Battle_of_Sphacteria,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Demosthenes Kleon
battle_64495740,Battle of Nomae,450,Battle of Nomae,Ducetius,Ducetius,https://en.wikipedia.org/wiki/Ducetius,side_a,Sicels,unknown,,,Nomae,Unknown,"4,500–5,500",Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Nomae,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Ducetius
battle_58335509,Battle of Ravenna (475),475,Battle of Ravenna,Orestes,Orestes,https://en.wikipedia.org/wiki/Orestes_%28father_of_Romulus_Augustulus%29,side_a,Supporters of Orestes,unknown,,,"Near Ravenna, Italy","24,000","7,000",Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Ravenna_%28475%29,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,high,page_wikitext_link_match,Orestes
battle_50113637,Battle of Yanshi,618,the transition from Sui to Tang,Li Mi,Li Mi,https://en.wikipedia.org/wiki/Li_Mi_%28Sui_dynasty%29,side_b,Li Mi's forces,unknown,,,"Yanshi, east of Luoyang","40,000","20,000","Heavy, large numbers surrendered",Light,https://en.wikipedia.org/wiki/Battle_of_Yanshi,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,high,page_wikitext_link_match,Li Mi
battle_69053779,Battle of Marj ar-Rum,635,the Muslim conquest of Syria (Arab–Byzantine wars),Theodore the Patricius,Theodore the Patricius,https://en.wikipedia.org/wiki/Theodore_the_Patricius,side_b,Byzantine Empire,unknown,,,Marj ar-Rum (first battle) Marj ad-Dimashq (second battle),Unknown,Unknown,Heavy,Unknown,https://en.wikipedia.org/wiki/Battle_of_Marj_ar-Rum,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Theodore the Patricius Shannash al-Rum Sheodore
battle_69053779,Battle of Marj ar-Rum,635,the Muslim conquest of Syria (Arab–Byzantine wars),Shannash al-Rum,Shannash al-Rum,https://en.wikipedia.org/wiki/Shannash_al-Rum,side_b,Byzantine Empire,unknown,,,Marj ar-Rum (first battle) Marj ad-Dimashq (second battle),Unknown,Unknown,Heavy,Unknown,https://en.wikipedia.org/wiki/Battle_of_Marj_ar-Rum,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Theodore the Patricius Shannash al-Rum Sheodore
battle_22549534,Battle of Rasil,640,early Muslim conquests in South Asia,Suhail ibn Adi,Suhail ibn Adi,https://en.wikipedia.org/wiki/Suhail_ibn_Adi,side_b,Rashidun Caliphate,unknown,,,"along the Indus River in Sindh, Pakistan",Unknown,Unknown,Unknown,Unknown,https://en.wikipedia.org/wiki/Battle_of_Rasil,validated_commander_source=page_wikitext_link_match;identity_resolution_method=page_wikitext_link_match,medium,page_wikitext_link_match,Suhail ibn Adi Usman ibn Abi al-'As Hakam ibn Amr
