requested_era,support_band,display_name,canonical_wikipedia_url,primary_era_bucket,best_rank,mean_rank,top25_appearances,rank_baseline_conservative,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_signature,trust_confidence_v2,stability_label,caution_flags,recommendation_note,caveat_note
ancient,model_sensitive_band,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,19.0,42.333333333333336,1,61.0,30.0,26.0,"B0=61, B1=45, HT=30, H=26, HF=18, HE=19, HB=73",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=61, B1=45, HT=30, H=26, HF=18, HE=19, HB=73.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
ancient,model_sensitive_band,Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,16.0,58.166666666666664,1,38.0,84.0,90.0,"B0=38, B1=16, HT=84, H=90, HF=117, HE=67, HB=54",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=38, B1=16, HT=84, H=90, HF=117, HE=67, HB=54.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
ancient,model_sensitive_band,Shapur I,https://en.wikipedia.org/wiki/Shapur_I,ancient,76.0,137.0,0,155.0,76.0,102.0,"B0=155, B1=215, HT=76, H=102, HF=106, HE=80, HB=194",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=155, B1=215, HT=76, H=102, HF=106, HE=80, HB=194.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
ancient,model_sensitive_band,Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,ancient,66.0,200.66666666666666,0,347.0,88.0,93.0,"B0=347, B1=464, HT=88, H=93, HF=67, HE=66, HB=146",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=347, B1=464, HT=88, H=93, HF=67, HE=66, HB=146.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
contemporary,model_sensitive_band,Qasem Soleimani,https://en.wikipedia.org/wiki/Qasem_Soleimani,contemporary,49.0,124.6,0,,87.0,49.0,"B0=NA, B1=323, HT=87, H=49, HF=45, HE=78, HB=86",caution,highly_model_sensitive,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | sparse_higher_level_evidence,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=NA, B1=323, HT=87, H=49, HF=45, HE=78, HB=86.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,2.0,24.333333333333332,4,45.0,2.0,3.0,"B0=45, B1=92, HT=2, H=3, HF=3, HE=2, HB=2",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=45, B1=92, HT=2, H=3, HF=3, HE=2, HB=2.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Babur,https://en.wikipedia.org/wiki/Babur,early_modern,6.0,37.166666666666664,4,108.0,18.0,18.0,"B0=108, B1=64, HT=18, H=18, HF=25, HE=6, HB=9",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=108, B1=64, HT=18, H=18, HF=25, HE=6, HB=9.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,4.0,49.666666666666664,2,6.0,81.0,80.0,"B0=6, B1=4, HT=81, H=80, HF=89, HE=69, HB=58",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=6, B1=4, HT=81, H=80, HF=89, HE=69, HB=58.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,11.0,51.0,2,11.0,70.0,82.0,"B0=11, B1=18, HT=70, H=82, HF=101, HE=73, HB=52",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=11, B1=18, HT=70, H=82, HF=101, HE=73, HB=52.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
early_modern,model_sensitive_band,Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,early_modern,12.0,84.2,3,,57.0,12.0,"B0=NA, B1=309, HT=57, H=12, HF=11, HE=25, HB=18",caution,highly_model_sensitive,,"Useful as an audit case for the era, not as a secure top-tier conclusion; rank signature B0=NA, B1=309, HT=57, H=12, HF=11, HE=25, HB=18.",The era signal is still model-sensitive; treat this as a provisional inclusion rather than a headline conclusion.
