rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
1,99.97383842611971,elite,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,40,39,0.975,0.6308840812604638,100.0,99.89535370447886,,17,13,battle_dominant,
2,99.8430305567183,elite,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,25,25,1.0,0.5499964746813512,99.95814148179154,99.49769778149854,,13,13,battle_dominant,
3,99.65466722478024,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,65,60,0.9230769230769231,0.4696833017464067,99.53955629970699,100.0,,23,22,battle_dominant,
4,99.60757639179573,elite,acmd_70fd3b0db695,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,20,18,0.9,0.5312583678079756,99.87442444537463,98.80703223105903,,4,37,battle_dominant,
5,99.60234407701968,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,19,18,0.9473684210526315,0.548763854139276,99.91628296358309,98.66052741732942,,12,31,battle_dominant,
6,99.35119296776894,elite,acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,19,18,0.9473684210526315,0.4698442320507879,99.58141481791544,98.66052741732942,,9,14,battle_dominant,
7,99.32503139388866,elite,acmd_6970e6b60c26,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,21,11,0.5238095238095238,0.4646805630040782,99.45583926329007,98.9326077856844,,5,29,battle_dominant,
8,99.21515278359146,elite,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,22,17,0.7727272727272727,0.43811634755596823,99.2465466722478,99.12097111762243,,10,22,battle_dominant,
9,98.88028463792382,elite,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,13,12,0.9230769230769231,0.5294117647058824,99.83256592716619,96.02344077019673,,5,30,battle_dominant,
10,98.78610297195479,elite,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,19,18,0.9473684210526315,0.42589665235570195,98.82796149016325,98.66052741732942,,6,19,battle_dominant,
11,98.63436584344916,elite,acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,12,10,0.8333333333333334,0.5,99.79070740895773,95.1653411469234,,6,32,battle_dominant,
12,98.61866889912096,elite,acmd_9e98c779580b,Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,14,12,0.8571428571428571,0.4389689653523133,99.28840519045625,96.60946002511511,,3,4,battle_dominant,
13,98.59250732524069,elite,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,16,13,0.8125,0.43688773556418165,98.95353704478862,97.5094181665969,,8,18,battle_dominant,
14,98.51925491837588,elite,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,36,35,0.9722222222222222,0.4009411150531658,98.1163666806195,99.72791963164504,,12,38,battle_dominant,
15,98.50879028882377,elite,acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,12,12,1.0,0.4732216025074333,99.6232733361239,95.1653411469234,,2,14,battle_dominant,
16,98.30473001255754,elite,acmd_ed6b2e7bab39,Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,25,16,0.64,0.38801208164418205,97.90707408957722,99.49769778149854,,2,436,battle_dominant,
17,98.15822519882796,elite,acmd_7efa0f23739e,Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,11,9,0.8181818181818182,0.46498535395418494,99.49769778149854,94.13980745081624,,4,19,battle_dominant,
18,98.04834658853076,elite,acmd_eec0f4ec373e,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,18,17,0.9444444444444444,0.393146698137012,97.9489326077857,98.34658853076601,,8,16,battle_dominant,
19,97.9227710339054,elite,acmd_ed754e5e4fb9,P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,long_nineteenth_century,18,14,0.7777777777777778,0.3851775527577093,97.78149853495187,98.34658853076601,,3,3,battle_dominant,
20,97.71871075763919,elite,acmd_f47199d981fc,Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,11,10,0.9090909090909091,0.4346085879326165,98.91167852658016,94.13980745081624,,9,26,battle_dominant,
21,97.62452909167015,elite,acmd_cf14a194e3dc,Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,11,10,0.9090909090909091,0.41760322955789686,98.78610297195479,94.13980745081624,,10,20,battle_dominant,
22,97.59836751778988,elite,acmd_eb09136d57ea,Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,10,7,0.7,0.4375000000000001,99.20468815403935,92.77940560904145,,2,14,battle_dominant,
23,97.56174131435746,elite,acmd_4553085c23c9,Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,13,8,0.6153846153846154,0.4004607837121331,98.07450816241105,96.02344077019673,,10,3,battle_dominant,
