rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1,94.12024048096191,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,25,19,0,1,5,21,0.84,0.5962966620563951,99.86639946559787,98.66399465597863,88.73302159875306,92.01736806947228,97.59519038076152,79.55911823647295,71.40948563794255,31,0.10798122065727699,battle_dominant,
2,93.81095524382096,elite,acmd_94064b179f40,Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,35,16,0,2,17,30,0.8571428571428571,0.4035910195102821,91.78356713426854,99.53239812959251,89.22289022489423,96.8937875751503,98.062792251169,98.63059452237809,77.82231128924516,45,0.30585683297180044,war_campaign_heavy,
3,93.5878423513694,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,77,65,0,6,6,65,0.8441558441558441,0.48870358678924264,97.8623914495658,100.0,89.25629035849477,81.56312625250501,100.0,95.59118236472945,67.06746826987307,22,0.07308377896613191,battle_dominant,
4,90.90647962591851,elite,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,39,18,6,13,2,36,0.9230769230769231,0.4469559843347441,95.7247828991316,99.26519706078824,95.31284791805832,52.271209084836336,99.33199732798931,99.66599866399466,76.61990647962593,9,0.3887945670628184,mixed_profile,
5,89.40146960587843,very_strong,acmd_8cc431cd8376,Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,21,5,8,3,5,16,0.7619047619047619,0.4039578953830966,91.91716766867067,96.25918503674015,95.14584725005567,69.8062792251169,92.55177020708084,99.29859719438878,48.63059452237809,16,0.6460176991150443,mixed_profile,higher_level_dependent
6,88.436873747495,very_strong,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,27,16,0,3,8,21,0.7777777777777778,0.5344861177889968,99.26519706078824,98.46359385437542,71.73235359608105,73.48029392117569,96.59318637274549,91.750167000668,51.36940547762191,18,0.19597989949748745,mixed_profile,
7,88.02338009352037,very_strong,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,17,13,0,1,3,16,0.9411764705882353,0.43732144735124434,95.3239812959252,95.39078156312625,70.91961701180138,90.98196392785572,92.85237140948564,67.90247160988643,82.66533066132264,30,0.10958904109589042,battle_dominant,
8,87.99064796259185,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,21,8,0,1,12,12,0.5714285714285714,0.4944136763061827,98.32999331997327,94.45557782231128,71.73235359608105,85.47094188376754,90.18036072144288,94.88977955911824,41.08216432865731,25,0.37254901960784315,war_campaign_heavy,
9,87.88710754843018,very_strong,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,28,22,0,3,3,23,0.8214285714285714,0.4473772622985758,95.79158316633266,98.39679358717434,70.91961701180138,81.56312625250501,98.53039412157648,80.92852371409485,56.51302605210421,22,0.09928352098259978,battle_dominant,
10,87.74816299265198,very_strong,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,30,25,0,1,4,28,0.9333333333333333,0.5989064348166137,99.93319973279893,99.06479625918504,72.21108884435539,62.99265197060788,99.1315965263861,69.50567802271209,82.4315297261189,13,0.0627928772258669,battle_dominant,
