display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,4.0,5.0,1.0,1.0,1.0,3.0,1.0,97.9449423815621,94.12024048096191,93.87853484747271,robust_elite_core,high,Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 4.,20,19,13,23,18,V=17; D=1; N=0; U=2,B=19; O=0; C=0; W=1,battle_dominant,core_stable,
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,45.0,92.0,2.0,3.0,3.0,2.0,2.0,85.21766965428938,93.81095524382096,92.51825873970162,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",16,16,13,36,16,V=12; D=3; N=1; U=0,B=16; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,3.0,3.0,3.0,2.0,2.0,1.0,6.0,98.1370038412292,93.5878423513694,92.541972834558,robust_elite_core,very_high,Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 5.,67,65,25,56,60,V=49; D=9; N=2; U=7,B=65; O=0; C=0; W=2,battle_dominant,core_stable,
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,44.0,78.0,4.0,4.0,4.0,4.0,17.0,85.49615877080666,90.90647962591851,88.95735916276999,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",22,18,15,10,20,V=14; D=4; N=2; U=2,B=18; O=3; C=0; W=1,battle_dominant,highly_model_sensitive,
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,375.0,322.0,5.0,5.0,10.0,13.0,8.0,50.51216389244558,89.40146960587843,88.02115341794702,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",13,5,13,17,9,V=6; D=1; N=2; U=4,B=5; O=7; C=0; W=1,battle_dominant,highly_model_sensitive,higher_level_dependent
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,15.0,13.0,6.0,9.0,8.0,5.0,16.0,92.48719590268887,88.436873747495,87.25695836116678,robust_elite_core,high,Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 11.,21,16,11,26,16,V=15; D=1; N=0; U=5,B=16; O=0; C=0; W=5,battle_dominant,stable,
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,14.0,28.0,7.0,8.0,9.0,7.0,4.0,92.70486555697823,88.02338009352037,87.39300823869962,robust_elite_core,high,Trust-first v2 rank 7 with high confidence; Top-25 in 5 trusted models and rank spread 24.,16,13,12,12,16,V=14; D=2; N=0; U=0,B=13; O=0; C=0; W=3,battle_dominant,model_sensitive,
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,31.0,42.0,8.0,7.0,7.0,8.0,5.0,88.70038412291933,87.99064796259185,87.77031841460699,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 8 but not stable enough for the headline core.,15,8,8,18,11,V=9; D=1; N=1; U=4,B=8; O=0; C=0; W=7,battle_dominant,model_sensitive,
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,21.0,8.0,9.0,10.0,94.0,11.0,20.0,91.66453265044814,87.88710754843018,86.49387664217323,robust_elite_core,high,Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 13.,25,22,10,20,20,V=15; D=5; N=0; U=5,B=22; O=0; C=0; W=3,battle_dominant,stable,
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,2.0,2.0,10.0,11.0,12.0,17.0,19.0,99.36619718309859,87.74816299265198,86.24181696726788,robust_elite_core,high,Trust-first v2 rank 10 with high confidence; Top-25 in 6 trusted models and rank spread 17.,28,25,15,22,27,V=24; D=2; N=1; U=1,B=25; O=0; C=0; W=3,battle_dominant,stable,
