display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,modern,robust_elite_core,high,1.0,5.0,4.0,2.5,6,6,4.0,5.0,1.0,1.0,1.0,3.0,1.0,18,20,19,13,B=19; O=0; C=0; W=1,core_stable,,mixed_model_sensitivity,Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 4.
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,modern,robust_elite_core,very_high,1.0,6.0,5.0,3.0,6,6,3.0,3.0,3.0,2.0,2.0,1.0,6.0,60,67,65,25,B=65; O=0; C=0; W=2,core_stable,,mixed_model_sensitivity,Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 5.
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,modern,robust_elite_core,high,2.0,19.0,17.0,10.166666666666666,3,6,2.0,2.0,10.0,11.0,12.0,17.0,19.0,27,28,25,15,B=25; O=0; C=0; W=3,stable,,mixed_model_sensitivity,Trust-first v2 rank 10 with high confidence; Top-25 in 6 trusted models and rank spread 17.
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,early_modern,robust_elite_core,very_high,7.0,14.0,7.0,10.5,3,6,7.0,14.0,12.0,13.0,13.0,10.0,7.0,35,38,36,14,B=36; O=0; C=0; W=2,core_stable,,mixed_model_sensitivity,Trust-first v2 rank 12 with very_high confidence; Top-25 in 6 trusted models and rank spread 7.
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,modern,robust_elite_core,high,5.0,16.0,11.0,10.666666666666666,3,6,15.0,13.0,6.0,9.0,8.0,5.0,16.0,16,21,16,11,B=16; O=0; C=0; W=5,stable,,mixed_model_sensitivity,Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 11.
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,medieval,robust_elite_core,high,4.0,28.0,24.0,11.333333333333334,4,5,14.0,28.0,7.0,8.0,9.0,7.0,4.0,16,16,13,12,B=13; O=0; C=0; W=3,model_sensitive,,mixed_model_sensitivity,Trust-first v2 rank 7 with high confidence; Top-25 in 5 trusted models and rank spread 24.
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,modern,robust_elite_core,high,8.0,21.0,13.0,13.166666666666666,3,6,21.0,8.0,9.0,10.0,94.0,11.0,20.0,20,25,22,10,B=22; O=0; C=0; W=3,stable,,credit_rule_dependency,Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 13.
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,modern,strong_upper_tier,high,19.0,43.0,24.0,29.833333333333332,0,2,22.0,34.0,19.0,28.0,19.0,33.0,43.0,37,43,40,19,B=40; O=0; C=0; W=3,model_sensitive,,mixed_model_sensitivity,"Upper-tier contender with high confidence; rank 19 and enough scale (37 known outcomes, 40 battle pages) to remain defensible under the trust-first model."
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,early_modern,high_confidence_upper_band,moderate,5.0,42.0,37.0,16.833333333333332,4,4,31.0,42.0,8.0,7.0,7.0,8.0,5.0,11,15,8,8,B=8; O=0; C=0; W=7,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 8 but not stable enough for the headline core.
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,early_modern,high_confidence_upper_band,moderate,9.0,29.0,20.0,16.833333333333332,2,5,9.0,9.0,29.0,22.0,22.0,20.0,12.0,13,16,13,7,B=13; O=0; C=0; W=3,stable,,mixed_model_sensitivity,High-confidence upper-band commander; rank 29 but not stable enough for the headline core.
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,modern,high_confidence_upper_band,moderate,8.0,34.0,26.0,18.666666666666668,2,5,8.0,10.0,20.0,25.0,20.0,15.0,34.0,19,21,19,7,B=19; O=0; C=0; W=2,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 20 but not stable enough for the headline core.
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,early_modern,high_confidence_upper_band,moderate,13.0,26.0,13.0,19.0,0,5,16.0,20.0,26.0,21.0,26.0,18.0,13.0,10,11,11,9,B=11; O=0; C=0; W=0,stable,,mixed_model_sensitivity,High-confidence upper-band commander; rank 26 but not stable enough for the headline core.
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,medieval,high_confidence_upper_band,moderate,14.0,25.0,11.0,19.333333333333332,0,6,19.0,21.0,25.0,23.0,23.0,14.0,14.0,10,11,11,10,B=11; O=0; C=0; W=0,stable,,mixed_model_sensitivity,High-confidence upper-band commander; rank 25 but not stable enough for the headline core.
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,medieval,high_confidence_upper_band,moderate,1.0,42.0,41.0,24.666666666666668,2,2,1.0,1.0,37.0,42.0,43.0,39.0,28.0,39,41,40,18,B=40; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 37 but not stable enough for the headline core.
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,medieval,high_confidence_upper_band,moderate,9.0,49.0,40.0,25.0,1,3,35.0,49.0,11.0,17.0,6.0,9.0,29.0,21,23,22,19,B=22; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 11 but not stable enough for the headline core.
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,early_modern,high_confidence_upper_band,moderate,5.0,38.0,33.0,25.333333333333332,2,2,5.0,6.0,36.0,38.0,42.0,37.0,30.0,18,20,19,10,B=19; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 36 but not stable enough for the headline core.
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,early_modern,high_confidence_upper_band,moderate,25.0,39.0,14.0,31.5,0,1,27.0,39.0,31.0,32.0,27.0,35.0,25.0,15,20,17,11,B=17; O=0; C=0; W=3,stable,,mixed_model_sensitivity,High-confidence upper-band commander; rank 31 but not stable enough for the headline core.
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,modern,high_confidence_upper_band,moderate,23.0,48.0,25.0,32.833333333333336,0,2,23.0,40.0,23.0,31.0,73.0,32.0,48.0,21,22,22,13,B=22; O=0; C=0; W=0,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 23 but not stable enough for the headline core.
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,medieval,high_confidence_upper_band,moderate,24.0,53.0,29.0,35.833333333333336,0,1,32.0,53.0,33.0,39.0,119.0,34.0,24.0,18,18,15,8,B=15; O=0; C=0; W=3,model_sensitive,,credit_rule_dependency,High-confidence upper-band commander; rank 33 but not stable enough for the headline core.
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,modern,high_confidence_upper_band,moderate,22.0,54.0,32.0,40.166666666666664,0,1,42.0,54.0,42.0,35.0,56.0,46.0,22.0,11,13,13,9,B=13; O=0; C=0; W=0,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 42 but not stable enough for the headline core.
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,early_modern,high_confidence_upper_band,moderate,26.0,53.0,27.0,40.166666666666664,0,0,26.0,29.0,50.0,53.0,41.0,45.0,38.0,10,12,12,7,B=12; O=0; C=0; W=0,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 50 but not stable enough for the headline core.
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,modern,model_sensitive_band,caution,3.0,57.0,54.0,23.5,2,4,46.0,57.0,13.0,6.0,5.0,16.0,3.0,9,9,7,7,B=7; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,early_modern,model_sensitive_band,caution,2.0,92.0,90.0,24.333333333333332,4,4,45.0,92.0,2.0,3.0,3.0,2.0,2.0,16,16,16,13,B=16; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,modern,model_sensitive_band,caution,4.0,78.0,74.0,25.166666666666668,3,4,44.0,78.0,4.0,4.0,4.0,4.0,17.0,20,22,18,15,B=18; O=3; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,medieval,model_sensitive_band,moderate,11.0,54.0,43.0,28.333333333333332,0,3,13.0,11.0,54.0,33.0,33.0,36.0,23.0,10,12,12,6,B=12; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,early_modern,model_sensitive_band,caution,6.0,108.0,102.0,37.166666666666664,2,4,108.0,64.0,18.0,18.0,25.0,6.0,9.0,7,11,11,7,B=11; O=0; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,modern,model_sensitive_band,caution,11.0,116.0,105.0,38.333333333333336,0,4,116.0,62.0,14.0,15.0,15.0,12.0,11.0,12,19,9,15,B=9; O=10; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,ancient,model_sensitive_band,caution,19.0,73.0,54.0,42.333333333333336,0,1,61.0,45.0,30.0,26.0,18.0,19.0,73.0,11,18,17,6,B=17; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,medieval,model_sensitive_band,caution,10.0,79.0,69.0,42.666666666666664,1,2,10.0,15.0,60.0,56.0,55.0,79.0,36.0,13,13,12,3,B=12; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,modern,model_sensitive_band,caution,15.0,97.0,82.0,43.333333333333336,0,3,97.0,56.0,16.0,19.0,29.0,57.0,15.0,9,13,11,7,B=11; O=0; C=0; W=2,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,modern,model_sensitive_band,caution,18.0,74.0,56.0,47.0,0,1,18.0,26.0,53.0,58.0,52.0,53.0,74.0,12,12,9,9,B=9; O=3; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,medieval,model_sensitive_band,caution,22.0,90.0,68.0,47.5,0,2,24.0,36.0,90.0,68.0,70.0,22.0,45.0,9,10,9,6,B=9; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,medieval,model_sensitive_band,caution,21.0,69.0,48.0,48.166666666666664,0,1,55.0,69.0,62.0,45.0,66.0,21.0,37.0,8,9,8,5,B=8; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,modern,model_sensitive_band,caution,31.0,87.0,56.0,49.5,0,0,56.0,87.0,41.0,50.0,40.0,31.0,32.0,17,22,20,12,B=20; O=2; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,early_modern,model_sensitive_band,caution,4.0,81.0,77.0,49.666666666666664,2,2,6.0,4.0,81.0,80.0,89.0,69.0,58.0,18,20,20,4,B=20; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,early_modern,model_sensitive_band,caution,11.0,82.0,71.0,51.0,0,2,11.0,18.0,70.0,82.0,101.0,73.0,52.0,17,18,18,8,B=18; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,early_modern,model_sensitive_band,caution,17.0,74.0,57.0,51.166666666666664,0,1,33.0,17.0,59.0,52.0,64.0,74.0,72.0,10,12,11,5,B=11; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,modern,model_sensitive_band,caution,17.0,124.0,107.0,53.833333333333336,0,1,124.0,85.0,17.0,27.0,123.0,30.0,40.0,9,14,8,11,B=8; O=1; C=0; W=5,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
