display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Scipio Aemilianus,https://en.wikipedia.org/wiki/Scipio_Aemilianus,battle_36193794,Battle of the Port of Carthage,Battle of the Port of Carthage,battle_article,side_a,Roman Republic,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Scipio Aemilianus,https://en.wikipedia.org/wiki/Scipio_Aemilianus,battle_51804400,Battle of Lake Tunis,Battle of Lake Tunis,battle_article,side_a,Roman Republic,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_3122638,Battles of Kroton,Battles of Kroton,battle_article,side_a,Carthage,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Hasdrubal Gisco,https://en.wikipedia.org/wiki/Hasdrubal_Gisco,battle_8450227,Siege of Utica,Siege of Utica,battle_article,side_a,Carthage,unknown,victory,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Carthaginian victory
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_8450227,Siege of Utica,Siege of Utica,battle_article,side_a,Carthage,unknown,victory,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Carthaginian victory
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,battle_8450227,Siege of Utica,Siege of Utica,battle_article,side_b,Rome,unknown,defeat,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Carthaginian victory
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_57689505,Battle of Petelia,Battle of Petelia,battle_article,side_a,Carthage,unknown,victory,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Carthaginian victory
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_3154852,Battle of Herdonia (210 BC),Battle of Herdonia (210 BC),battle_article,side_a,Carthage,unknown,victory,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Carthaginian victory
Hasdrubal Barca,https://en.wikipedia.org/wiki/Hasdrubal_Barca,battle_3110207,Battle of the Upper Baetis,Battle of the Upper Baetis,battle_article,side_a,Carthage,unknown,victory,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Carthaginian victory
Mago Barca,https://en.wikipedia.org/wiki/Mago_Barca,battle_3110207,Battle of the Upper Baetis,Battle of the Upper Baetis,battle_article,side_a,Carthage,unknown,victory,victory,Carthaginian victory,Retained page result begins with `carthaginian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Carthaginian victory
