display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,page_result_type,outcome_inference_method,outcome_inference_confidence
Boiorix,https://en.wikipedia.org/wiki/Boiorix,battle_61275535,Battle of Tridentum,battle_article,side_b,Roman tactical withdraw,unknown,unknown,low
Judas Maccabeus,https://en.wikipedia.org/wiki/Judas_Maccabeus,battle_3161575,Battle of Beth Zur,battle_article,side_a,Jewish victory,victory,unknown,low
Judas Maccabeus,https://en.wikipedia.org/wiki/Judas_Maccabeus,battle_1219004,Battle of Emmaus,battle_article,side_a,Judean rebel victory,victory,unknown,low
Lucius Verus,https://en.wikipedia.org/wiki/Lucius_Verus,battle_60181825,Siege of Edessa (165),battle_article,side_a,Roman victory Citizens of Edessa massacre its Parthian garrison and submit the city to the RomansSegal 1982,victory,unknown,low
Vologases IV,https://en.wikipedia.org/wiki/Vologases_IV,battle_60181825,Siege of Edessa (165),battle_article,side_b,Roman victory Citizens of Edessa massacre its Parthian garrison and submit the city to the RomansSegal 1982,victory,unknown,low
Judas Maccabeus,https://en.wikipedia.org/wiki/Judas_Maccabeus,battle_3134442,Battle of Beth Horon (166 BC),battle_article,side_a,Jewish victory,victory,unknown,low
Judas Maccabeus,https://en.wikipedia.org/wiki/Judas_Maccabeus,battle_12012137,Battle of the Ascent of Lebonah,battle_article,side_a,Jewish victory,victory,unknown,low
Eumenes II,https://en.wikipedia.org/wiki/Eumenes_II,battle_3171968,Battle of Callinicus,battle_article,side_b,Greek victory,victory,unknown,low
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_3122739,Battle of the Eurymedon (190 BC),battle_article,side_b,Rhodian victory,victory,unknown,low
Cao Ren,https://en.wikipedia.org/wiki/Cao_Ren,battle_18352025,Battle of Fengqiu,battle_article,side_a,Cao Cao victory,victory,unknown,low
Eumenes II,https://en.wikipedia.org/wiki/Eumenes_II,battle_2993524,Siege of Gythium,battle_article,side_a,Allied Victory,victory,unknown,low
Xu Huang,https://en.wikipedia.org/wiki/Xu_Huang,battle_8149150,Battle of Xiapi,battle_article,side_a,"Decisive Cao Cao and Liu Bei victory, Lü Bu executed",decisive_victory,unknown,low
Philip V of Macedon,,battle_3158092,Battle of Chios (201 BC),battle_article,side_a,Rhodian alliance victory,victory,unknown,low
Antiochus III the Great,https://en.wikipedia.org/wiki/Antiochus_III_the_Great,battle_34200043,Siege of Bactra,battle_article,side_a,Seleucid victory Antiochus signs a peace treaty with Euthydemus Antiochus III recognizes Euthydemus's reign,victory,unknown,low
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_13755150,Battle of Canusium,battle_article,side_a,Balance,unknown,unknown,low
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_3171634,Siege of Capua (211 BC),battle_article,side_a,Roman victory Fall of Capua,victory,unknown,low
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_157814,Battle of Cannae,battle_article,side_b,Decisive victory,decisive_victory,unknown,low
Mago Barca,https://en.wikipedia.org/wiki/Mago_Barca,battle_157814,Battle of Cannae,battle_article,side_b,Decisive victory,decisive_victory,unknown,low
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_3109154,Battle of Nola (216 BC),battle_article,side_a,Victory,victory,unknown,low
Cao Ren,https://en.wikipedia.org/wiki/Cao_Ren,battle_2908061,Battle of Fancheng,battle_article,side_a,Cao Cao victory,victory,unknown,low
Xu Huang,https://en.wikipedia.org/wiki/Xu_Huang,battle_2908061,Battle of Fancheng,battle_article,side_a,Cao Cao victory,victory,unknown,low
Hannibal,https://en.wikipedia.org/wiki/Hannibal,battle_5836293,Siege of Saguntum,battle_article,side_a,Carthaginian victoryBeginning of the Second Punic War,unknown,unknown,low
Zhang,https://en.wikipedia.org/wiki/Zhang_He,battle_475966,Battle of Jieting,battle_article,side_a,Wei victory,victory,unknown,low
Zhang,https://en.wikipedia.org/wiki/Zhang_He,battle_36831150,Battle of Mount Qi,battle_article,side_a,Shu tactical victory; Wei strategic victory (Shu forces withdraw due to supply shortages),tactical_victory,unknown,low
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_6023888,Battle of Misiche,battle_article,side_a,Defeat,defeat,unknown,low
Roman emperor,https://en.wikipedia.org/wiki/Roman_emperor,battle_6023888,Battle of Misiche,battle_article,side_b,Defeat,defeat,unknown,low
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_39147951,Siege of Antioch (253),battle_article,side_b,Sasanian victory,victory,unknown,low
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_39831094,Siege of Dura-Europos (256),battle_article,side_a,Sasanian victory,victory,unknown,low
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_39765329,Siege of Caesarea in Cappadocia (260),battle_article,side_a,Sasanian victory,victory,unknown,low
Antigonus II Gonatas,https://en.wikipedia.org/wiki/Antigonus_II_Gonatas,battle_3162971,Battle of Cos,battle_article,side_a,Macedonian victory,victory,unknown,low
Jiang Wei,https://en.wikipedia.org/wiki/Jiang_Wei,battle_36107523,Zhong Hui's Rebellion,war_conflict_article,side_a,Zhong Hui and Jiang Wei killed by mutinying troops; Deng Ai and his son executed; Rebellion suppressed,unknown,unknown,low
Deng Ai,https://en.wikipedia.org/wiki/Deng_Ai,battle_36107523,Zhong Hui's Rebellion,war_conflict_article,side_b,Zhong Hui and Jiang Wei killed by mutinying troops; Deng Ai and his son executed; Rebellion suppressed,unknown,unknown,low
Pyrrhus of Epirus,https://en.wikipedia.org/wiki/Pyrrhus_of_Epirus,battle_63430383,Battle of Argos,battle_article,side_a,Allied victory,victory,unknown,low
Antigonus II Gonatas,https://en.wikipedia.org/wiki/Antigonus_II_Gonatas,battle_63430383,Battle of Argos,battle_article,side_b,Allied victory,victory,unknown,low
Pyrrhus of Epirus,,battle_38772872,Battle of the Aous (274 BC),battle_article,side_a,Epirote victory,victory,unknown,low
Antigonus II Gonatas,https://en.wikipedia.org/wiki/Antigonus_II_Gonatas,battle_38772872,Battle of the Aous (274 BC),battle_article,side_b,Epirote victory,victory,unknown,low
Antigonus II Gonatas,https://en.wikipedia.org/wiki/Antigonus_II_Gonatas,battle_38755479,Battle of Lysimachia,battle_article,side_a,Antigonid victory,victory,unknown,low
Pyrrhus of Epirus,https://en.wikipedia.org/wiki/Pyrrhus_of_Epirus,battle_44996899,Siege of Syracuse (278 BC),battle_article,side_b,Epirote and Syracusan victory,victory,unknown,low
Pyrrhus of Epirus,https://en.wikipedia.org/wiki/Pyrrhus_of_Epirus,battle_641254,Battle of Heraclea,battle_article,side_a,Greek victory,victory,unknown,low
Demetrius I Poliorcetes,https://en.wikipedia.org/wiki/Demetrius_I_Poliorcetes,battle_38795086,Siege of Athens (287 BC),battle_article,side_a,Athenian and Epirote victory,victory,unknown,low
Pyrrhus of Epirus,https://en.wikipedia.org/wiki/Pyrrhus_of_Epirus,battle_38795086,Siege of Athens (287 BC),battle_article,side_b,Athenian and Epirote victory,victory,unknown,low
Demetrius I Poliorcetes,https://en.wikipedia.org/wiki/Demetrius_I_Poliorcetes,battle_890934,Battle of Salamis (306 BC),battle_article,side_a,Antigonid victory,victory,unknown,low
Ptolemy I Soter,https://en.wikipedia.org/wiki/Ptolemy_I_Soter,battle_890934,Battle of Salamis (306 BC),battle_article,side_b,Antigonid victory,victory,unknown,low
Seleucus I Nicator,https://en.wikipedia.org/wiki/Seleucus_I_Nicator,battle_62419680,Battle of the 25 of Abu,battle_article,side_a,Seleucid victory,victory,unknown,low
Antigonus I Monophthalmus,https://en.wikipedia.org/wiki/Antigonus_I_Monophthalmus,battle_62419680,Battle of the 25 of Abu,battle_article,side_b,Seleucid victory,victory,unknown,low
Antigonus I Monophthalmus,https://en.wikipedia.org/wiki/Antigonus_I_Monophthalmus,battle_62588097,Third siege of Babylon,battle_article,side_a,"Antigonid tactical victory, citadel remains under Seleucid control, Seleucid retreat",tactical_victory,unknown,low
Seleucus I Nicator,https://en.wikipedia.org/wiki/Seleucus_I_Nicator,battle_62588097,Third siege of Babylon,battle_article,side_b,"Antigonid tactical victory, citadel remains under Seleucid control, Seleucid retreat",tactical_victory,unknown,low
