display_name,canonical_wikipedia_url,primary_era_bucket,best_rank,worst_rank,rank_range,trust_confidence_v2,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,audit_note
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,2.0,60.0,58.0,caution,46.0,60.0,10.0,2.0,2.0,7.0,2.0,9,9,7,B=7; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,4.0,42.0,38.0,moderate,31.0,42.0,11.0,7.0,7.0,16.0,4.0,11,15,8,B=8; O=0; C=0; W=7,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 11 but not stable enough for the headline core.
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,5.0,58.0,53.0,caution,6.0,5.0,32.0,37.0,38.0,31.0,58.0,18,20,20,B=20; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,6.0,87.0,81.0,caution,40.0,6.0,60.0,57.0,58.0,45.0,87.0,11,21,21,B=21; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,7.0,106.0,99.0,caution,106.0,63.0,77.0,62.0,83.0,53.0,7.0,7,11,11,B=11; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,8.0,79.0,71.0,caution,44.0,79.0,8.0,14.0,27.0,22.0,15.0,20,22,18,B=18; O=3; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,8.0,263.0,255.0,caution,,263.0,66.0,20.0,21.0,35.0,8.0,7,9,4,B=4; O=3; C=0; W=2,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,9.0,113.0,104.0,caution,113.0,55.0,21.0,27.0,26.0,28.0,9.0,12,19,9,B=9; O=10; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,10.0,73.0,63.0,caution,10.0,15.0,58.0,50.0,57.0,73.0,35.0,13,13,12,B=12; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,11.0,53.0,42.0,moderate,13.0,11.0,53.0,36.0,35.0,33.0,22.0,10,12,12,B=12; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,11.0,66.0,55.0,caution,11.0,17.0,62.0,66.0,81.0,66.0,53.0,17,18,18,B=18; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,12.0,57.0,45.0,moderate,20.0,21.0,54.0,52.0,65.0,57.0,12.0,10,11,11,B=11; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,12.0,237.0,225.0,caution,12.0,12.0,176.0,183.0,184.0,166.0,237.0,12,14,14,B=14; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Mikhail Kutuzov,https://en.wikipedia.org/wiki/Mikhail_Kutuzov,revolutionary_napoleonic,13.0,100.0,87.0,caution,97.0,56.0,40.0,45.0,70.0,100.0,13.0,9,13,11,B=11; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,14.0,200.0,186.0,caution,68.0,200.0,83.0,132.0,75.0,121.0,14.0,16,16,16,B=16; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,long_nineteenth_century,15.0,107.0,92.0,caution,107.0,88.0,24.0,15.0,17.0,19.0,32.0,8,12,8,B=8; O=0; C=0; W=4,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,17.0,196.0,179.0,caution,196.0,158.0,22.0,18.0,34.0,17.0,38.0,9,11,8,B=8; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,17.0,150.0,133.0,caution,17.0,25.0,114.0,96.0,94.0,84.0,150.0,9,10,9,B=9; O=0; C=0; W=1,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,18.0,71.0,53.0,caution,36.0,18.0,37.0,35.0,47.0,44.0,71.0,10,12,11,B=11; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,18.0,205.0,187.0,caution,18.0,26.0,158.0,148.0,144.0,205.0,192.0,9,9,9,B=9; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,The placement is too model-dependent to treat as a strong all-model conclusion.
