model_name,page_type_profile_class,rank_in_profile,global_rank,display_name,score_normalized,primary_era_bucket
baseline_conservative,battle_dominant,1,1,Khalid ibn al-Walid,99.55505761843789,medieval
baseline_conservative,battle_dominant,2,2,Jean Lannes,99.28937259923175,revolutionary_napoleonic
baseline_conservative,battle_dominant,3,3,Napoleon Bonaparte,98.1370038412292,revolutionary_napoleonic
baseline_conservative,battle_dominant,4,4,Alexander Suvorov,98.02176696542894,revolutionary_napoleonic
baseline_conservative,battle_dominant,5,5,"Alexander Farnese, Duke of Parma",97.33034571062741,early_modern
baseline_conservative,battle_dominant,6,6,Takeda Shingen,97.2247119078105,early_modern
baseline_conservative,battle_dominant,7,7,Louis-Gabriel Suchet,96.02432778489117,revolutionary_napoleonic
baseline_conservative,battle_dominant,8,8,"Maurice, Prince of Orange",95.95070422535211,early_modern
baseline_conservative,battle_dominant,9,9,"Sébastien Le Prestre, Marquis of Vauban",95.85467349551857,early_modern
baseline_conservative,battle_dominant,10,10,Abu Ubayda ibn al-Jarrah,95.59859154929578,medieval
baseline_conservative,battle_dominant,11,11,Francis Vere,94.06209987195902,early_modern
baseline_conservative,battle_dominant,12,12,Nathan Bedford Forrest,93.67797695262483,long_nineteenth_century
baseline_conservative,battle_dominant,13,13,Amr ibn al-As,93.30345710627401,medieval
baseline_conservative,battle_dominant,14,14,Subutai,92.70486555697823,medieval
baseline_conservative,battle_dominant,15,15,Charles XIV John,92.48719590268887,revolutionary_napoleonic
baseline_conservative,battle_dominant,16,16,Stanisław Żółkiewski,92.25352112676057,early_modern
baseline_conservative,battle_dominant,17,17,Maurice de Saxe,92.14148527528809,early_modern
baseline_conservative,battle_dominant,18,18,Robert L. Eichelberger,92.02624839948783,world_wars
baseline_conservative,battle_dominant,19,19,Walter Krueger,92.02624839948783,world_wars
baseline_conservative,battle_dominant,20,20,Mahmud Pasha Angelović,92.02304737516005,medieval
baseline_conservative,battle_dominant,21,21,Louis-Nicolas Davout,91.66453265044814,revolutionary_napoleonic
baseline_conservative,battle_dominant,22,22,André Masséna,91.1235595390525,revolutionary_napoleonic
baseline_conservative,battle_dominant,23,23,Jean Victor Marie Moreau,90.45454545454547,revolutionary_napoleonic
baseline_conservative,battle_dominant,24,24,Baybars,90.29769526248398,medieval
baseline_conservative,battle_dominant,25,25,Ubadah ibn al-Samit,90.22087067861715,medieval
baseline_conservative,battle_dominant,26,26,Jan Karol Chodkiewicz,89.76952624839949,early_modern
