display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,modern,robust_elite_core,high,1.0,4.0,3.0,2.0,6,6,4.0,4.0,1.0,1.0,1.0,1.0,1.0,18,20,19,13,B=19; O=0; C=0; W=1,core_stable,,mixed_model_sensitivity,Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 3.
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,modern,robust_elite_core,very_high,2.0,6.0,4.0,3.6666666666666665,6,6,3.0,3.0,3.0,6.0,5.0,2.0,5.0,60,67,65,25,B=65; O=0; C=0; W=2,core_stable,,mixed_model_sensitivity,Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 4.
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,early_modern,robust_elite_core,very_high,2.0,14.0,12.0,6.333333333333333,5,6,8.0,14.0,2.0,5.0,4.0,3.0,6.0,35,38,36,14,B=36; O=0; C=0; W=2,stable,,mixed_model_sensitivity,Trust-first v2 rank 2 with very_high confidence; Top-25 in 6 trusted models and rank spread 12.
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,modern,robust_elite_core,high,2.0,17.0,15.0,8.166666666666666,4,6,2.0,2.0,6.0,9.0,9.0,13.0,17.0,27,28,25,15,B=25; O=0; C=0; W=3,stable,,mixed_model_sensitivity,Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 15.
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,modern,robust_elite_core,high,7.0,21.0,14.0,11.833333333333334,4,6,21.0,8.0,7.0,8.0,44.0,9.0,18.0,20,25,22,10,B=22; O=0; C=0; W=3,stable,,mixed_model_sensitivity,Trust-first v2 rank 7 with high confidence; Top-25 in 6 trusted models and rank spread 14.
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,modern,robust_elite_core,high,9.0,16.0,7.0,12.333333333333334,2,6,15.0,13.0,9.0,10.0,8.0,11.0,16.0,16,21,16,11,B=16; O=0; C=0; W=5,core_stable,,mixed_model_sensitivity,Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 7.
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,early_modern,high_confidence_upper_band,moderate,4.0,10.0,6.0,7.0,6,6,9.0,9.0,5.0,4.0,3.0,5.0,10.0,13,16,13,7,B=13; O=0; C=0; W=3,core_stable,,mixed_model_sensitivity,High-confidence upper-band commander; rank 5 but not stable enough for the headline core.
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,medieval,high_confidence_upper_band,moderate,3.0,28.0,25.0,9.333333333333334,4,5,14.0,28.0,4.0,3.0,6.0,4.0,3.0,16,16,13,12,B=13; O=0; C=0; W=3,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 4 but not stable enough for the headline core.
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,medieval,high_confidence_upper_band,moderate,1.0,29.0,28.0,14.666666666666666,2,5,1.0,1.0,18.0,21.0,23.0,18.0,29.0,39,41,40,18,B=40; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 18 but not stable enough for the headline core.
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,early_modern,high_confidence_upper_band,moderate,5.0,30.0,25.0,15.0,2,5,5.0,7.0,17.0,17.0,19.0,14.0,30.0,18,20,19,10,B=19; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 17 but not stable enough for the headline core.
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,modern,high_confidence_upper_band,moderate,7.0,33.0,26.0,15.333333333333334,2,5,7.0,10.0,15.0,12.0,12.0,15.0,33.0,19,21,19,7,B=19; O=0; C=0; W=2,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 15 but not stable enough for the headline core.
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,early_modern,high_confidence_upper_band,moderate,4.0,42.0,38.0,18.5,2,4,31.0,42.0,11.0,7.0,7.0,16.0,4.0,11,15,8,8,B=8; O=0; C=0; W=7,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 11 but not stable enough for the headline core.
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,early_modern,high_confidence_upper_band,moderate,10.0,43.0,33.0,21.5,1,4,28.0,43.0,12.0,11.0,11.0,10.0,25.0,15,20,17,11,B=17; O=0; C=0; W=3,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 12 but not stable enough for the headline core.
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,medieval,high_confidence_upper_band,moderate,12.0,50.0,38.0,24.166666666666668,0,4,32.0,50.0,14.0,13.0,61.0,12.0,24.0,18,18,15,8,B=15; O=0; C=0; W=3,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 14 but not stable enough for the headline core.
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,medieval,high_confidence_upper_band,moderate,8.0,48.0,40.0,24.333333333333332,1,3,34.0,48.0,13.0,16.0,13.0,8.0,27.0,21,23,22,19,B=22; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 13 but not stable enough for the headline core.
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,early_modern,high_confidence_upper_band,moderate,11.0,41.0,30.0,26.166666666666668,0,3,16.0,20.0,41.0,39.0,51.0,30.0,11.0,10,11,11,9,B=11; O=0; C=0; W=0,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 41 but not stable enough for the headline core.
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,medieval,high_confidence_upper_band,moderate,6.0,45.0,39.0,26.333333333333332,1,3,24.0,37.0,27.0,19.0,20.0,6.0,45.0,9,10,9,6,B=9; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 27 but not stable enough for the headline core.
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,modern,high_confidence_upper_band,moderate,16.0,43.0,27.0,27.333333333333332,0,3,22.0,32.0,16.0,24.0,15.0,27.0,43.0,37,43,40,19,B=40; O=0; C=0; W=3,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 16 but not stable enough for the headline core.
Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,ancient,high_confidence_upper_band,moderate,16.0,55.0,39.0,30.5,0,3,38.0,16.0,25.0,28.0,36.0,21.0,55.0,18,27,25,4,B=25; O=0; C=0; W=2,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 25 but not stable enough for the headline core.
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,modern,high_confidence_upper_band,moderate,21.0,53.0,32.0,36.0,0,1,42.0,53.0,30.0,33.0,41.0,37.0,21.0,11,13,13,9,B=13; O=0; C=0; W=0,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 30 but not stable enough for the headline core.
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,ancient,high_confidence_upper_band,moderate,22.0,57.0,35.0,36.0,0,3,57.0,39.0,23.0,22.0,14.0,23.0,52.0,11,18,17,6,B=17; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 23 but not stable enough for the headline core.
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,modern,high_confidence_upper_band,moderate,26.0,66.0,40.0,44.666666666666664,0,0,49.0,66.0,33.0,30.0,42.0,26.0,64.0,10,11,10,4,B=10; O=0; C=0; W=1,model_sensitive,,mixed_model_sensitivity,High-confidence upper-band commander; rank 33 but not stable enough for the headline core.
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,modern,model_sensitive_band,caution,2.0,60.0,58.0,21.166666666666668,4,4,46.0,60.0,10.0,2.0,2.0,7.0,2.0,9,9,7,7,B=7; O=0; C=0; W=2,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,medieval,model_sensitive_band,moderate,11.0,53.0,42.0,28.0,0,3,13.0,11.0,53.0,36.0,35.0,33.0,22.0,10,12,12,6,B=12; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,early_modern,model_sensitive_band,caution,5.0,58.0,53.0,28.166666666666668,2,2,6.0,5.0,32.0,37.0,38.0,31.0,58.0,18,20,20,4,B=20; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,modern,model_sensitive_band,caution,8.0,79.0,71.0,30.333333333333332,1,4,44.0,79.0,8.0,14.0,27.0,22.0,15.0,20,22,18,15,B=18; O=3; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,medieval,model_sensitive_band,moderate,12.0,57.0,45.0,36.0,0,3,20.0,21.0,54.0,52.0,65.0,57.0,12.0,10,11,11,10,B=11; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,medieval,model_sensitive_band,caution,10.0,73.0,63.0,40.166666666666664,1,2,10.0,15.0,58.0,50.0,57.0,73.0,35.0,13,13,12,3,B=12; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,early_modern,model_sensitive_band,caution,18.0,71.0,53.0,40.166666666666664,0,1,36.0,18.0,37.0,35.0,47.0,44.0,71.0,10,12,11,5,B=11; O=0; C=0; W=1,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,modern,model_sensitive_band,caution,20.0,86.0,66.0,41.5,0,3,56.0,86.0,20.0,25.0,16.0,20.0,42.0,17,22,20,12,B=20; O=2; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
