battle_id,battle_name,battle_name_normalized,wikipedia_title,source_url,date_raw,start_date,end_date,year,century,date_parse_confidence,war_name,campaign_name,location_raw,location_normalized,latitude,longitude,present_day_country,result_raw,result_normalized,result_type,belligerent_1_raw,belligerent_2_raw,belligerent_3_raw,commander_side_a_raw,commander_side_b_raw,commander_side_c_raw,strength_side_a_raw,strength_side_b_raw,strength_side_c_raw,casualties_side_a_raw,casualties_side_b_raw,casualties_side_c_raw,strength_side_a_min,strength_side_a_max,strength_side_b_min,strength_side_b_max,casualties_side_a_min,casualties_side_a_max,casualties_side_b_min,casualties_side_b_max,page_type,page_type_confidence,classification_notes,acceptance_reason,battle_type,infobox_present,text_length,categories,list_page_origin,parent_list_page,discovery_root,source_family,extraction_confidence,notes,removal_reason,validation_status
battle_1042730,Air assault,Air assault,Air assault,https://en.wikipedia.org/wiki/Air_assault,FM 1-02 (FM 101-5-1,,,101.0,2.0,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.33,battle-like title,battle-like title | fallback wikitext extraction,land_battle,False,26800,Aerial warfare strategy | Aerial warfare tactics | Airborne warfare | All accuracy disputes | All articles needing additional references | All articles with unsourced statements | Articles needing additional references from October 2023 | Articles with disputed statements from June 2012 | Articles with short description | Articles with unsourced statements from August 2012 | CS1 Romanian-language sources (ro) | CS1 Russian-language sources (ru) | Commons category link from Wikidata | Infantry | Short description matches Wikidata | Webarchive template wayback links,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,Lists of battles,battle_type_based | war_conflict_based,0.2,recovery_mode=fallback_wikitext,known_false_positive|generic_category_signal,removed_false_positive
battle_1221271,Zhang Xiu (warlord),Zhang Xiu,Zhang Xiu (warlord),https://en.wikipedia.org/wiki/Zhang_Xiu_(warlord),In 197,,,197,2,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.67,war/conflict title | biography categories | war/conflict-like title only,war/conflict title | biography categories | war/conflict-like title only | fallback wikitext extraction,land_battle,True,4082,207 deaths | 2nd-century births | Articles containing Chinese-language text | Articles with short description | Generals under Cao Cao | Generals under Liu Biao | Han dynasty warlords | Pages with invalid birth or death dates | People from Baiyin | Short description matches Wikidata,List of battles before 301,List of battles before 301,Lists of battles,period_based,0.4,recovery_mode=fallback_wikitext,known_false_positive|biography_title_signal,removed_false_positive
battle_88176,Popular Front for the Liberation of Palestine – General Command,Popular Front for the Liberation of Palestine – General Command,Popular Front for the Liberation of Palestine – General Command,https://en.wikipedia.org/wiki/Popular_Front_for_the_Liberation_of_Palestine_%E2%80%93_General_Command,Flight 330,,,330.0,4.0,0.5,National affiliation: Palestine Liberation Organization [ 7 ] Alliance of Palestinian Forces International affiliation: Axis of Resistance,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,campaign_article,0.5,campaign signals,campaign signals,campaign_like_engagement,True,25288,Webarchive_template_wayback_links | CS1_Arabic-language_sources_(ar) | CS1_maint:_archived_copy_as_title | Webarchive_template_archiveis_links | Articles_with_short_description | Short_description_matches_Wikidata | Wikipedia_extended-confirmed-protected_pages | Use_dmy_dates_from_May_2016 | Articles_containing_Arabic-language_text | Articles_needing_additional_references_from_February_2024 | All_articles_needing_additional_references | All_articles_with_unsourced_statements | Articles_with_unsourced_statements_from_February_2024 | Articles_with_unsourced_statements_from_November_2012 | Articles_with_unsourced_statements_from_May_2013 | Articles_with_unsourced_statements_from_December_2015 | Wikipedia_external_links_cleanup_from_May_2025 | Articles_with_Arabic-language_sources_(ar) | Arab_nationalist_militant_groups | Offshoots_of_the_Arab_Nationalist_Movement | Anti-Israeli_sentiment_in_Palestine | Anti-Israeli_sentiment_in_Syria | Anti-Zionism_in_the_Arab_world | Factions_of_the_Palestine_Liberation_Organization | Guerrilla_organizations | National_liberation_movements | Organisations_designated_as_terrorist_by_the_European_Union | Organizations_based_in_Asia_designated_as_terrorist | Palestinian_militant_groups | Pro-Assad_factions_of_the_Syrian_civil_war | Resistance_movements | Organisations_designated_as_terrorist_by_the_United_Kingdom | Organizations_designated_as_terrorist_by_the_United_States | Organisations_designated_as_terrorist_by_Japan | Popular_Front_for_the_Liberation_of_Palestine | Organizations_designated_as_terrorist_by_Canada | 1968_establishments_in_Palestine | Axis_of_Resistance,List of military engagements during the Gaza war | List of wars: 1945–1989 | List of wars: 2003–2019 | List of wars: 2020–present,List of military engagements during the Gaza war | List of wars: 1945–1989 | List of wars: 2003–2019 | List of wars: 2020–present,Lists of battles,war_conflict_based,0.4,,known_false_positive|generic_category_signal,removed_false_positive
battle_1968575,Principles of war,Principles of war,Principles of war,https://en.wikipedia.org/wiki/Principles_of_war,Arthashastra 350,,,350.0,4.0,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.5,war/conflict title,war/conflict title | fallback wikitext extraction,war_conflict,False,28233,All articles with specifically marked weasel-worded phrases | All articles with unsourced statements | Articles containing German-language text | Articles with short description | Articles with specifically marked weasel-worded phrases from March 2015 | Articles with unsourced statements from August 2008 | Articles with unsourced statements from December 2024 | Articles with unsourced statements from February 2015 | CS1 French-language sources (fr) | Military doctrines | Short description matches Wikidata | Warrior code | Webarchive template wayback links,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,List of non-international armed conflicts | List of sieges | List of wars by death toll | Outline of war,Lists of battles,battle_type_based | war_conflict_based,0.2,recovery_mode=fallback_wikitext,known_false_positive|generic_category_signal,removed_false_positive
battle_6025104,United Nations Disengagement Observer Force,United Nations Disengagement Observer Force,United Nations Disengagement Observer Force,https://en.wikipedia.org/wiki/United_Nations_Disengagement_Observer_Force,Resolution 350,,,350,4,0.5,,,,,33.11666667,35.86666667,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | campaign signals,battle-like title | battle categories | campaign signals | fallback wikitext extraction,land_battle,True,17277,All Wikipedia articles written in American English | All articles containing potentially dated statements | Articles containing potentially dated statements from 2017 | Articles containing potentially dated statements from January 2025 | Articles with short description | CS1 German-language sources (de) | Commons category link is on Wikidata | Coordinates on Wikidata | Golan Heights | Israel and the United Nations | Military operations involving India | Military units and formations established in 1974 | Pages using gadget WikiMiniAtlas | Pages using the Kartographer extension | Short description is different from Wikidata | Syria and the United Nations | Territories administered by the United Nations | United Nations operations in the Middle East | Use American English from March 2019 | Use dmy dates from September 2019 | Yom Kippur War,List of military engagements during the Gaza war,List of military engagements during the Gaza war,Lists of battles,war_conflict_based,0.4,recovery_mode=fallback_wikitext,known_false_positive|generic_category_signal,removed_false_positive
battle_58664954,Nizari–Seljuk conflicts,Nizari–Seljuk conflicts,Nizari–Seljuk conflicts,https://en.wikipedia.org/wiki/Nizari%E2%80%93Seljuk_conflicts,1090–1194 (1090-01-01 AD 1194-01-01 AD),1090-04-01,1194-04-01,1090.0,11.0,1.0,Nizari–Seljuk conflicts,,Western and Central Asia,Western and Central Asia,,,,Stalemate,Stalemate,stalemate,Seljuk Empire * Abbasid Caliphate *Sunni townspeople -------- *Bawandids of Tabaristan and Gilan * Zaydi Alids of Rudbar *Paduspanids of Tabaristan *Banu Munqidh of Shayzar -------- *Crusaders: ** Principality of Antioch **Kingdom of Jerusalem ** County of Tripoli ** Knights Templar ** Knights Hospitaller -------- * Fatimid Caliphate Ayyubid Sultanate,Nizari Ismaili state of Alamut (the Assassins),,See list,See list,,Unknown,Weaker,,"100+ high-ranking statesmen, clerics, and officers were assassinated","20,000+ Ismaili civilians, militia and militants were massacred",Many were killed due to suspicion or accusation of being Ismaili or sympathizing with the Ismailis,,,,,100.0,100.0,20000.0,20000.0,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories,battle categories | war/conflict title | war/conflict categories | fallback wikitext extraction,war_conflict,True,51159,11th-century conflicts | 12th-century conflicts | All articles needing additional references | Articles containing French-language text | Articles needing additional references from December 2025 | Articles with short description | Battles involving the Seljuk Empire | CS1: long volume value | CS1 Persian-language sources (fa) | Nizari Ismaili state | Nizari Ismaili–Seljuk conflicts | Political movements in Asia | Short description is different from Wikidata | Wars involving the Nizari Ismaili state | Webarchive template wayback links,List of wars: 1000–1499,List of wars: 1000–1499,Lists of battles,war_conflict_based,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_4356551,Battle of Víðines,Battle of Víðines,Battle of Víðines,https://en.wikipedia.org/wiki/Battle_of_V%C3%AD%C3%B0ines,In 1208,1208-04-01,1208-04-01,1208.0,13.0,1.0,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories,land_battle,False,1877,Articles_with_short_description | Short_description_is_different_from_Wikidata | Articles_lacking_page_references_from_November_2025 | Articles_containing_Icelandic-language_text | 13th_century_in_Iceland | 13th-century_Catholicism | Conflicts_in_1208 | 1208_in_Europe,List of battles 301–1300 | List of battles by geographic location,List of battles 301–1300 | List of battles by geographic location,Lists of battles,list_misc,0.2,,no_event_specific_fields,removed_false_positive
battle_7661380,Battle of Radcot Bridge,Battle of Radcot Bridge,Battle of Radcot Bridge,https://en.wikipedia.org/wiki/Battle_of_Radcot_Bridge,19 December 1387,1387-12-19,1387-12-19,1387,14,1.0,Battle of Radcot Bridge,,"Radcot Bridge, Oxfordshire","Radcot Bridge, Oxfordshire",51.6931,-1.589,,Decisive Lords Appellant victory,Victory,decisive_victory,Kingdom of England,Lords Appellant,,Earl of Oxford,Earl of Northampton,,"4,000","4,500",,3,None,,4000,4000,4500,4500,3,3,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,True,4308,1387 in England | 1387 in Europe | All articles needing additional references | Articles needing additional references from November 2024 | Articles with multiple maintenance issues | Articles with short description | Battles involving the Kingdom of England | Conflicts in 1387 | Coordinates on Wikidata | Medieval Berkshire | Military history of Berkshire | Military history of Oxfordshire | Pages using gadget WikiMiniAtlas | Richard II of England | Short description matches Wikidata | Use dmy dates from February 2021 | Wikipedia articles needing reorganization from March 2018,List of battles 1301–1600 | List of battles by geographic location,List of battles 1301–1600 | List of battles by geographic location,Lists of battles,list_misc,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_485466,War of the Three Henrys,War of the Three Henrys,War of the Three Henrys,https://en.wikipedia.org/wiki/War_of_the_Three_Henrys,1585–1589Kohn 2013,1585-04-01,,1585.0,16.0,0.75,French Wars of Religion,,France,France,,,,Henry of Navarre outlives the other Henrys and becomes the King of France House of Bourbon replaces the House of Valois as the Royal House of France,Unknown,unknown,Protestants: *20px Huguenots *Kingdom of England,Kingdom of France Politiques,Catholics: *30px Catholic League *Spain Spain *Duchy of Savoy,"20px Henry of Navarre
20px Henri, Prince of Condé (1552–1588)","20px Henry III of France *20px Duke of Mercœur *20px Anne, Duke of Joyeuse *20px Jean, Duke of Épernon","20px Henry I, Duke of Guise *20px Charles, Duke of Mayenne",,,,,,,,,,,,,,,war_conflict_article,0.83,war/conflict title | war/conflict categories | biography categories,war/conflict title | war/conflict categories | biography categories | fallback wikitext extraction,war_conflict,True,9973,1580s in France | All articles needing additional references | All articles with unsourced statements | Articles containing French-language text | Articles needing additional references from September 2022 | Articles with short description | Articles with unsourced statements from September 2022 | CS1 errors: ISBN date | CS1 maint: location missing publisher | French Wars of Religion | Henry III of France | Henry IV of France | Pages using multiple image with manual scaled images | Short description is different from Wikidata | Wars of succession involving the states and peoples of Europe,List of battles 1301–1600 | List of battles by geographic location,List of battles 1301–1600 | List of battles by geographic location,Lists of battles,list_misc,1.0,recovery_mode=fallback_wikitext,generic_category_signal,removed_false_positive
battle_30745321,"Baleine, Nova Scotia","Baleine, Nova Scotia","Baleine, Nova Scotia",https://en.wikipedia.org/wiki/Baleine%2C_Nova_Scotia,8 November 1621,1621-11-08,1621-11-08,1621.0,17.0,1.0,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.5,battle categories | war/conflict categories,battle categories | war/conflict categories,land_battle,False,6205,Pages_using_gadget_WikiMiniAtlas | Articles_with_short_description | Short_description_is_different_from_Wikidata | Use_Canadian_English_from_February_2026 | All_Wikipedia_articles_written_in_Canadian_English | Coordinates_on_Wikidata | Communities_in_the_Cape_Breton_Regional_Municipality | Conflicts_in_Nova_Scotia | Unincorporated_communities_in_Nova_Scotia,List of conflicts in North America,List of conflicts in North America,Lists of battles,war_conflict_based,0.2,,no_event_specific_fields,removed_false_positive
