battle_id,wikipedia_title,status
battle_34184306,War of the Heavenly Horses,processed
battle_63509993,Siege of the fortress at Muluccha,processed
battle_4534026,Battle of Loulan,processed
battle_9292796,Siege of Thala,processed
battle_19503687,Han conquest of Gojoseon,processed
battle_58038666,Siege of Cirta,processed
battle_1353923,Herodium,processed
battle_6469947,Siege of Numantia,processed
battle_39899639,Han conquest of Dian,processed
battle_79629525,Sunpadh Rebellion,processed
battle_39871561,Han campaigns against Minyue,processed
battle_82484704,Siege of Dong'ou,processed
battle_54202353,Burnswark Hill,processed
battle_42545487,Battle of Scarpheia,processed
battle_36192780,Battle of Nepheris (147 BC),processed
battle_3134442,Battle of Beth Horon (166 BC),processed
battle_12012137,Battle of the Ascent of Lebonah,processed
battle_89348,Battle of Pydna,processed
battle_74010056,Siege of Bassania,processed
battle_23223203,Battle of Manlian Pass,processed
battle_6906551,First Celtiberian War,processed
battle_12575824,Battle of Mount Olympus,processed
battle_46781816,Battle of Venni,processed
battle_779078,Battle of Jieqiao,processed
battle_12598168,Battle of Xiangyang (191),processed
battle_25792603,Battle of Mutina (193 BC),processed
battle_3125814,Battle of Issus (194),processed
battle_3172517,Battle of Placentia (194 BC),processed
battle_79812805,Siege of Hatra (197–198),processed
battle_3175423,Battle of Cremona (200 BC),processed
battle_3158092,Battle of Chios (201 BC),processed
battle_6080202,Battle of Lade (201 BC),processed
battle_80402476,War of the Armenian Succession (201–200 BC),processed
battle_31848054,Battle of Liyang,processed
battle_3158074,Battle of Jingxing,processed
battle_37135902,Battle of Carteia,processed
battle_57689505,Battle of Petelia,processed
battle_763392,Battle of Red Cliffs,processed
battle_65427437,Battle of Mount Labus,processed
battle_15735000,Battle of New Carthage,processed
battle_8016197,Battle of Tarentum (212 BC),processed
battle_16773930,Battle of Lucheng,processed
battle_35606863,Battle of Ruxu (213),processed
battle_16722431,Siege of Jicheng,processed
battle_18213024,Battle of Yangping,processed
battle_57836104,Battle of Silva Litana,processed
battle_5126556,Battle of Ebro River,processed
battle_12598875,Battle of Ruxu (217),processed
battle_31635657,Hanzhong Campaign,processed
battle_2462890,Battle of Antioch (218),processed
battle_8449905,Battle of Lilybaeum,processed
battle_12962824,Battle of the Rhône Crossing,processed
battle_16758705,Battle of Han River,processed
battle_5836293,Siege of Saguntum,processed
battle_25215061,Qin campaign against the Baiyue,processed
battle_3167375,Battle of Faesulae (225 BC),processed
battle_13057967,Xincheng Rebellion,processed
battle_42514748,Battle of Phoenice,processed
battle_42513975,Siege of Medion,processed
battle_25177352,Battle at the Harzhorn,processed
battle_3019689,Gothic wars,processed
battle_39140192,Siege of Nisibis (237),processed
battle_64471347,Battle of Aphrodisium,processed
battle_3134362,Battle of Carthage (238),processed
battle_40167515,Siege of Aquileia,processed
battle_37272121,Battle of the Caecus River,processed
battle_35030087,Wang Ling's Rebellion,processed
battle_57087186,Siege of Nisibis (252),processed
battle_50823952,Battle of Interamna Nahars,processed
battle_39147951,Siege of Antioch (253),processed
battle_9978816,Battle of Thermopylae (254),processed
battle_58021010,Siege of Thessalonica (254),processed
battle_51240628,Roman withdrawal from Africa (255 BC),processed
battle_20681480,Siege of Aspis,processed
battle_39831094,Siege of Dura-Europos (256),processed
battle_54519130,Battle of Handan,processed
battle_8009553,Battle of Mediolanum,processed
battle_1973930,Kalinga War,processed
battle_11427,First Punic War,processed
battle_24417,Punic Wars,processed
battle_51306,Battle of Lake Benacus,processed
battle_50844058,Siege of Augustodunum Haeduorum,processed
battle_3158506,Battle of Fano,processed
battle_2899174,Battle of Pavia (271),processed
battle_3122832,Battle of Placentia (271),processed
battle_73025627,Battle of Xiling,processed
battle_46662926,Siege of Tyana (272),processed
battle_38772872,Battle of the Aous (274 BC),processed
battle_1905296,Battle of Beneventum (275 BC),processed
battle_34167903,Battle of the Strait of Messina,processed
battle_34167455,Battle of the Cranita hills,processed
battle_34171338,Siege of Lilybaeum (c. 277 BC),processed
battle_44996899,Siege of Syracuse (278 BC),processed
battle_9978674,Battle of Thermopylae (279 BC),processed
battle_3154809,Battle of Populonia,processed
battle_3134173,Battle of the Margus,processed
battle_3166553,Battle of Aquilonia,processed
battle_3167577,Battle of Lingones,processed
battle_3172263,Battle of Vindonissa,processed
battle_48639431,Battle of Chuisha,processed
battle_44225556,Battle of White Tunis,processed
battle_2218963,Battle of the Himera River (311 BC),processed
battle_62447361,First siege of Babylon,processed
battle_51035921,Antigonid–Nabataean confrontations,processed
battle_3106112,Battle of Turin (312),processed
battle_71811306,Siege of Segusio,processed
battle_3133993,Battle of Tzirallum,processed
battle_3166672,Battle of Cibalae,processed
battle_3168245,Battle of Mardia,processed
battle_60625347,Siege of Megalopolis,processed
battle_34199576,Battle of Plataea (323 BC),processed
battle_3110360,Battle of Adrianople (324),processed
battle_2281210,Battle of Chrysopolis,processed
battle_3134118,Battle of the Hellespont,processed
battle_68508913,Siege of Byzantium (324),processed
battle_62854196,Battle of Imbrinium,processed
battle_39166590,Shapur II's Arab campaign,processed
battle_34185030,Siege of Cyropolis,processed
battle_3130557,Battle of Pandosia,processed
battle_32396428,Battle of Thebes,processed
battle_2047162,Battle of the Crimissus,processed
battle_3154315,Battle of Trifanum,processed
battle_3580658,Latin War,processed
battle_2204613,Battle of Mount Gaurus,processed
battle_36300523,Battle of Saticula,processed
battle_9125361,Battle of Suessula,processed
battle_44994160,Siege of Syracuse (343 BC),processed
battle_24220548,Roman civil war of 350–353,processed
battle_9125598,Battle of Brumath,processed
battle_3163231,Battle of Durocortorum,processed
battle_9125529,Siege of Autun (356),processed
battle_9125639,Siege of Senonae,processed
battle_9790851,Third Sacred War,processed
battle_62629526,Battle of Pedum (358 BC),processed
battle_60053224,Shapur II's siege of Bezabde,processed
battle_53604384,Siege of Theodosia (c. 360 BC),processed
battle_745984,Battle of Mantinea (362 BC),processed
battle_55076613,Siege of Maiozamalcha,processed
battle_9292868,Siege of Pirisabora,processed
battle_745978,Battle of Cynoscephalae (364 BC),processed
battle_53599003,Siege of Theodosia (c. 365 BC),processed
battle_3163142,Battle of the Tanais River,processed
battle_59652977,Battle of Cronium,processed
battle_745969,Battle of Naxos,processed
battle_56223561,Battle of Dibaltum,processed
battle_22302712,Battle of Cabala,processed
battle_53825702,Battle of Labrytae,processed
battle_76091944,First Olynthian War,processed
battle_41411193,Battle of Pharos,processed
battle_34173457,Cadusian campaign of Artaxerxes II,processed
battle_3171761,Siege of Rhegium,processed
battle_3175710,Battle of the Elleporus,processed
battle_53598816,Siege of Theodosia (389 BC),processed
battle_4577840,Battle of Lechaeum,processed
battle_24321489,Battle of Chrysas,processed
battle_24309074,Battle of Abacaenum,processed
battle_24407340,Siege of Tauromenium (394 BC),processed
battle_17077094,Battle of Canhe Slope,processed
battle_3109013,Battle of Haliartus,processed
battle_43179791,Stilicho's Pictish War,processed
battle_80167800,Battle of Baisi,processed
battle_16454629,Battle of Catana (397 BC),processed
battle_16163757,Battle of Messene,processed
battle_4100252,Battle of Phyle,processed
battle_16074902,Siege of Akragas (406 BC),processed
battle_65528116,Vandal–Frankish war,processed
battle_58333659,Battle of Ostia (409),processed
battle_16057210,Battle of Selinus,processed
battle_22881898,Liu Yu's Northern Expeditions,processed
battle_3162376,Sack of Rome (410),processed
battle_5180852,Battle of Eretria,processed
battle_418886,Battle of Syme,processed
battle_53816952,Battle of Hysiae (417 BC),processed
battle_53844244,Battle of Orneae,processed
battle_413355,Battle of Delium,processed
battle_412766,Battle of Sphacteria,processed
battle_8901125,Battle of Idomene,processed
battle_411377,Battle of Tanagra (426 BC),processed
