analytic_commander_id,commander_name,canonical_wikipedia_url,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,tier_key,tier_label,tier_sort,tier_reason,stability_score,stability_category,known_outcome_count,known_outcome_share,higher_level_share,page_type_profile_class,feature_quality_flags
acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,1.0,91.36363636363636,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",98.803941,very_stable,18,0.9,0.0180878552971576,battle_dominant,
acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,3.0,88.42174320524836,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",99.028066,very_stable,60,0.895522,0.0106544901065449,battle_dominant,
acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,4.0,88.30178069353329,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",89.768738,very_stable,16,1.0,0.0747330960854092,battle_dominant,
acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,6.0,86.81162136832239,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",91.973338,very_stable,27,0.964286,0.0403071017274472,battle_dominant,
acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,7.0,86.67104029990628,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",92.248487,very_stable,20,0.8,0.0455531453362255,battle_dominant,
acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,8.0,86.27553889409559,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",76.009263,stable,20,0.909091,0.1325301204819277,battle_dominant,
acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,9.0,86.09090909090911,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",90.350622,very_stable,16,0.761905,0.0985915492957746,battle_dominant,
acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,12.0,85.47985004686036,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",80.644018,stable,15,0.75,0.0581717451523545,battle_dominant,
acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,15.0,84.89409559512653,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",87.14066,very_stable,19,0.904762,0.0355329949238578,battle_dominant,
acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,16.0,84.28584817244611,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",79.964309,stable,37,0.860465,0.02557856272838,battle_dominant,
acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,18.0,83.5801312089972,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",84.361571,very_stable,39,0.95122,0.0,battle_dominant,
acmd_31e8258ee555,Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,20.0,83.04029990627929,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",71.538076,stable,17,0.772727,0.074074074074074,battle_dominant,
acmd_ed6b2e7bab39,Hannibal,https://en.wikipedia.org/wiki/Hannibal,25.0,81.60262417994377,tier_a_robust_elite,"Tier A, robust elite",1,"High trust-first rank, strong cross-model stability, substantial known-outcome evidence, and limited high-level page dependence.",77.092388,stable,18,0.666667,0.0272373540856031,battle_dominant,
acmd_3fe0c4409371,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,10.0,86.08247422680412,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",80.771499,stable,9,1.0,0.0909090909090909,battle_dominant,
acmd_73ed44aa1867,Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,21.0,82.21180880974696,tier_b_elite_model_sensitive,"Tier B, elite but model-sensitive",2,"High trust-first rank with meaningful support, but exact placement is sensitive to model assumptions or evidence mix.",70.687111,stable,12,0.631579,0.4705882352941176,battle_dominant,
