display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,current_outcome_category,unresolved_reason
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_6023888,Battle of Misiche,battle_article,side_a,Defeat,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_39147951,Siege of Antioch (253),battle_article,side_b,Sasanian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_39831094,Siege of Dura-Europos (256),battle_article,side_a,Sasanian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,battle_39765329,Siege of Caesarea in Cappadocia (260),battle_article,side_a,Sasanian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_27637254,Battle of Jaxartes,battle_article,side_a,Macedonian victoryBivar 1983,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_34185030,Siege of Cyropolis,battle_article,side_a,Macedonian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Craterus,https://en.wikipedia.org/wiki/Craterus,battle_34185030,Siege of Cyropolis,battle_article,side_a,Macedonian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_241926,Battle of Gaugamela,battle_article,side_a,Macedonian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_32279399,Battle of the Uxian Defile,battle_article,side_a,Macedonian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_20474118,Siege of Halicarnassus,battle_article,side_a,Macedonian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_32369190,Siege of Pelium,battle_article,side_a,Macedonian victoryVujčić 2021,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,battle_24202898,Expansion of Macedonia under Philip II,battle_article,side_a,Macedonian hegemony establishment of League of Corinth,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stilicho,https://en.wikipedia.org/wiki/Stilicho,battle_2221853,Battle of the Frigidus,battle_article,side_a,Theodosian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Stilicho,https://en.wikipedia.org/wiki/Stilicho,battle_43179791,Stilicho's Pictish War,war_conflict_article,side_a,Imperial victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_70387436,Muslim–Quraysh War,war_conflict_article,multiple_sides,Muslim victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,battle_3042024,Battle of Mu'tah,battle_article,side_a,First Battle: Byzantine victoryKaegi 1992Donner 1981Buhl 1993 Second Battle: Rashidun Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_23321726,First battle of Dongola,battle_article,side_a,Makurian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Shapur II,https://en.wikipedia.org/wiki/Shapur_II,battle_68795542,Siege of Nisibis (338),battle_article,multiple_sides,Roman victoryDodgeon Lieu 2002,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_14872471,Crusader invasions of Egypt,battle_article,side_b,Zengid victory Crusaders withdraw from Egypt Later establishment of the Ayyubid dynasty,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_78052022,Siege of Alexandria (1167),battle_article,side_b,Negotiated settlement,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_643071,Battle of Montgisard,battle_article,side_b,Crusader victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_16327077,Battle of Belvoir Castle,battle_article,side_b,Crusader victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_3098435,Siege of Kerak,battle_article,side_b,Crusader victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Saladin,https://en.wikipedia.org/wiki/Saladin,battle_1184312,Battle of Cresson,battle_article,side_b,Ayyubid victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
