analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_00002a28fd55,Ayas Mehmed Pasha,https://en.wikipedia.org/wiki/Ayas_Mehmed_Pasha,4,1,1,2,0,structurally_suspect
acmd_0001d87be79e,Bernard Evans,https://en.wikipedia.org/wiki/Bernard_Evans_%28architect%29,1,0,1,0,0,verified_broad
acmd_0007bad37a1a,"Herman of Hesse,<br>Administrator of Cologne",https://en.wikipedia.org/wiki/Hermann_IV_of_Hesse,1,1,0,0,0,verified_core
acmd_0008091e2da5,Crnojević noble family,https://en.wikipedia.org/wiki/Crnojevi%C4%87_noble_family,1,1,0,0,0,verified_core
acmd_000987294550,Rostislav Vsevolodovich,https://en.wikipedia.org/wiki/Rostislav_Vsevolodovich,1,1,0,0,0,verified_core
acmd_00099f36f38e,George Wood,https://en.wikipedia.org/wiki/George_Wood_%28Royal_Navy_officer%29,1,1,0,0,0,verified_core
acmd_0009b1c64e20,François Roguet,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Roguet,1,1,0,0,0,verified_core
acmd_000d64418ade,Juan Banderas,https://en.wikipedia.org/wiki/Juan_Banderas,1,0,1,0,0,verified_broad
acmd_0010225d3bc8,Azarethes,https://en.wikipedia.org/wiki/Azarethes,3,3,0,0,0,verified_core
acmd_00141b520281,Pavel Rybalko,https://en.wikipedia.org/wiki/Pavel_Rybalko,4,4,0,0,0,verified_core
acmd_0014d0bfff7b,Antoine-Henri Jomini,https://en.wikipedia.org/wiki/Antoine-Henri_Jomini,2,2,0,0,0,verified_core
acmd_0014f7ebc1c6,Luchino Visconti,https://en.wikipedia.org/wiki/Luchino_Visconti_%28died_1349%29,2,2,0,0,0,verified_core
acmd_001641bfc5b4,French First Republic Pierre Dumesny,,1,1,0,0,0,verified_core
acmd_001736c90d5f,Thomas Jefferson,https://en.wikipedia.org/wiki/Thomas_Jefferson,3,1,0,2,0,structurally_suspect
acmd_0018bd671dde,Abu Bakr,https://en.wikipedia.org/wiki/Abu_Bakr,10,9,1,0,0,verified_broad
acmd_0019855da8da,Ladislaus II Kán,https://en.wikipedia.org/wiki/Ladislaus_II_K%C3%A1n,1,0,1,0,0,verified_broad
acmd_00220f0ed47f,Gustav Anton von Wietersheim,https://en.wikipedia.org/wiki/Gustav_Anton_von_Wietersheim,2,2,0,0,0,verified_core
