battle_id,battle_name,wikipedia_title,page_type,battle_type,strict_gate_include,balanced_gate_include,exclude_reason_flags,page_type_confidence,extraction_confidence,has_commanders,has_linked_commanders,has_result_raw,has_result_type,analytic_year,analytic_year_confidence,era_bucket,conflict_key,likely_false_positive,hierarchy_overlap_key,scoring_result_source,verification_status,verification_issue_flags,strict_gate_pre_verification,balanced_gate_pre_verification
battle_1269828,Caratacus' last battle,Caratacus' last battle,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,50,high,ancient,the-roman-conquest-of-britain,0,the-roman-conquest-of-britain|50,stored,verified_core,,1,1
battle_1187231,Battle of Vercellae,Battle of Vercellae,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-101,high,ancient,the-cimbrian-war-and-roman-germanic-wars,0,the-cimbrian-war-and-roman-germanic-wars|-101,stored,verified_core,,1,1
battle_5905704,Third Battle of Tapae,Third Battle of Tapae,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,101,medium,ancient,the-dacian-wars,0,the-dacian-wars|101,stored,verified_core,,1,1
battle_1711717,Trajan's Dacian Wars,Trajan's Dacian Wars,war_conflict_article,war_conflict,1,1,,0.83,1.0,1,1,1,1,101,medium,ancient,the-dacian-wars,0,the-dacian-wars|101,stored,verified_core,,1,1
battle_8467905,Trajan's First Dacian War,Trajan's First Dacian War,war_conflict_article,war_conflict,1,1,,0.83,1.0,1,1,1,1,101,medium,ancient,the-dacian-wars,0,the-dacian-wars|101,stored_unknown,verified_core,,1,1
battle_5999960,Battle of Adamclisi,Battle of Adamclisi,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,102,medium,ancient,the-dacian-wars,0,the-dacian-wars|102,stored,verified_core,,1,1
battle_2224425,Battle of Aquae Sextiae,Battle of Aquae Sextiae,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-102,high,ancient,the-cimbrian-war-and-roman-germanic-wars,0,the-cimbrian-war-and-roman-germanic-wars|-102,stored,verified_core,,1,1
battle_61275535,Battle of Tridentum,Battle of Tridentum,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-102,high,ancient,the-cimbrian-war,0,the-cimbrian-war|-102,stored_unknown,verified_core,,1,1
battle_895420,Second Servile War,Second Servile War,war_conflict_article,uprising,1,1,,0.83,1.0,1,1,1,1,-100,high,ancient,the-servile-wars,0,the-servile-wars|-100,stored,verified_core,,1,1
battle_34184306,War of the Heavenly Horses,War of the Heavenly Horses,war_conflict_article,war_conflict,1,1,,0.83,1.0,1,1,1,1,-101,high,ancient,war-of-the-heavenly-horses,0,war-of-the-heavenly-horses|-101,stored,verified_core,,1,1
battle_1406206,Battle of Arausio,Battle of Arausio,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-105,high,ancient,the-cimbrian-war-and-roman-germanic-wars,0,the-cimbrian-war-and-roman-germanic-wars|-105,stored,verified_core,,1,1
battle_8468666,Trajan's Second Dacian War,Trajan's Second Dacian War,war_conflict_article,war_conflict,1,1,,0.83,1.0,1,1,1,1,105,medium,ancient,the-dacian-wars,0,the-dacian-wars|105,stored,verified_core,,1,1
battle_30863164,Battle of Sarmizegetusa,Battle of Sarmizegetusa,battle_article,siege,1,1,,0.83,1.0,1,1,1,1,106,medium,ancient,the-dacian-wars,0,the-dacian-wars|106,stored,verified_core,,1,1
battle_61309241,Second Battle of Cirta,Second Battle of Cirta,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-106,high,ancient,jugurthine-war,0,jugurthine-war|-106,stored,verified_core,,1,1
battle_63509993,Siege of the fortress at Muluccha,Siege of the fortress at Muluccha,battle_article,siege,1,1,,0.83,1.0,1,1,1,1,-106,high,ancient,the-jugurthine-war,0,the-jugurthine-war|-106,stored,verified_core,,1,1
battle_36242133,Battle of Burdigala,Battle of Burdigala,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-107,high,ancient,the-cimbrian-war-and-roman-germanic-wars,0,the-cimbrian-war-and-roman-germanic-wars|-107,stored,verified_core,,1,1
battle_4534026,Battle of Loulan,Battle of Loulan,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-108,high,ancient,the-han-xiongnu-war,0,the-han-xiongnu-war|-108,stored,verified_core,,1,1
battle_9292796,Siege of Thala,Siege of Thala,battle_article,siege,1,1,,0.83,1.0,1,1,1,1,-108,high,ancient,the-jugurthine-war,0,the-jugurthine-war|-108,stored,verified_core,,1,1
battle_3122531,Battle of the Muthul,Battle of the Muthul,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-109,high,ancient,jugurthine-war,0,jugurthine-war|-109,stored,verified_core,,1,1
battle_19503687,Han conquest of Gojoseon,Han conquest of Gojoseon,battle_article,land_battle,1,1,low_page_type_confidence,0.5,1.0,1,1,1,1,-108,high,ancient,han-conquest-of-gojoseon,0,han-conquest-of-gojoseon|-108,stored,verified_core,,0,1
battle_63570699,Siege of Zama,Siege of Zama,battle_article,siege,1,1,,0.83,1.0,1,1,1,1,-109,high,ancient,the-jugurthine-war,0,the-jugurthine-war|-109,stored,verified_core,,1,1
battle_9292775,Battle of Suthul,Battle of Suthul,battle_article,land_battle,1,1,,0.83,1.0,1,1,1,1,-110,high,ancient,jugurthine-war,0,jugurthine-war|-110,stored,verified_core,,1,1
