rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1,91.16947828803501,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,20,19,0,0,1,18,0.9,0.5853481383649944,99.81255857544518,,85.11402686660419,91.89315838800376,96.3917525773196,47.46954076850984,73.9925023430178,31,0.01808785529715762,battle_dominant,
2,88.30615432677288,very_strong,acmd_3fe0c4409371,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,9,7,0,0,2,9,1.0,0.48002062620093305,97.9381443298969,,79.78756638550453,95.31396438612933,65.74507966260543,64.1518275538894,88.89409559512652,37,0.0909090909090909,battle_dominant,
3,87.68228678537959,very_strong,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,16,13,0,0,3,16,1.0,0.4373213478483282,96.06373008434865,,68.04123711340206,90.72164948453609,91.37769447047798,75.72633552014996,88.89409559512652,30,0.07473309608540923,battle_dominant,
4,87.21274601686973,very_strong,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,16,13,0,0,3,13,0.8125,0.5631280820721596,99.71883786316776,,63.12089971883787,90.72164948453609,91.37769447047798,75.72633552014996,60.63730084348641,30,0.07473309608540923,battle_dominant,
5,87.11012183692598,very_strong,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,38,36,0,0,2,35,0.9210526315789473,0.4276705575814642,93.6269915651359,,68.79100281162137,95.92314901593252,99.34395501405811,64.1518275538894,76.19493908153702,38,0.019073569482288825,battle_dominant,
6,87.04389253358326,very_strong,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,67,65,0,0,2,60,0.8955223880597015,0.49857369138716223,98.78163074039362,,69.46266791627616,79.70946579194002,100.0,64.1518275538894,72.35238987816307,22,0.0106544901065449,battle_dominant,
7,85.8186504217432,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,15,8,0,0,7,11,0.7333333333333333,0.4904119699564625,98.21930646672915,,64.90159325210871,84.20805998125586,82.84910965323337,90.01874414245549,58.05998125585754,25,0.23444976076555024,mixed_profile,
8,85.50062480474851,very_strong,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,25,22,0,0,3,20,0.8,0.47633820609652266,97.75070290534208,,67.13527022805373,79.70946579194002,97.9381443298969,75.72633552014996,44.798500468603564,22,0.045553145336225585,battle_dominant,
9,85.12949078412996,very_strong,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,28,25,0,0,3,27,0.9642857142857143,0.5871530954180882,99.90627928772258,,69.00968447360201,58.80974695407685,98.96907216494846,75.72633552014996,77.69447047797563,13,0.04030710172744721,battle_dominant,
10,84.87550765385818,very_strong,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,21,16,0,0,5,16,0.7619047619047619,0.49555770063652144,98.5941893158388,,67.69759450171821,70.80599812558576,95.0328022492971,84.77038425492034,43.95501405810684,18,0.09859154929577464,battle_dominant,
11,83.84786004373635,very_strong,acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,20,17,0,0,3,15,0.75,0.383511604586429,88.56607310215557,,67.69759450171821,95.31396438612933,95.54826616682287,75.72633552014996,51.452671040299904,37,0.058171745152354556,battle_dominant,
12,83.59278350515466,very_strong,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,21,19,0,0,2,19,0.9047619047619048,0.4541656755159531,96.62605435801312,,63.12089971883787,73.33645735707591,96.71977507029054,64.1518275538894,74.13308341143393,19,0.03553299492385787,battle_dominant,
13,83.41096532333646,very_strong,acmd_4ed31628d983,Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,18,15,0,0,3,18,1.0,0.36781036421728197,87.16026241799437,,64.90159325210871,91.89315838800376,93.25210871602624,75.72633552014996,88.89409559512652,31,0.06542056074766353,battle_dominant,
14,83.40378006872852,very_strong,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,22,18,3,0,1,20,0.9090909090909091,0.35782123112287356,86.41049671977507,,96.26679162761639,48.219306466729144,97.09465791940019,90.95595126522961,71.64948453608247,9,0.13253012048192772,battle_dominant,
