row_number,commander_id,name_primary,wikipedia_page,status,blocker_count,blockers
1,cmd_dd874df1a459,& Siquima,,ok,0,
2,cmd_f004c7c033c0,'Abd Allah II ibn 'Ali 'Abd ash-Shakur,https://en.wikipedia.org/wiki/%27Abd_Allah_II_ibn_%27Ali_%27Abd_ash-Shakur,ok,0,
3,cmd_5750c629492d,'Ali Effendi,https://en.wikipedia.org/wiki/%27Ali_Effendi,ok,0,
4,cmd_77f1b9690cd3,'Ali ibn Aban al-Muhallabi,https://en.wikipedia.org/wiki/%27Ali_ibn_Aban_al-Muhallabi,ok,0,
5,cmd_5e57b2048b17,'Ali ibn Muhammad (Zanj leader),https://en.wikipedia.org/wiki/%27Ali_ibn_Muhammad_%28Zanj_leader%29,ok,0,
6,cmd_1bda6d34adf5,'Allaqa,,ok,0,
7,cmd_460e08c10a34,'Amir ibn 'Umara al-Murri,,ok,0,
8,cmd_9fda8119b895,'Isa Khan Bardurrani,https://en.wikipedia.org/wiki/%27Isa_Khan_Bardurrani,ok,0,
9,cmd_119c3646fb63,'Ismah ibn Abdallah,https://en.wikipedia.org/wiki/%27Ismah_ibn_Abdallah,ok,0,
10,cmd_b081c8862f05,(al-Nusra,,ok,0,
11,cmd_2d0a3a58fe11,"(alias: Abu Suleiman, Emir",,ok,0,
12,cmd_12ad9a488413,(Hezbollah operations leader in al-Fu'ah,,ok,0,
13,cmd_3e8b05218013,(Wali of Wilayat Kirkuk,,ok,0,
14,cmd_6ab62ff22bff,...and others,,ok,0,
15,cmd_524c3567d305,a-M is poor source for rebel facts,,ok,0,
16,cmd_0f60ef2cfd67,A. A. K. Niazi,https://en.wikipedia.org/wiki/A._A._K._Niazi,ok,0,
17,cmd_0ee5dbbf9148,A. B. M. G. Kibria,https://en.wikipedia.org/wiki/A._B._M._G._Kibria,ok,0,
18,cmd_25cbb76bd95a,A. Backman,,ok,0,
19,cmd_adde09cdb58c,A. F. Lafir,https://en.wikipedia.org/wiki/A._F._Lafir,ok,0,
20,cmd_dfe360f1b99f,A. F. M. Ahsanuddin Chowdhury,https://en.wikipedia.org/wiki/A._F._M._Ahsanuddin_Chowdhury,ok,0,
21,cmd_b0a99e5d7c57,A. F. Redfern,https://en.wikipedia.org/wiki/A._F._Redfern,ok,0,
22,cmd_488c22f8c48a,A. H. Vedel,https://en.wikipedia.org/wiki/A._H._Vedel,ok,0,
23,cmd_7a0153dc683d,A. I. M. Mostofa Reza Nur,https://en.wikipedia.org/wiki/A._I._M._Mostofa_Reza_Nur,ok,0,
24,cmd_4fabf20cabb9,A. J. Witono,https://en.wikipedia.org/wiki/A._J._Witono,ok,0,
25,cmd_cc75841e8099,A. K. Antony,https://en.wikipedia.org/wiki/A._K._Antony,ok,0,
26,cmd_72c175969f15,A. K. Khandker,https://en.wikipedia.org/wiki/A._K._Khandker,ok,0,
27,cmd_2657ba9f1c30,A. K. M. Fazlul Quader Chowdhury,https://en.wikipedia.org/wiki/A._K._M._Fazlul_Quader_Chowdhury,ok,0,
28,cmd_c9442d8c186c,A. K. M. Nazmul Hasan,https://en.wikipedia.org/wiki/A._K._M._Nazmul_Hasan,ok,0,
29,cmd_bcd48027a37a,A. K. M. Shahidul Haque,https://en.wikipedia.org/wiki/A._K._M._Shahidul_Haque,ok,0,
30,cmd_5e92da53a7ae,A. L. M. Fazlur Rahman,https://en.wikipedia.org/wiki/A._L._M._Fazlur_Rahman,ok,0,
31,cmd_9d7a0ca622ab,A. M. Azahari,https://en.wikipedia.org/wiki/A._M._Azahari,ok,0,
32,cmd_ecb6dbdf1be0,A. P. Hill,https://en.wikipedia.org/wiki/A._P._Hill,ok,0,
33,cmd_252d012e87db,A. P. J. Abdul Kalam,https://en.wikipedia.org/wiki/A._P._J._Abdul_Kalam,ok,0,
34,cmd_9a35793608b4,A. P. Pullo,https://en.wikipedia.org/wiki/A._P._Pullo,ok,0,
35,cmd_22bc46f4ae6c,A. Q. M. Badruddoza Chowdhury,https://en.wikipedia.org/wiki/A._Q._M._Badruddoza_Chowdhury,ok,0,
36,cmd_f2498c59c98c,A. S. M. Shahjahan,https://en.wikipedia.org/wiki/A._S._M._Shahjahan,ok,0,
37,cmd_258dac72bc13,A. Y. B. I. Siddiqi,https://en.wikipedia.org/wiki/A._Y._B._I._Siddiqi,ok,0,
38,cmd_c3500a275cfb,A.G Ismail,,ok,0,
39,cmd_f97ffdd32507,A.J. Andresen,https://en.wikipedia.org/wiki/A.J._Andresen,ok,0,
40,cmd_17255458aae3,A.J. Drake,,ok,0,
41,cmd_ade36796fa34,A.M. Hendropriyono,https://en.wikipedia.org/wiki/A.M._Hendropriyono,ok,0,
42,cmd_a007e7442733,A.V.Burov,,ok,0,
43,cmd_0617a010353e,Aare Latoosa of Ibadan,https://en.wikipedia.org/wiki/Aare_Latoosa_of_Ibadan,ok,0,
44,cmd_98ae77704a0c,Aarne Heikinheimo,https://en.wikipedia.org/wiki/Aarne_Heikinheimo,ok,0,
45,cmd_a6fbfeea0f23,Aarne Sihvo,https://en.wikipedia.org/wiki/Aarne_Sihvo,ok,0,
46,cmd_c00973876aa0,Aaro Pajari,https://en.wikipedia.org/wiki/Aaro_Pajari,ok,0,
47,cmd_f64decce151d,Aaron (son of Ivan Vladislav),https://en.wikipedia.org/wiki/Aaron_%28son_of_Ivan_Vladislav%29,ok,0,
48,cmd_fd87532f8e6b,Aaron S. Merrill,https://en.wikipedia.org/wiki/Aaron_S._Merrill,ok,0,
49,cmd_b813a9ea70a5,Aaron the Tyrant,https://en.wikipedia.org/wiki/Aaron_the_Tyrant,ok,0,
50,cmd_7080ee74964f,Abadhutish Malla,https://en.wikipedia.org/wiki/Abadhutish_Malla,ok,0,
51,cmd_b5f22b30fc03,Abakar Abdelkerim Daoud,https://en.wikipedia.org/wiki/Abakar_Abdelkerim_Daoud,ok,0,
52,cmd_11692902f54f,Abakar Sabone,https://en.wikipedia.org/wiki/Abakar_Sabone,ok,0,
53,cmd_82af6b8ac89e,Abakar-Dibir,https://en.wikipedia.org/wiki/Abakar-Dibir,ok,0,
54,cmd_167dac348293,Abalkhail,https://en.wikipedia.org/wiki/Abalkhail,ok,0,
55,cmd_1f489bf2ab20,Aban ibn Uthman,https://en.wikipedia.org/wiki/Aban_ibn_Uthman,ok,0,
56,cmd_cdfe66d2667d,Abane Ramdane,https://en.wikipedia.org/wiki/Abane_Ramdane,ok,0,
57,cmd_1220d7c44d0f,Abang Openg,https://en.wikipedia.org/wiki/Abang_Openg,ok,0,
58,cmd_2c7f1e341e0d,Abantus,,ok,0,
59,cmd_ad9d381f0c44,Abaqa Khan,https://en.wikipedia.org/wiki/Abaqa_Khan,ok,0,
60,cmd_75865f1bcac7,Abayomi Olonisakin,https://en.wikipedia.org/wiki/Abayomi_Olonisakin,ok,0,
61,cmd_55ed826b504d,Abaz Kupi,https://en.wikipedia.org/wiki/Abaz_Kupi,ok,0,
62,cmd_cc645d32f252,Abaza Mehmed Pasha,https://en.wikipedia.org/wiki/Abaza_Mehmed_Pasha,ok,0,
63,cmd_98063228d568,Abba Kabir Yusuf,https://en.wikipedia.org/wiki/Abba_Kabir_Yusuf,ok,0,
64,cmd_7bbcb2e16c06,Abba Moro,https://en.wikipedia.org/wiki/Abba_Moro,ok,0,
65,cmd_822b9cedcef5,Abba Siddick,https://en.wikipedia.org/wiki/Abba_Siddick,ok,0,
66,cmd_a793f6777bce,Abbad ibn Ziyad,https://en.wikipedia.org/wiki/Abbad_ibn_Ziyad,ok,0,
67,cmd_5e1caa00cdc9,Abbas Aidah,https://en.wikipedia.org/wiki/Abbas_Aidah,ok,0,
68,cmd_aa61728c1795,Abbas al-Musawi,https://en.wikipedia.org/wiki/Abbas_al-Musawi,ok,0,
69,cmd_f6be19ab3845,Abbas Ali Jannesari,https://en.wikipedia.org/wiki/Abbas_Ali_Jannesari,ok,0,
70,cmd_300b0014875a,Abbas Asemi,https://en.wikipedia.org/wiki/Abbas_Asemi,ok,0,
71,cmd_8acf303e1c5f,Abbas bin Abd al-Rahman,https://en.wikipedia.org/wiki/Abbas_bin_Abd_al-Rahman,ok,0,
72,cmd_dbeb2c9c9bd7,Abbas El Fassi,https://en.wikipedia.org/wiki/Abbas_El_Fassi,ok,0,
73,cmd_c8ba92c15f6f,Abbas ibn Abd al-Muttalib,https://en.wikipedia.org/wiki/Abbas_ibn_Abd_al-Muttalib,ok,0,
74,cmd_955ce2d35d0f,Abbas ibn Ali,https://en.wikipedia.org/wiki/Abbas_ibn_Ali,ok,0,
75,cmd_40123e459ce7,Abbas II of Persia,https://en.wikipedia.org/wiki/Abbas_II_of_Persia,ok,0,
76,cmd_af5256fc0908,Abbas III,https://en.wikipedia.org/wiki/Abbas_III,ok,0,
77,cmd_94ebb1c962d2,Abbas Mirza,https://en.wikipedia.org/wiki/Abbas_Mirza,ok,0,
78,cmd_da4272d20464,Abbas the Great,https://en.wikipedia.org/wiki/Abbas_the_Great,ok,0,
79,cmd_ae1783e8a815,Abbassi Madani,https://en.wikipedia.org/wiki/Abbassi_Madani,ok,0,
80,cmd_ab778aba95ea,Abboud Qanbar,https://en.wikipedia.org/wiki/Abboud_Qanbar,ok,0,
81,cmd_a6e91bf0d39e,Abd al-Aziz ibn Marwan,https://en.wikipedia.org/wiki/Abd_al-Aziz_ibn_Marwan,ok,0,
82,cmd_967753d22fed,Abd al-Aziz ibn Musa,https://en.wikipedia.org/wiki/Abd_al-Aziz_ibn_Musa,ok,0,
83,cmd_81c03d28ed10,Abd al-Aziz ibn Shu'ayb,https://en.wikipedia.org/wiki/Abd_al-Aziz_ibn_Shu%27ayb,ok,0,
84,cmd_3fe3e8c791c4,Abd al-Aziz Khan (Bukhara),https://en.wikipedia.org/wiki/Abd_al-Aziz_Khan_%28Bukhara%29,ok,0,
85,cmd_f7af7e8b3cfe,Abd al-Baqi Yazdi,https://en.wikipedia.org/wiki/Abd_al-Baqi_Yazdi,ok,0,
86,cmd_730b39493397,Abd al-Ghani Shaalan,https://en.wikipedia.org/wiki/Abd_al-Ghani_Shaalan,ok,0,
87,cmd_65d631588363,Abd al-Hafid of Morocco,https://en.wikipedia.org/wiki/Abd_al-Hafid_of_Morocco,ok,0,
88,cmd_af91fba5cbc9,Abd al-Ilah,https://en.wikipedia.org/wiki/Abd_al-Ilah,ok,0,
89,cmd_ac44079b2503,Abd al-Karim Barjas,https://en.wikipedia.org/wiki/Abd_al-Karim_Barjas,ok,0,
90,cmd_dcbf4430b2cc,Abd al-Karim ibn Abd al-Wahid,,ok,0,
91,cmd_e88fa46c5d4c,Abd al-Karim ibn Abd al-Wahid ibn Mugit,https://en.wikipedia.org/wiki/Abd_al-Karim_ibn_Abd_al-Wahid_ibn_Mugit,ok,0,
92,cmd_afe4a490c33f,Abd al-Karim ibn Abd al-Walid ibn Mugaith,,ok,0,
93,cmd_2d1a3f8b6be9,Abd al-Latif al-Haimid,,ok,0,
94,cmd_f59c3679c3bc,Abd al-Malik al-Muzaffar,https://en.wikipedia.org/wiki/Abd_al-Malik_al-Muzaffar,ok,0,
95,cmd_697f602fb5db,Abd al-Malik ibn Abd al-Aziz al-Muzaffar,https://en.wikipedia.org/wiki/Abd_al-Malik_ibn_Abd_al-Aziz_al-Muzaffar,ok,0,
96,cmd_2e670aa7c5c6,Abd al-Malik ibn Marwan,https://en.wikipedia.org/wiki/Abd_al-Malik_ibn_Marwan,ok,0,
97,cmd_77dfd05c54f6,Abd al-Malik II (Samanid emir),https://en.wikipedia.org/wiki/Abd_al-Malik_II_%28Samanid_emir%29,ok,0,
98,cmd_ac1a660eda67,Abd al-Malik Imad al-Dawla,https://en.wikipedia.org/wiki/Abd_al-Malik_Imad_al-Dawla,ok,0,
99,cmd_ca40a06276c2,Abd al-Masih,,ok,0,
100,cmd_f07704416b1a,Abd al-Mu'min,https://en.wikipedia.org/wiki/Abd_al-Mu%27min,ok,0,
101,cmd_87df48ccb1a6,Abd al-Rahim al-Hajj Muhammad,https://en.wikipedia.org/wiki/Abd_al-Rahim_al-Hajj_Muhammad,ok,0,
102,cmd_4415be32369f,Abd al-Rahman I,https://en.wikipedia.org/wiki/Abd_al-Rahman_I,ok,0,
103,cmd_9988d651e1ce,Abd al-Rahman ibn Abd Allah al-Ghafiqi,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Abd_Allah_al-Ghafiqi,ok,0,
104,cmd_facb671395e6,Abd al-Rahman ibn Abi Bakr,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Abi_Bakr,ok,0,
105,cmd_36e7d37891fd,Abd al-Rahman ibn Awf,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Awf,ok,0,
106,cmd_c528608c0cb4,Abd al-Rahman ibn Jabala,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Jabala,ok,0,
107,cmd_703d66ccf673,Abd al-Rahman ibn Khalid,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Khalid,ok,0,
108,cmd_7f8f704d5c11,Abd al-Rahman ibn Rabi'a,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Rabi%27a,ok,0,
109,cmd_e07d44be8e4d,Abd al-Rahman ibn Yahya ibn Muhammad ibn Hasim al-Tuyibi,https://en.wikipedia.org/wiki/Abd_al-Rahman_ibn_Yahya_ibn_Muhammad_ibn_Hasim_al-Tuyibi,ok,0,
110,cmd_c946ed0fef45,Abd al-Rahman III,https://en.wikipedia.org/wiki/Abd_al-Rahman_III,ok,0,
111,cmd_93a19d4a7bc9,Abd al-Rahman of Morocco,https://en.wikipedia.org/wiki/Abd_al-Rahman_of_Morocco,ok,0,
112,cmd_807f47b2e89c,Abd al-Razzaq,https://en.wikipedia.org/wiki/Abd_al-Razzaq,ok,0,
113,cmd_50cf90a88372,Abd al-Salam Barzani,https://en.wikipedia.org/wiki/Abd_al-Salam_Barzani,ok,0,
114,cmd_ca9b9c69b0ea,Abd al-Samad Khan,https://en.wikipedia.org/wiki/Abd_al-Samad_Khan,ok,0,
115,cmd_92573aa25b88,Abd Allah ibn al-Mu'tam,https://en.wikipedia.org/wiki/Abd_Allah_ibn_al-Mu%27tam,ok,0,
116,cmd_688f90822fdb,Abd Allah ibn al-Zubayr,https://en.wikipedia.org/wiki/Abd_Allah_ibn_al-Zubayr,ok,0,
117,cmd_41d2cd5fd162,Abd Allah ibn Ali,https://en.wikipedia.org/wiki/Abd_Allah_ibn_Ali,ok,0,
118,cmd_4e6eba7a3ccc,Abd Allah ibn Amir,https://en.wikipedia.org/wiki/Abd_Allah_ibn_Amir,ok,0,
119,cmd_26146984c53c,Abd Allah ibn Amir al-Hadhrami,https://en.wikipedia.org/wiki/Abd_Allah_ibn_Amir_al-Hadhrami,ok,0,
120,cmd_d979e5060c18,Abd Allah ibn Hanzala,https://en.wikipedia.org/wiki/Abd_Allah_ibn_Hanzala,ok,0,
121,cmd_3d41b91d8b91,Abd Allah ibn Ja'far,https://en.wikipedia.org/wiki/Abd_Allah_ibn_Ja%27far,ok,0,
122,cmd_37c9c870b146,Abd Allah ibn Kamil al-Shakiri,https://en.wikipedia.org/wiki/Abd_Allah_ibn_Kamil_al-Shakiri,ok,0,
