battle_id,battle_name,year,war_name,commander_name_raw,commander_name_normalized,commander_wikipedia_url,side,belligerent,battle_result_for_commander,role_in_battle,opposing_commander_names_raw,location_normalized,strength_side_raw,strength_enemy_raw,casualties_side_raw,casualties_enemy_raw,source_url,parse_notes,identity_confidence
battle_9719229,Basus War,494,Basus War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_c,Himyarite Kingdom,defeat,,Abu Layla al-Muhalhel | Imru' al-Qays ibn Aban | Abu Nuwayra al-Taghlibi | Jassas ibn Murrah | Hammam ibn Murrah | al-Harith ibn Abbad | Saad ibn Malik | al-Fand al-Zamani,The region of Najd in Arabia Minor riots in South Arabia,,,,,https://en.wikipedia.org/wiki/Basus_War,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_3459560,Roman–Persian wars,628,Roman–Persian wars,Artavasdes I of Media Atropatene,Artavasdes I of Media Atropatene,https://en.wikipedia.org/wiki/Artavasdes_I_of_Media_Atropatene,side_b,54–27 BC: Parthian Empire 27 BC224 AD: Parthian Empire 224–395: Sasanian Empire 395–628: Sasanian Empire Abasgia Adiabene Albania,unknown,,Crassus | Mark Antony | Nero | Trajan | Lucius Verus | Septimius Severus | Caracalla | Macrinus | Alexander Severus | Maximinus Thrax | Gordian III | Valerian | Balista | Carus | Galerius | Constantius II | Julian | Jovian | Valens | Anastasius I | Justinian | Tiberius II Constantine | Maurice | Phocas | Heraclius | Hyrcanus II | Phasael | Herod | Artavasdes II of Armenia | Tigranes VI of Armenia | Antiochus IV of Commagene | Polemon II of Pontus | Aristobulus of Chalcis | Parthamaspates of Parthia | Sanatruq II | Arshak II of Armenia | Mushegh I Mamikonian | Pharas the Herulian | Odaenathus | Gubazes I of Lazica | Vakhtang I of Iberia | Jabalah IV ibn al-Harith | Gubazes II of Lazica | Tzath I of Lazica | Al-Harith ibn Jabalah | Al-Mundhir III ibn al-Harith | Ziebel,"West Asia,Mesopotamia, Syria, Southern Levant, Transcaucasus, Atropatene, and Asia Minor. Egypt, and Southeastern EuropeBalkans and Aegean Sea.",,,,,https://en.wikipedia.org/wiki/Roman%E2%80%93Persian_wars,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_51006445,Battle of the Wood of Ephraim,1020,Absalom's Revolt,Ittai,"List of minor Hebrew Bible figures, A–K",https://en.wikipedia.org/wiki/List_of_minor_Hebrew_Bible_figures%2C_A%E2%80%93K,side_a,Forces of King David,unknown,,Amasa,"Wood of Ephraim, Tribe of Ephraim, Kingdom of Israel",,,Unknown; Light,Unknown; Heavy 900 killed,https://en.wikipedia.org/wiki/Battle_of_the_Wood_of_Ephraim,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_15124774,Scottish–Norwegian War,1262,Scottish–Norwegian War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,Medieval Norway Kingdom of Norway Kingdom of the Isles Earldom of Orkney,unknown,,"Alexander III of Scotland | Patrick III, Earl of Dunbar","Mostly Scotland, possibly the Hebrides and Orkney as well","c. 12,000 light infantry, around 120 leidang ships","c. 5,000 heavy infantry and 800 heavy cavalry",,,https://en.wikipedia.org/wiki/Scottish%E2%80%93Norwegian_War,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_62146004,Battles of Alashiya,1275,the Hittite Wars,Hittite Kings,List of Hittite kings,https://en.wikipedia.org/wiki/List_of_Hittite_kings,side_a,Hittite Empire,unknown,,,Off the coast of Alashiya (Cyprus),,,,,https://en.wikipedia.org/wiki/Battles_of_Alashiya,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_17478122,List of Serbian–Ottoman conflicts,1312,the Ottoman wars in Europe,Kings of Serbia,List of Serbian monarchs,https://en.wikipedia.org/wiki/List_of_Serbian_monarchs,side_b,"Flag of Serbia 1281.svg Kingdom of Serbia * Flag of the Serbian Empire, reconstruction.svg Serbian Empire * Lazarević flag.png Moravian Serbia * BANNER 1402 DESPOTATE.jpg Serbian Despotate * Flag of Revolutionary Serbia.svg Revolutionary Serbia * Principality of Serbia * Kingdom of Serbia Supported by: * Habsburg Monarchy * Kingdom of Hungary * Flag_of_the_Prince-Bishopric_of_Montenegro2.svg Prince-Bishopric of Montenegro * Principality of Montenegro * Kingdom of Montenegro * Flag of Oryol ship (variant).svg Russian Empire",unknown,,Beylerbey,"Balkan Peninsula, Central Europe, and Southeastern Europe",,,,,https://en.wikipedia.org/wiki/List_of_Serbian%E2%80%93Ottoman_conflicts,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_17478122,List of Serbian–Ottoman conflicts,1312,the Ottoman wars in Europe,Kings of Montenegro,List of monarchs of Montenegro,https://en.wikipedia.org/wiki/List_of_monarchs_of_Montenegro,side_b,"Flag of Serbia 1281.svg Kingdom of Serbia * Flag of the Serbian Empire, reconstruction.svg Serbian Empire * Lazarević flag.png Moravian Serbia * BANNER 1402 DESPOTATE.jpg Serbian Despotate * Flag of Revolutionary Serbia.svg Revolutionary Serbia * Principality of Serbia * Kingdom of Serbia Supported by: * Habsburg Monarchy * Kingdom of Hungary * Flag_of_the_Prince-Bishopric_of_Montenegro2.svg Prince-Bishopric of Montenegro * Principality of Montenegro * Kingdom of Montenegro * Flag of Oryol ship (variant).svg Russian Empire",unknown,,Beylerbey,"Balkan Peninsula, Central Europe, and Southeastern Europe",,,,,https://en.wikipedia.org/wiki/List_of_Serbian%E2%80%93Ottoman_conflicts,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_17478122,List of Serbian–Ottoman conflicts,1312,the Ottoman wars in Europe,Metropolitans of Montenegro,List of metropolitans of Montenegro,https://en.wikipedia.org/wiki/List_of_metropolitans_of_Montenegro,side_b,"Flag of Serbia 1281.svg Kingdom of Serbia * Flag of the Serbian Empire, reconstruction.svg Serbian Empire * Lazarević flag.png Moravian Serbia * BANNER 1402 DESPOTATE.jpg Serbian Despotate * Flag of Revolutionary Serbia.svg Revolutionary Serbia * Principality of Serbia * Kingdom of Serbia Supported by: * Habsburg Monarchy * Kingdom of Hungary * Flag_of_the_Prince-Bishopric_of_Montenegro2.svg Prince-Bishopric of Montenegro * Principality of Montenegro * Kingdom of Montenegro * Flag of Oryol ship (variant).svg Russian Empire",unknown,,Beylerbey,"Balkan Peninsula, Central Europe, and Southeastern Europe",,,,,https://en.wikipedia.org/wiki/List_of_Serbian%E2%80%93Ottoman_conflicts,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_4799782,Bruce campaign in Ireland,1315,First War of Scottish Independence,Donnchad Ó Briain,List of monarchs of Thomond,https://en.wikipedia.org/wiki/List_of_monarchs_of_Thomond,side_a,Scotland Irish kingdoms: Tír Eoghain Tír Chonaill Airgíalla West Breifne Connacht Thomond Desmond Uí Maine Tethba,unknown,,Sir Thomas de Mandeville | Edmund Butler,Ireland,"6,000 men (Scotland) 3,000 men (Connacht) 1,400 men (Breifne) 300 Ships (Scotland)","20,000",Unknown,Unknown,https://en.wikipedia.org/wiki/Bruce_campaign_in_Ireland,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_19038039,Hundred Years' War,1337,the Crisis of the late Middle Ages and the Anglo-French Wars,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,Kingdom of France loyal to the House of Valois Burgundian State (1337–1419; 1435–1453) Duchy of Brittany Crown of Castile Kingdom of Scotland Welsh rebels Crown of Aragon,unknown,,# | Richard II | Henry IV | Henry V | Henry | John of Gaunt | John of Lancaster | Henry of Lancaster | Jean III de Grailly | John Fastolf | Robert d'Artois | Philip the Good | John of Montfort,"France, the Low Countries, Great Britain, the Iberian Peninsula",,,"185,250 (approx.) French and English soldiers killed in combat, ~556,000 total French and English military deaths",,https://en.wikipedia.org/wiki/Hundred_Years%27_War,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
