display_name,canonical_wikipedia_url,primary_era_bucket,current_trust_rank,current_weighted_rank,trust_rank_before_verification,weighted_rank_before_verification,trust_rank_delta,weighted_rank_delta,trust_tier_current,trust_tier_before_verification,trust_confidence_current,trust_confidence_before_verification,strict_engagement_count_current,strict_engagement_count_before_verification,page_type_mix_current,page_type_mix_before_verification,known_outcome_count_current,known_outcome_count_before_verification,outcome_profile_current,outcome_profile_before_verification,structurally_suspect_rows,broad_or_downgraded_rows,quarantined_rows,verification_sensitivity,inflation_risk_band,risk_score,structural_risk_notes,outcome_risk_notes,manual_outcome_audit_priority
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,1,1,1,1,0,0,high_confidence_upper_band,robust_elite_core,moderate,high,16,34,B=16; O=0; C=0; W=0,B=15; O=0; C=2; W=17,12,25,V=12; D=0; N=0; U=4,V=21; D=0; N=4; U=9,7,12,0,high,high_priority_manual_audit,46,7 structurally suspect rows; 12 downgraded broad rows; war-page reduction 17→0; campaign reduction 2→0; strict engagements reduced by 18,clean record with unresolved battle outcomes; victory count dropped by 9; known outcomes dropped by 13; multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,4,4,4,4,0,0,model_sensitive_band,model_sensitive_band,caution,caution,22,38,B=18; O=3; C=0; W=1,B=18; O=5; C=13; W=2,18,33,V=14; D=4; N=0; U=4,V=28; D=5; N=0; U=5,12,5,0,high,high_priority_manual_audit,44,12 structurally suspect rows; 5 downgraded broad rows; war-page reduction 2→1; campaign reduction 13→0; strict engagements reduced by 16,victory count dropped by 14; known outcomes dropped by 15; headline rank with softened trust confidence,yes
Mahmud II,https://en.wikipedia.org/wiki/Mahmud_II,long_nineteenth_century,160,120,267,387,-107,-267,outside_trust_headline,outside_trust_headline,caution,caution,3,12,,,2,6,,,5,5,0,high,materially_inflated,44,5 structurally suspect rows; 5 downgraded broad rows; strict engagements reduced by 9; rank moved materially after verification,known outcomes dropped by 4,no
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,22,35,15,25,7,10,model_sensitive_band,model_sensitive_band,caution,caution,20,31,B=17; O=0; C=0; W=3,B=17; O=0; C=6; W=8,15,20,V=12; D=3; N=0; U=5,V=16; D=3; N=1; U=11,9,2,0,high,high_priority_manual_audit,43,9 structurally suspect rows; 2 downgraded broad rows; war-page reduction 8→3; campaign reduction 6→0; strict engagements reduced by 11; rank moved materially after verification,victory count dropped by 4; known outcomes dropped by 5; multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Abbas the Great,https://en.wikipedia.org/wiki/Abbas_the_Great,early_modern,33,33,27,26,6,7,model_sensitive_band,model_sensitive_band,caution,caution,6,15,B=6; O=0; C=0; W=0,B=6; O=0; C=1; W=8,6,11,V=5; D=1; N=0; U=0,V=8; D=2; N=1; U=4,6,3,0,high,high_priority_manual_audit,43,6 structurally suspect rows; 3 downgraded broad rows; war-page reduction 8→0; campaign reduction 1→0; strict engagements reduced by 9; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 5,yes
William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,world_wars,57,62,41,36,16,26,model_sensitive_band,model_sensitive_band,caution,caution,10,16,,B=5; O=4; C=7; W=0,6,13,,V=13; D=0; N=0; U=3,6,1,0,high,materially_inflated,42,6 structurally suspect rows; 1 downgraded broad rows; campaign reduction 7→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 13; known outcomes dropped by 7,yes
Nelson A. Miles,https://en.wikipedia.org/wiki/Nelson_A._Miles,long_nineteenth_century,181,157,113,77,68,80,outside_trust_headline,outside_trust_headline,caution,caution,5,11,B=3; O=0; C=0; W=2,B=3; O=0; C=2; W=6,3,6,V=3; D=0; N=0; U=2,V=6; D=0; N=0; U=5,3,3,0,high,materially_inflated,36,3 structurally suspect rows; 3 downgraded broad rows; war-page reduction 6→2; campaign reduction 2→0; strict engagements reduced by 6; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 3,yes
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,5,5,33,39,-28,-34,model_sensitive_band,model_sensitive_band,caution,caution,13,15,B=5; O=7; C=0; W=1,B=4; O=4; C=3; W=4,7,11,V=6; D=1; N=0; U=6,V=9; D=2; N=0; U=4,4,4,0,high,high_priority_manual_audit,34,4 structurally suspect rows; 4 downgraded broad rows; war-page reduction 4→1; campaign reduction 3→0; rank moved materially after verification,victory count dropped by 3; known outcomes dropped by 4; headline rank with softened trust confidence,yes
Peter the Great,https://en.wikipedia.org/wiki/Peter_the_Great,early_modern,63,99,40,63,23,36,model_sensitive_band,model_sensitive_band,caution,caution,10,15,,B=7; O=0; C=1; W=7,9,14,,V=11; D=2; N=1; U=1,3,2,0,high,materially_inflated,34,3 structurally suspect rows; 2 downgraded broad rows; war-page reduction 7→0; campaign reduction 1→0; strict engagements reduced by 5; rank moved materially after verification,victory count dropped by 11; known outcomes dropped by 5,yes
Richmond K. Turner,https://en.wikipedia.org/wiki/Richmond_K._Turner,world_wars,109,126,92,102,17,24,outside_trust_headline,model_sensitive_band,caution,caution,8,13,,,8,13,,,5,0,0,high,materially_inflated,34,5 structurally suspect rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 5,no
