battle_id,battle_name,verification_status,verification_issue_flags,strict_gate_override,balanced_gate_override
battle_1269828,Caratacus' last battle,verified_core,,1,1
battle_1187231,Battle of Vercellae,verified_core,,1,1
battle_5905704,Third Battle of Tapae,verified_core,,1,1
battle_1711717,Trajan's Dacian Wars,verified_core,,1,1
battle_8467905,Trajan's First Dacian War,verified_core,,1,1
battle_5999960,Battle of Adamclisi,verified_core,,1,1
battle_2224425,Battle of Aquae Sextiae,verified_core,,1,1
battle_61275535,Battle of Tridentum,verified_core,,1,1
battle_895420,Second Servile War,verified_core,,1,1
battle_34184306,War of the Heavenly Horses,verified_core,,1,1
battle_1406206,Battle of Arausio,verified_core,,1,1
battle_8468666,Trajan's Second Dacian War,verified_core,,1,1
battle_30863164,Battle of Sarmizegetusa,verified_core,,1,1
battle_61309241,Second Battle of Cirta,verified_core,,1,1
battle_63509993,Siege of the fortress at Muluccha,verified_core,,1,1
battle_36242133,Battle of Burdigala,verified_core,,1,1
battle_4534026,Battle of Loulan,verified_core,,1,1
battle_9292796,Siege of Thala,verified_core,,1,1
battle_3122531,Battle of the Muthul,verified_core,,1,1
battle_19503687,Han conquest of Gojoseon,verified_core,,1,1
battle_63570699,Siege of Zama,verified_core,,1,1
battle_9292775,Battle of Suthul,verified_core,,1,1
battle_311735,Operation Blue Star,verified_core,,1,1
battle_38024939,Han conquest of Nanyue,verified_core,,1,1
battle_558453,Jugurthine War,verified_core,,1,1
battle_3204588,Battle of Noreia,verified_core,,1,1
battle_3211844,Cimbrian War,verified_core,,1,1
battle_58038666,Siege of Cirta,verified_core,,1,1
battle_48463035,Trajan's Parthian campaign,verified_core,,1,1
battle_1956203,Kitos War,verified_core,,1,1
battle_4548076,Battle of Mobei,verified_core,,1,1
battle_47799038,Battle of Vindalium,verified_core,,1,1
battle_64636633,Battle of the Isère River,verified_core,,1,1
battle_3134575,Battle of Ecbatana,verified_core,,1,1
battle_1353923,Herodium,verified_core,,1,1
