rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
1,99.55505761843789,elite,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,40,39,0.975,0.6201035030367626,100.0,99.6798975672215,97.56722151088348,17,13,battle_dominant,
2,99.28937259923175,elite,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,25,25,1.0,0.5425903677011079,99.74391805377721,98.46350832266324,98.84763124199743,13,13,battle_dominant,
3,98.1370038412292,elite,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,65,60,0.9230769230769231,0.46741283567546454,98.59154929577466,100.0,93.21382842509604,23,22,battle_dominant,
4,98.02176696542894,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,19,18,0.9473684210526315,0.5487638797171822,99.8719590268886,95.96670934699104,94.0460947503201,12,31,battle_dominant,
5,97.33034571062741,elite,acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,19,18,0.9473684210526315,0.4698442683238125,98.71959026888605,95.96670934699104,94.0460947503201,9,14,battle_dominant,
6,97.2247119078105,elite,acmd_70fd3b0db695,Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,20,18,0.9,0.5159992482434497,99.48783610755441,96.35083226632523,89.62868117797696,4,37,battle_dominant,
7,96.02432778489117,elite,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,19,18,0.9473684210526315,0.42674675963530645,96.54289372599231,95.96670934699104,94.0460947503201,6,19,battle_dominant,
8,95.95070422535211,elite,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,36,35,0.9722222222222222,0.4009411477326226,94.2381562099872,99.16773367477593,97.43918053777209,12,38,battle_dominant,
9,95.85467349551857,elite,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,13,12,0.9230769230769231,0.5294117647058825,99.61587708066581,88.4122919334187,93.21382842509604,5,30,battle_dominant,
10,95.59859154929578,elite,acmd_9abc9d454029,Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,medieval,12,12,1.0,0.4737150423105872,98.84763124199743,85.85147247119079,98.84763124199743,2,14,battle_dominant,
11,94.06209987195902,elite,acmd_eec0f4ec373e,Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,18,17,0.9444444444444444,0.39314668446170836,93.72599231754162,95.07042253521126,93.72599231754162,8,16,battle_dominant,
12,93.67797695262483,elite,acmd_9e98c779580b,Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,14,12,0.8571428571428571,0.4389689636618784,97.82330345710626,90.07682458386684,83.09859154929578,3,4,battle_dominant,
13,93.30345710627401,elite,acmd_632d6e1b916a,Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,12,10,0.8333333333333334,0.5,99.35979513444302,85.85147247119079,81.49807938540333,6,32,battle_dominant,
14,92.70486555697823,elite,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,13,13,1.0,0.3808248821552821,92.95774647887323,88.4122919334187,98.84763124199743,10,30,battle_dominant,
15,92.48719590268887,elite,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,16,13,0.8125,0.4368877735752122,96.79897567221511,92.57362355953906,75.09603072983356,8,18,battle_dominant,
16,92.25352112676057,elite,acmd_f47199d981fc,Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,11,10,0.9090909090909091,0.4346085910963873,96.67093469910371,82.84250960307298,90.26888604353394,9,26,battle_dominant,
17,92.14148527528809,elite,acmd_7be260f9e007,Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,9,9,1.0,0.48214285714285726,99.23175416133164,72.79129321382842,96.03072983354673,2,7,battle_dominant,
18,92.02624839948783,elite,acmd_b870b50798ee,Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,9,9,1.0,0.4821428571428572,99.03969270166453,72.79129321382842,96.03072983354673,6,3,battle_dominant,
19,92.02624839948783,elite,acmd_9acc0b2c5ac1,Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,world_wars,9,9,1.0,0.4821428571428572,99.03969270166453,72.79129321382842,96.03072983354673,8,1,battle_dominant,
20,92.02304737516005,elite,acmd_cf14a194e3dc,Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,11,10,0.9090909090909091,0.41760322843524667,96.28681177976952,82.84250960307298,90.26888604353394,10,20,battle_dominant,
21,91.66453265044814,elite,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,22,17,0.7727272727272727,0.43811642038911314,97.69526248399488,97.31113956466069,58.13060179257362,10,22,battle_dominant,
22,91.1235595390525,elite,acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,40,35,0.875,0.36623753650562,88.2202304737516,99.6798975672215,88.47631241997439,17,17,battle_dominant,
23,90.45454545454547,elite,acmd_8ff67c26331f,Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,22,21,0.9545454545454546,0.35552620454172595,86.55569782330346,97.31113956466069,94.62227912932138,13,19,battle_dominant,
24,90.29769526248398,elite,acmd_ac43c188bcf2,Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,9,9,1.0,0.4173313712467075,96.15877080665814,72.79129321382842,96.03072983354673,6,27,battle_dominant,
25,90.22087067861715,elite,acmd_679a34ae0dfb,Ubadah ibn al-Samit,https://en.wikipedia.org/wiki/Ubadah_ibn_al-Samit,medieval,9,9,1.0,0.4166475258551531,96.03072983354673,72.79129321382842,96.03072983354673,3,16,battle_dominant,
26,89.76952624839949,very_strong,acmd_6708954ecbb0,Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,12,10,0.8333333333333334,0.3867295401695068,93.46991037131882,85.85147247119079,81.49807938540333,7,20,battle_dominant,
27,89.20614596670936,very_strong,acmd_dbaafbd66e5b,Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,21,20,0.9523809523809523,0.3373248659406429,84.76312419974393,96.73495518565942,94.4302176696543,4,18,battle_dominant,
28,89.07810499359795,very_strong,acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,17,15,0.8823529411764706,0.3595421292997772,87.06786171574905,93.91805377720871,89.05249679897568,9,37,battle_dominant,
29,89.00128040973112,very_strong,acmd_ad691790bfae,Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,18,15,0.8333333333333334,0.36862715232210214,88.348271446863,95.07042253521126,81.49807938540333,8,4,battle_dominant,
30,88.93085787451984,very_strong,acmd_cad827cf336f,Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,10,9,0.9,0.4031506191753965,94.36619718309859,79.00128040973111,83.73879641485276,5,17,battle_dominant,
31,88.73879641485274,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,8,8,1.0,0.46153846153846156,98.14340588988476,64.40460947503202,91.67733674775928,3,25,battle_dominant,
32,88.7067861715749,very_strong,acmd_4ed31628d983,Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,15,15,1.0,0.33897932471732506,85.1472471190781,91.1651728553137,98.84763124199743,6,31,battle_dominant,
