score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags,rank,rank_role_weighted,rank_change_vs_hierarchical_trust_v2,score_normalized,score_role_weighted,role_adjustment_factor,mean_role_confidence,dominant_role_class,share_direct_field_command,share_unclear_role,share_nominal_or_political,broad_page_contribution_share,battle_siege_page_contribution_share,strict_eligibility,exclude_from_headline_ranking,recommended_action
elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,20,19,0,0,1,18,0.9,0.5853481383649944,99.81255857544518,97.9381443298969,85.11402686660419,91.89315838800376,96.3917525773196,47.46954076850984,73.9925023430178,31,0.0180878552971576,battle_dominant,,1,1,0,91.36363636363636,90.2215909090909,1.0,0.95,overall_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
very_strong,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,67,65,0,0,2,60,0.8955223880597015,0.4985736913871622,98.78163074039362,100.0,69.46266791627616,79.70946579194002,100.0,64.1518275538894,72.35238987816307,22,0.0106544901065449,battle_dominant,,3,2,-1,88.42174320524836,87.31647141518275,1.0,0.9499999999999998,overall_commander,1.0,0.0,0.0,0.0,1.0,eligible_field_commander,False,retain
very_strong,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,38,36,0,0,2,35,0.9210526315789472,0.4276705575814642,93.6269915651359,99.2502343017807,68.79100281162137,95.92314901593252,99.34395501405812,64.1518275538894,76.19493908153702,38,0.0190735694822888,battle_dominant,,2,3,1,88.55014058106843,85.22951030927837,1.0,0.8500000000000001,overall_commander,1.0,0.0,0.0,0.0,1.0,eligible_siege_or_engineering_commander,False,retain
very_strong,acmd_3fe0c4409371,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,9,7,0,0,2,9,1.0,0.480020626200933,97.9381443298969,83.1302717900656,79.78756638550453,95.31396438612931,65.74507966260543,64.1518275538894,88.89409559512652,37,0.0909090909090909,battle_dominant,,10,4,-6,86.08247422680412,82.85438144329898,1.0,0.85,overall_commander,1.0,0.0,0.0,0.057642,0.942358,eligible_field_commander,False,retain
very_strong,acmd_d7b7bb3c084e,Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,15,12,0,0,3,15,1.0,0.2774452965972326,71.41518275538894,93.0646672914714,82.89597000937208,99.10965323336455,89.87816307403936,75.72633552014996,88.89409559512652,603,0.0804597701149425,battle_dominant,,19,5,-14,83.50609184629803,81.41843955014058,1.0,0.9,overall_commander,1.0,0.0,0.0,0.044194,0.955806,eligible_siege_or_engineering_commander,False,retain
very_strong,acmd_94390629dbd3,Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,26,21,0,0,5,24,0.9230769230769232,0.2854207813504568,72.44611059044048,98.31302717900655,67.69759450171821,77.83505154639175,97.8444236176195,84.77038425492034,75.44517338331771,21,0.0769230769230769,battle_dominant,,29,6,-23,80.29334582942832,79.28967900656046,1.0,0.95,overall_commander,1.0,0.0,0.0,0.030994,0.969006,eligible_field_commander,False,retain
strong,acmd_44036d145325,Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,world_wars,24,17,7,0,0,23,0.9583333333333334,0.3284719829933787,80.41237113402062,98.5004686035614,69.00968447360201,39.22211808809747,97.75070290534208,97.8444236176195,77.60074976569823,6,0.247787610619469,battle_dominant,,39,7,-32,79.34020618556703,77.35670103092785,1.0,0.9,overall_commander,1.0,0.0,0.0,0.250609,0.749391,eligible_field_commander,False,retain
strong,acmd_b7e856700f22,Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,17,10,7,0,0,17,1.0,0.3600915679646586,86.50421743205249,93.53327085285848,66.2293033427054,29.194001874414244,92.50234301780694,97.8444236176195,88.89409559512652,4,0.358974358974359,operation_heavy,,47,8,-39,78.61855670103094,75.67036082474227,1.0,0.85,overall_commander,1.0,0.0,0.0,0.461188,0.538812,eligible_field_commander,False,add_high_level_page_caveat
very_strong,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,28,25,0,0,3,27,0.9642857142857144,0.5871530954180882,99.90627928772258,98.96907216494846,69.00968447360201,58.80974695407685,98.96907216494846,75.72633552014996,77.69447047797563,13,0.0403071017274472,battle_dominant,,6,9,3,86.81162136832239,71.94513120899718,0.85,0.9,principal_field_commander,1.0,0.0,0.0,0.0136,0.9864,eligible_field_commander,False,retain
very_strong,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,25,22,0,0,3,20,0.8,0.4763382060965226,97.75070290534208,97.8444236176195,67.13527022805373,79.70946579194002,97.9381443298969,75.72633552014996,44.79850046860357,22,0.0455531453362255,battle_dominant,,7,10,3,86.67104029990628,71.82862464854733,0.85,0.9,principal_field_commander,1.0,0.0,0.0,0.026875,0.973125,eligible_field_commander,False,retain
