model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
baseline_conservative,top_25,1,Khalid ibn al-Walid,medieval,99.55505761843789
baseline_conservative,top_25,2,Jean Lannes,revolutionary_napoleonic,99.28937259923175
baseline_conservative,top_25,3,Napoleon Bonaparte,revolutionary_napoleonic,98.1370038412292
baseline_conservative,top_25,4,Alexander Suvorov,revolutionary_napoleonic,98.02176696542894
baseline_conservative,top_25,5,"Alexander Farnese, Duke of Parma",early_modern,97.33034571062741
baseline_conservative,top_25,6,Takeda Shingen,early_modern,97.2247119078105
baseline_conservative,top_25,7,Louis-Gabriel Suchet,revolutionary_napoleonic,96.02432778489117
baseline_conservative,top_25,8,"Maurice, Prince of Orange",early_modern,95.95070422535211
baseline_conservative,top_25,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,95.85467349551857
baseline_conservative,top_25,10,Abu Ubayda ibn al-Jarrah,medieval,95.59859154929578
baseline_conservative,top_25,11,Francis Vere,early_modern,94.06209987195902
baseline_conservative,top_25,12,Nathan Bedford Forrest,long_nineteenth_century,93.67797695262483
baseline_conservative,top_25,13,Amr ibn al-As,medieval,93.30345710627401
baseline_conservative,top_25,14,Subutai,medieval,92.70486555697823
baseline_conservative,top_25,15,Charles XIV John,revolutionary_napoleonic,92.48719590268887
baseline_conservative,top_25,16,Stanisław Żółkiewski,early_modern,92.25352112676057
baseline_conservative,top_25,17,Maurice de Saxe,early_modern,92.14148527528809
baseline_conservative,top_25,18,Robert L. Eichelberger,world_wars,92.02624839948783
baseline_conservative,top_25,19,Walter Krueger,world_wars,92.02624839948783
baseline_conservative,top_25,20,Mahmud Pasha Angelović,medieval,92.02304737516005
baseline_conservative,top_25,21,Louis-Nicolas Davout,revolutionary_napoleonic,91.66453265044814
baseline_conservative,top_25,22,André Masséna,revolutionary_napoleonic,91.1235595390525
baseline_conservative,top_25,23,Jean Victor Marie Moreau,revolutionary_napoleonic,90.45454545454547
baseline_conservative,top_25,24,Baybars,medieval,90.29769526248398
baseline_conservative,top_25,25,Ubadah ibn al-Samit,medieval,90.22087067861715
baseline_conservative,top_50,1,Khalid ibn al-Walid,medieval,99.55505761843789
baseline_conservative,top_50,2,Jean Lannes,revolutionary_napoleonic,99.28937259923175
baseline_conservative,top_50,3,Napoleon Bonaparte,revolutionary_napoleonic,98.1370038412292
baseline_conservative,top_50,4,Alexander Suvorov,revolutionary_napoleonic,98.02176696542894
baseline_conservative,top_50,5,"Alexander Farnese, Duke of Parma",early_modern,97.33034571062741
baseline_conservative,top_50,6,Takeda Shingen,early_modern,97.2247119078105
baseline_conservative,top_50,7,Louis-Gabriel Suchet,revolutionary_napoleonic,96.02432778489117
baseline_conservative,top_50,8,"Maurice, Prince of Orange",early_modern,95.95070422535211
baseline_conservative,top_50,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,95.85467349551857
baseline_conservative,top_50,10,Abu Ubayda ibn al-Jarrah,medieval,95.59859154929578
baseline_conservative,top_50,11,Francis Vere,early_modern,94.06209987195902
baseline_conservative,top_50,12,Nathan Bedford Forrest,long_nineteenth_century,93.67797695262483
baseline_conservative,top_50,13,Amr ibn al-As,medieval,93.30345710627401
baseline_conservative,top_50,14,Subutai,medieval,92.70486555697823
baseline_conservative,top_50,15,Charles XIV John,revolutionary_napoleonic,92.48719590268887
baseline_conservative,top_50,16,Stanisław Żółkiewski,early_modern,92.25352112676057
baseline_conservative,top_50,17,Maurice de Saxe,early_modern,92.14148527528809
baseline_conservative,top_50,18,Robert L. Eichelberger,world_wars,92.02624839948783
