row_number,original_battle_id,original_title,decision,reason_code,rebuild_mode,main_file_included,quarantine_included,removed_included
1,battle_1269828,Caratacus' last battle,kept,,wikitext,true,false,false
2,battle_1042730,Air assault,removed_false_positive,known_false_positive|generic_category_signal,wikitext,false,false,true
3,battle_1187231,Battle of Vercellae,kept,,wikitext,true,false,false
4,battle_5905704,Third Battle of Tapae,kept,,wikitext,true,false,false
5,battle_1711717,Trajan's Dacian Wars,kept,,wikitext,true,false,false
6,battle_8467905,Trajan's First Dacian War,kept,,wikitext,true,false,false
7,battle_5999960,Battle of Adamclisi,repaired,,wikitext,true,false,false
8,battle_2224425,Battle of Aquae Sextiae,kept,,wikitext,true,false,false
9,battle_61275535,Battle of Tridentum,kept,,wikitext,true,false,false
10,battle_895420,Second Servile War,kept,,wikitext,true,false,false
11,battle_34184306,War of the Heavenly Horses,repaired,,wikitext,true,false,false
12,battle_1406206,Battle of Arausio,kept,,wikitext,true,false,false
13,battle_8468666,Trajan's Second Dacian War,kept,,wikitext,true,false,false
14,battle_30863164,Battle of Sarmizegetusa,kept,,wikitext,true,false,false
15,battle_61309241,Second Battle of Cirta,kept,,wikitext,true,false,false
16,battle_63509993,Siege of the fortress at Muluccha,kept,,wikitext,true,false,false
17,battle_36242133,Battle of Burdigala,repaired,,wikitext,true,false,false
18,battle_4534026,Battle of Loulan,kept,,wikitext,true,false,false
19,battle_9292796,Siege of Thala,kept,,wikitext,true,false,false
20,battle_3122531,Battle of the Muthul,repaired,,wikitext,true,false,false
21,battle_19503687,Han conquest of Gojoseon,kept,,wikitext,true,false,false
22,battle_63570699,Siege of Zama,kept,,wikitext,true,false,false
23,battle_9292775,Battle of Suthul,kept,,wikitext,true,false,false
24,battle_311735,Operation Blue Star,repaired,,wikitext,true,false,false
25,battle_38024939,Han conquest of Nanyue,kept,,wikitext,true,false,false
26,battle_558453,Jugurthine War,kept,,wikitext,true,false,false
27,battle_3204588,Battle of Noreia,kept,,wikitext,true,false,false
28,battle_3211844,Cimbrian War,kept,,wikitext,true,false,false
29,battle_58038666,Siege of Cirta,kept,,wikitext,true,false,false
30,battle_48463035,Trajan's Parthian campaign,kept,,wikitext,true,false,false
31,battle_1956203,Kitos War,kept,,wikitext,true,false,false
32,battle_4548076,Battle of Mobei,kept,,wikitext,true,false,false
33,battle_47799038,Battle of Vindalium,kept,,wikitext,true,false,false
34,battle_64636633,Battle of the Isère River,kept,,wikitext,true,false,false
35,battle_3134575,Battle of Ecbatana,kept,,wikitext,true,false,false
36,battle_1353923,Herodium,repaired,,wikitext,true,false,false
37,battle_4534946,Battle of Mayi,repaired,,wikitext,true,false,false
38,battle_4626624,Han–Xiongnu Wars,repaired,,wikitext,true,false,false
39,battle_6469947,Siege of Numantia,kept,,wikitext,true,false,false
40,battle_229562,First Servile War,kept,,wikitext,true,false,false
41,battle_39899639,Han conquest of Dian,repaired,,wikitext,true,false,false
42,battle_1356252,Jewish–Roman wars,repaired,,wikitext,true,false,false
43,battle_79629525,Sunpadh Rebellion,kept,,wikitext,true,false,false
44,battle_39871561,Han campaigns against Minyue,repaired,,wikitext,true,false,false
45,battle_82484704,Siege of Dong'ou,kept,,wikitext,true,false,false
46,battle_54202353,Burnswark Hill,repaired,,wikitext,true,false,false
47,battle_6469951,Numantine War,kept,,wikitext,true,false,false
48,battle_2462997,Battle of the Oenoparus,kept,,wikitext,true,false,false
49,battle_31697331,Achaean War,kept,,wikitext,true,false,false
50,battle_2924155,Battle of Corinth (146 BC),kept,,wikitext,true,false,false
51,battle_42545487,Battle of Scarpheia,kept,,wikitext,true,false,false
52,battle_36192780,Battle of Nepheris (147 BC),kept,,wikitext,true,false,false
53,battle_36193794,Battle of the Port of Carthage,kept,,wikitext,true,false,false
54,battle_686151,List of aircraft losses of the Vietnam War,quarantined,insufficient_source_evidence|no_infobox_and_no_result,wikitext,false,true,false
55,battle_3154899,Battle of Pydna (148 BC),kept,,wikitext,true,false,false
56,battle_51804400,Battle of Lake Tunis,kept,,wikitext,true,false,false
57,battle_266649,Siege of Carthage (Third Punic War),kept,,wikitext,true,false,false
58,battle_57551,Third Punic War,kept,,wikitext,true,false,false
59,battle_242356,Fourth Macedonian War,kept,,wikitext,true,false,false
60,battle_68318828,Battle of Oroscopa,kept,,wikitext,true,false,false
61,battle_356163,Rebellion of the Seven States,kept,,wikitext,true,false,false
62,battle_6906723,Lusitanian Wars,kept,,wikitext,true,false,false
63,battle_1066080,Battle of Elasa,kept,,wikitext,true,false,false
64,battle_3158121,Battle of Adasa,kept,,wikitext,true,false,false
65,battle_24968386,Battle of Vijithapura,repaired,,wikitext,true,false,false
66,battle_24344027,Roman–Parthian War of 161–166,kept,,wikitext,true,false,false
67,battle_997586,Battle of Beth Zechariah,kept,,wikitext,true,false,false
68,battle_60182017,Siege of Edessa (163),repaired,,wikitext,true,false,false
69,battle_3161575,Battle of Beth Zur,kept,,wikitext,true,false,false
70,battle_11056490,Battle of Ctesiphon (165),kept,,wikitext,true,false,false
