analytic_commander_id,commander_name,total_score,score_from_overall_command,score_from_principal_field_command,score_from_subordinate_command,score_from_coalition_command,score_from_siege_engineering,score_from_naval_command,score_from_staff_or_planning,score_from_nominal_or_political,score_from_unclear_role,score_from_wing_or_corps_command,share_unclear_role,share_nominal_or_political,share_direct_field_command,role_weighted_total,role_unweighted_total,mean_role_confidence,dominant_role_class,role_adjustment_factor
acmd_00002a28fd55,Ayas Mehmed Pasha,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.3875,principal_field_commander,0.8500000000000001
acmd_0001d87be79e,Bernard Evans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,coalition_commander,0.4
acmd_0007bad37a1a,"Herman of Hesse,<br>Administrator of Cologne",0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_0008091e2da5,Crnojević noble family,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_000987294550,Rostislav Vsevolodovich,0.46188000000000007,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39259800000000006,0.46188000000000007,0.65,principal_field_commander,0.85
acmd_00099f36f38e,George Wood,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_0009b1c64e20,François Roguet,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_000d64418ade,Juan Banderas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,unclear_role,0.4
acmd_0010225d3bc8,Azarethes,1.1838712,0.0,1.1313712,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.04434604034628091,0.0,0.9556539596537191,0.98266552,1.1838712,0.5333333333333333,principal_field_commander,0.8300442818441736
acmd_00141b520281,Pavel Rybalko,1.4477616000000002,0.0,0.46188000000000007,0.0,0.5333331200000001,0.0,0.0,0.0,0.0,0.45254848000000003,0.0,0.31258494492463396,0.0,0.3190304260038393,0.9469505760000001,1.4477616000000002,0.5,coalition_commander,0.6540790804231856
