analytic_commander_id,commander_name,battle_id,page_title,page_type,role_class,role_confidence,role_source,role_notes
acmd_a77e878f5a0e,Publius Ostorius Scapula,battle_1269828,Caratacus' last battle,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_06f594e1cbc4,Caratacus,battle_1269828,Caratacus' last battle,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_492f2027da9b,Gaius Marius,battle_1187231,Battle of Vercellae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_74abd6d78f55,Quintus Lutatius Catulus,battle_1187231,Battle of Vercellae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_ef3c63bd9f7a,Lucius Cornelius Sulla,battle_1187231,Battle of Vercellae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_69d20990e1e1,Boiorix,battle_1187231,Battle of Vercellae,battle_article,wing_or_corps_commander,0.55,heuristic_same_side_density,Battle page with many same-side commanders; inferred wing/corps-level or shared command.
acmd_e1bba013d4e0,Lugius,battle_1187231,Battle of Vercellae,battle_article,wing_or_corps_commander,0.55,heuristic_same_side_density,Battle page with many same-side commanders; inferred wing/corps-level or shared command.
acmd_d4f468f1fdf7,Claodicus,battle_1187231,Battle of Vercellae,battle_article,wing_or_corps_commander,0.55,heuristic_same_side_density,Battle page with many same-side commanders; inferred wing/corps-level or shared command.
acmd_4b1ec2ef1278,Caesorix,battle_1187231,Battle of Vercellae,battle_article,wing_or_corps_commander,0.55,heuristic_same_side_density,Battle page with many same-side commanders; inferred wing/corps-level or shared command.
acmd_b6c1acd3c746,Decebalus,battle_5905704,Third Battle of Tapae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_de54e69c4671,Trajan,battle_5905704,Third Battle of Tapae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_b6c1acd3c746,Decebalus,battle_1711717,Trajan's Dacian Wars,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_de54e69c4671,Trajan,battle_1711717,Trajan's Dacian Wars,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_de54e69c4671,Trajan,battle_8467905,Trajan's First Dacian War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_b6c1acd3c746,Decebalus,battle_8467905,Trajan's First Dacian War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_b6c1acd3c746,Decebalus,battle_5999960,Battle of Adamclisi,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_de54e69c4671,Trajan,battle_5999960,Battle of Adamclisi,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_492f2027da9b,Gaius Marius,battle_2224425,Battle of Aquae Sextiae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_bc75096bfa32,Teutobod,battle_2224425,Battle of Aquae Sextiae,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_74abd6d78f55,Quintus Lutatius Catulus,battle_61275535,Battle of Tridentum,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_69d20990e1e1,Boiorix,battle_61275535,Battle of Tridentum,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_3a8b28a1d30e,Publius Licinius Nerva,battle_895420,Second Servile War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_9f9e9c0373ff,Lucius Licinius Lucullus,battle_895420,Second Servile War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_23f5e8d776f5,Manius Aquillius,battle_895420,Second Servile War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_e154a346d539,Salvius Tryphon,battle_895420,Second Servile War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_8c20d1d8b4e8,Athenion of Cilicia,battle_895420,Second Servile War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_ca8d6fd8cd3a,Li Guangli,battle_34184306,War of the Heavenly Horses,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_de588f6566f4,Shangguan Jie,battle_34184306,War of the Heavenly Horses,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_a6d6ea39501e,Wugua,battle_34184306,War of the Heavenly Horses,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_2701794449b5,Jianmi,battle_34184306,War of the Heavenly Horses,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_69d20990e1e1,Boiorix,battle_1406206,Battle of Arausio,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_bc75096bfa32,Teutobod,battle_1406206,Battle of Arausio,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_bfd23c2fa193,Quintus Servilius Caepio,battle_1406206,Battle of Arausio,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_59e830de0b86,Gnaeus Mallius Maximus,battle_1406206,Battle of Arausio,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_de54e69c4671,Trajan,battle_8468666,Trajan's Second Dacian War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_b6c1acd3c746,Decebalus,battle_8468666,Trajan's Second Dacian War,war_conflict_article,unclear_role,0.3,heuristic_broad_page,War/broad-conflict page; role is ambiguous without curated body evidence.
acmd_b6c1acd3c746,Decebalus,battle_30863164,Battle of Sarmizegetusa,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_de54e69c4671,Trajan,battle_30863164,Battle of Sarmizegetusa,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_025093dec08b,Jugurtha,battle_61309241,Second Battle of Cirta,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_37cda0d624c1,Bocchus I,battle_61309241,Second Battle of Cirta,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_492f2027da9b,Gaius Marius,battle_61309241,Second Battle of Cirta,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_ef3c63bd9f7a,Lucius Cornelius Sulla,battle_61309241,Second Battle of Cirta,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_492f2027da9b,Gaius Marius,battle_63509993,Siege of the fortress at Muluccha,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_d049e12df3a6,Lucius Cassius Longinus,battle_36242133,Battle of Burdigala,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_b11a5e556142,Lucius Calpurnius Piso Caesoninus,battle_36242133,Battle of Burdigala,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_d0536f03707c,Divico,battle_36242133,Battle of Burdigala,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_6803c5b268a2,Zhao Ponu,battle_4534026,Battle of Loulan,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_4471ba9d3219,Quintus Caecilius Metellus Numidicus,battle_9292796,Siege of Thala,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_025093dec08b,Jugurtha,battle_3122531,Battle of the Muthul,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_9935ddbba578,Bomilcar,battle_3122531,Battle of the Muthul,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_4471ba9d3219,Quintus Caecilius Metellus Numidicus,battle_3122531,Battle of the Muthul,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_492f2027da9b,Gaius Marius,battle_3122531,Battle of the Muthul,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_a44d5b8ea564,Publius Rutilius Rufus,battle_3122531,Battle of the Muthul,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_9fb5875112b1,Ugŏ of Gojoseon,battle_19503687,Han conquest of Gojoseon,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_1fd2063e074f,No In,battle_19503687,Han conquest of Gojoseon,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_2167491e033f,Han Ŭm,battle_19503687,Han conquest of Gojoseon,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_1eb66ca275f2,Sam of Gojoseon,battle_19503687,Han conquest of Gojoseon,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
acmd_1e4ac7467f58,Wang Kyŏp,battle_19503687,Han conquest of Gojoseon,battle_article,principal_field_commander,0.65,heuristic_page_type,Battle article; inferred direct field command pending manual role verification.
