analytic_commander_id,display_name,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,rank_high_level_capped,score_high_level_capped,broad_page_contribution_share,battle_siege_page_contribution_share,rank_eligibility_filtered,exclude_from_headline_ranking,rank_role_weighted,score_role_weighted,rank_change_vs_hierarchical_trust_v2,dominant_role_class,share_direct_field_command,share_unclear_role,share_nominal_or_political,role_adjustment_factor,mean_role_confidence,confidence_adjusted_tier,confidence_category,rank_band_width_80,recommended_interpretation,best_rank_pass4_models,worst_rank_pass4_models,rank_range_pass4_models
acmd_48ef72a8fdfd,Alexander Suvorov,1,91.36363636363636,1,91.36363636363636,0.0,1.0,1.0,False,1,90.2215909090909,0,overall_commander,1.0,0.0,0.0,1.0,0.95,"Tier A, confidence-supported robust elite",narrow,8.1,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported.",1.0,1.0,0.0
acmd_fe8dcb104442,"Maurice, Prince of Orange",2,88.55014058106843,2,88.55014058106843,0.0,1.0,2.0,False,3,85.22951030927837,1,overall_commander,1.0,0.0,0.0,1.0,0.8500000000000001,"Tier B, confidence-supported elite",moderate,22.0,Rank band is reasonably constrained under current model assumptions.,2.0,3.0,1.0
acmd_dba8ec42eadd,Napoleon Bonaparte,3,88.42174320524836,3,88.42174320524836,0.0,1.0,3.0,False,2,87.31647141518275,-1,overall_commander,1.0,0.0,0.0,1.0,0.9499999999999998,"Tier A, confidence-supported robust elite",narrow,7.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported.",2.0,3.0,1.0
acmd_57806d8d6048,Subutai,4,88.30178069353329,4,88.30178069353329,0.048559,0.951441,4.0,False,11,71.30368791002813,7,principal_field_commander,1.0,0.0,0.0,0.85,0.8,"Tier B, confidence-supported elite",wide,37.2,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,4.0,11.0,7.0
acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",5,86.81443298969073,5,86.81443298969073,0.0,1.0,5.0,False,23,60.01047680412372,18,siege_engineer_or_specialist,0.0,0.0,0.0,0.7,0.95,"Tier B, confidence-supported elite",wide,52.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,5.0,23.0,18.0
acmd_c1296858a3ca,Jean Lannes,6,86.81162136832239,6,86.81162136832239,0.0136,0.9864,6.0,False,9,71.94513120899718,3,principal_field_commander,1.0,0.0,0.0,0.85,0.9,"Tier A, confidence-supported robust elite",narrow,7.0,"Robust elite: exact rank is still not historical truth, but elite-band placement is strongly supported.",6.0,9.0,3.0
acmd_6c87ea380ff8,Louis-Nicolas Davout,7,86.67104029990628,7,86.67104029990628,0.026875,0.973125,7.0,False,10,71.82862464854733,3,principal_field_commander,1.0,0.0,0.0,0.85,0.9,"Tier B, confidence-supported elite",wide,36.2,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,7.0,10.0,3.0
acmd_0718c2b706e8,Douglas MacArthur,8,86.27553889409559,8,86.27553889409559,0.066491,0.933509,8.0,False,41,56.61832239925023,33,coalition_commander,0.0,0.0,0.0,0.7,0.75,"Tier B, confidence-supported elite",wide,86.1,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,8.0,41.0,33.0
acmd_7305f32ff4a6,Charles XIV John,9,86.09090909090911,9,86.09090909090911,0.033408,0.966592,9.0,False,43,56.4971590909091,34,coalition_commander,0.0,0.0,0.0,0.7,0.75,"Tier B, confidence-supported elite",wide,42.3,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,9.0,43.0,34.0
acmd_3fe0c4409371,Ivan Paskevich,10,86.08247422680412,10,86.08247422680412,0.057642,0.942358,10.0,False,4,82.85438144329898,-6,overall_commander,1.0,0.0,0.0,1.0,0.85,"Tier C, high-ranking but confidence-limited",very_wide,194.2,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,4.0,10.0,6.0
acmd_36041001b0b5,Louis XIV,11,85.58950328022492,11,85.58950328022492,0.077055,0.922945,11.0,False,987,16.04803186504217,976,nominal_or_political_leader,0.0,0.0,1.0,0.19999999999999998,0.75,"Tier B, confidence-supported elite",wide,88.0,High-ranking but confidence-limited: emphasize tier and interval over exact rank.,11.0,987.0,976.0
