display_name,canonical_wikipedia_url,primary_era_bucket,rank_hierarchical_trust_v2,score_hierarchical_trust_v2,trust_tier_v2,trust_confidence_v2,rank_range,top25_appearances,known_outcome_count,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,caution_flags,trust_headline_reason_v2
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,1.0,91.36363636363637,robust_elite_core,high,3.0,6,18,19,13,23,,Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 3.
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,2.0,88.55014058106843,robust_elite_core,very_high,12.0,6,35,36,14,11,,Trust-first v2 rank 2 with very_high confidence; Top-25 in 6 trusted models and rank spread 12.
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,3.0,88.42174320524836,robust_elite_core,very_high,4.0,6,60,65,25,56,,Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 4.
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,4.0,88.30178069353329,high_confidence_upper_band,moderate,25.0,5,16,13,12,12,,High-confidence upper-band commander; rank 4 but not stable enough for the headline core.
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,5.0,86.81443298969073,high_confidence_upper_band,moderate,6.0,6,13,13,7,13,,High-confidence upper-band commander; rank 5 but not stable enough for the headline core.
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,6.0,86.81162136832239,robust_elite_core,high,15.0,6,27,25,15,22,,Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 15.
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,7.0,86.67104029990628,robust_elite_core,high,14.0,6,20,22,10,20,,Trust-first v2 rank 7 with high confidence; Top-25 in 6 trusted models and rank spread 14.
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,8.0,86.27553889409559,model_sensitive_band,caution,71.0,4,20,18,15,10,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,9.0,86.09090909090911,robust_elite_core,high,7.0,6,16,16,11,26,,Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 7.
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,10.0,86.08247422680412,model_sensitive_band,caution,58.0,4,9,7,7,10,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,11.0,85.58950328022492,high_confidence_upper_band,moderate,38.0,4,11,8,8,18,,High-confidence upper-band commander; rank 11 but not stable enough for the headline core.
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,12.0,85.47985004686036,high_confidence_upper_band,moderate,33.0,4,15,17,11,19,,High-confidence upper-band commander; rank 12 but not stable enough for the headline core.
Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,13.0,85.11152764761013,high_confidence_upper_band,moderate,40.0,3,21,22,19,26,,High-confidence upper-band commander; rank 13 but not stable enough for the headline core.
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,14.0,85.02999062792877,high_confidence_upper_band,moderate,38.0,4,18,15,8,9,,High-confidence upper-band commander; rank 14 but not stable enough for the headline core.
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,15.0,84.89409559512653,high_confidence_upper_band,moderate,26.0,5,19,19,7,15,,High-confidence upper-band commander; rank 15 but not stable enough for the headline core.
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,16.0,84.28584817244611,high_confidence_upper_band,moderate,27.0,3,37,40,19,27,,High-confidence upper-band commander; rank 16 but not stable enough for the headline core.
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,17.0,83.99250234301782,high_confidence_upper_band,moderate,25.0,5,18,19,10,18,,High-confidence upper-band commander; rank 17 but not stable enough for the headline core.
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,18.0,83.5801312089972,high_confidence_upper_band,moderate,28.0,5,39,40,18,24,,High-confidence upper-band commander; rank 18 but not stable enough for the headline core.
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,19.0,83.50609184629803,model_sensitive_band,caution,194.0,2,15,12,9,9,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,20.0,83.04029990627929,model_sensitive_band,caution,66.0,3,17,20,12,2,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,21.0,82.21180880974696,model_sensitive_band,caution,104.0,2,12,9,15,10,higher_level_dependent,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,22.0,82.12089971883786,model_sensitive_band,caution,179.0,3,9,8,6,13,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,23.0,81.81630740393626,high_confidence_upper_band,moderate,35.0,3,11,17,6,15,,High-confidence upper-band commander; rank 23 but not stable enough for the headline core.
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,long_nineteenth_century,24.0,81.72352389878164,model_sensitive_band,caution,92.0,3,8,8,6,9,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,25.0,81.60262417994377,high_confidence_upper_band,moderate,39.0,3,18,25,4,8,,High-confidence upper-band commander; rank 25 but not stable enough for the headline core.
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,26.0,81.10777881911903,model_sensitive_band,caution,99.0,0,9,8,11,29,,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,27.0,80.92502343017806,high_confidence_upper_band,moderate,39.0,3,9,9,6,11,,High-confidence upper-band commander; rank 27 but not stable enough for the headline core.
