display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,4.0,4.0,1.0,1.0,1.0,1.0,1.0,98.02176696542894,91.36363636363637,91.16947828803501,robust_elite_core,high,Trust-first v2 rank 1 with high confidence; Top-25 in 6 trusted models and rank spread 3.,20,19,13,23,18,V=17; D=1; N=0; U=2,B=19; O=0; C=0; W=1,battle_dominant,core_stable,
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,8.0,14.0,2.0,5.0,4.0,3.0,6.0,95.95070422535211,88.55014058106843,87.11012183692598,robust_elite_core,very_high,Trust-first v2 rank 2 with very_high confidence; Top-25 in 6 trusted models and rank spread 12.,38,36,14,11,35,V=28; D=7; N=0; U=3,B=36; O=0; C=0; W=2,battle_dominant,stable,
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,3.0,3.0,3.0,6.0,5.0,2.0,5.0,98.1370038412292,88.42174320524836,87.04389253358326,robust_elite_core,very_high,Trust-first v2 rank 3 with very_high confidence; Top-25 in 6 trusted models and rank spread 4.,67,65,25,56,60,V=49; D=9; N=2; U=7,B=65; O=0; C=0; W=2,battle_dominant,core_stable,
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,14.0,28.0,4.0,3.0,6.0,4.0,3.0,92.70486555697823,88.30178069353329,87.68228678537959,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 4 but not stable enough for the headline core.,16,13,12,12,16,V=14; D=2; N=0; U=0,B=13; O=0; C=0; W=3,battle_dominant,model_sensitive,
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,9.0,9.0,5.0,4.0,3.0,5.0,10.0,95.85467349551857,86.81443298969073,87.21274601686973,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 5 but not stable enough for the headline core.,16,13,7,13,13,V=12; D=0; N=1; U=3,B=13; O=0; C=0; W=3,battle_dominant,core_stable,
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,2.0,2.0,6.0,9.0,9.0,13.0,17.0,99.28937259923175,86.81162136832239,85.12949078412996,robust_elite_core,high,Trust-first v2 rank 6 with high confidence; Top-25 in 6 trusted models and rank spread 15.,28,25,15,22,27,V=24; D=2; N=1; U=1,B=25; O=0; C=0; W=3,battle_dominant,stable,
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,21.0,8.0,7.0,8.0,44.0,9.0,18.0,91.66453265044814,86.67104029990628,85.50062480474851,robust_elite_core,high,Trust-first v2 rank 7 with high confidence; Top-25 in 6 trusted models and rank spread 14.,25,22,10,20,20,V=15; D=5; N=0; U=5,B=22; O=0; C=0; W=3,battle_dominant,stable,
Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,44.0,79.0,8.0,14.0,27.0,22.0,15.0,85.49615877080666,86.27553889409559,83.40378006872852,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",22,18,15,10,20,V=14; D=4; N=2; U=2,B=18; O=3; C=0; W=1,battle_dominant,highly_model_sensitive,
Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,15.0,13.0,9.0,10.0,8.0,11.0,16.0,92.48719590268887,86.09090909090911,84.87550765385818,robust_elite_core,high,Trust-first v2 rank 9 with high confidence; Top-25 in 6 trusted models and rank spread 7.,21,16,11,26,16,V=15; D=1; N=0; U=5,B=16; O=0; C=0; W=5,battle_dominant,core_stable,
Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,46.0,60.0,10.0,2.0,2.0,7.0,2.0,84.64148527528809,86.08247422680412,88.30615432677288,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,7,7,10,9,V=8; D=1; N=0; U=0,B=7; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
