battle_id,battle_name,battle_name_normalized,wikipedia_title,source_url,date_raw,start_date,end_date,year,century,date_parse_confidence,war_name,campaign_name,location_raw,location_normalized,latitude,longitude,present_day_country,result_raw,result_normalized,result_type,belligerent_1_raw,belligerent_2_raw,belligerent_3_raw,commander_side_a_raw,commander_side_b_raw,commander_side_c_raw,strength_side_a_raw,strength_side_b_raw,strength_side_c_raw,casualties_side_a_raw,casualties_side_b_raw,casualties_side_c_raw,strength_side_a_min,strength_side_a_max,strength_side_b_min,strength_side_b_max,casualties_side_a_min,casualties_side_a_max,casualties_side_b_min,casualties_side_b_max,page_type,page_type_confidence,classification_notes,acceptance_reason,battle_type,infobox_present,text_length,categories,list_page_origin,parent_list_page,discovery_root,source_family,extraction_confidence,notes,quarantine_reason,validation_status
battle_686151,List of aircraft losses of the Vietnam War,List of aircraft losses of the Vietnam War,List of aircraft losses of the Vietnam War,https://en.wikipedia.org/wiki/List_of_aircraft_losses_of_the_Vietnam_War,Model 147,,,147,2,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.67,list-page signals | war/conflict title | war/conflict-like title only,list-page signals | war/conflict title | war/conflict-like title only | fallback wikitext extraction,war_conflict,False,24197,All articles with dead external links | All articles with unsourced statements | Articles with dead external links from August 2023 | Articles with permanently dead external links | Articles with short description | Articles with unsourced statements from December 2024 | Articles with unsourced statements from July 2025 | CS1 maint: archived copy as title | Lists of aviation accidents and incidents | Military equipment of the Vietnam War | Military history of Australia during the Vietnam War | Military history of the United States during the Vietnam War | Short description is different from Wikidata | Use dmy dates from September 2020 | Vietnam War-related lists,,,,,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_3175692,Battle of Cyzicus (193),Battle of Cyzicus,Battle of Cyzicus (193),https://en.wikipedia.org/wiki/Battle_of_Cyzicus_%28193%29,193–194,,,193,2,0.5,,,,,40.38,27.89,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,land_battle,False,1047,190s conflicts | 190s in the Roman Empire | 193 | All stub articles | Ancient Roman battle stubs | Articles with short description | Battles involving the Roman Empire | CS1 maint: work parameter with ISBN | Coordinates on Wikidata | Pages using gadget WikiMiniAtlas | Short description matches Wikidata,List of battles before 301,List of battles before 301,Lists of battles,period_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_1388504,List of sieges of Constantinople,List of sieges of Constantinople,List of sieges of Constantinople,https://en.wikipedia.org/wiki/List_of_sieges_of_Constantinople,193–196,,,193,2,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,list-page signals | battle-like title | battle categories,list-page signals | battle-like title | battle categories | fallback wikitext extraction,siege,False,2887,All articles with dead external links | All articles with unsourced statements | Articles with dead external links from March 2023 | Articles with permanently dead external links | Articles with short description | Articles with unsourced statements from November 2023 | Lists of sieges | Short description is different from Wikidata | Sieges of Constantinople,,,,,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_3543978,Battle of Nasielsk,Battle of Nasielsk,Battle of Nasielsk,https://en.wikipedia.org/wiki/Battle_of_Nasielsk,202–203,,,202,3,0.5,,,,,52.6,20.8,,Karnicki raided Ciechanów and captured the Soviet IV Army's plans and cyphers.,Unknown,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories,battle-like title | battle categories | fallback wikitext extraction,land_battle,False,1218,1920 in Poland | August 1920 in Europe | Battles in 1920 | Battles of the Polish–Soviet War | Coordinates on Wikidata | Pages using gadget WikiMiniAtlas,List of battles 1901–2000 | List of battles by geographic location,List of battles 1901–2000 | List of battles by geographic location,Lists of battles,list_misc,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_838382,Macedonian Wars,Macedonian Wars,Macedonian Wars,https://en.wikipedia.org/wiki/Macedonian_Wars,214–148,,,214,3,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories,battle categories | war/conflict title | war/conflict categories | fallback wikitext extraction,war_conflict,False,14076,2nd-century BC conflicts | 2nd century BC in the Roman Republic | 3rd-century BC conflicts | 3rd century BC in the Roman Republic | All articles with failed verification | All articles with unsourced statements | Articles with failed verification from June 2021 | Articles with short description | Articles with unsourced statements from April 2021 | Macedonian Wars | Short description is different from Wikidata | Wars involving Antigonid Macedon | Wars involving the Roman Republic,List of battles by geographic location | List of wars: before 1000,List of battles by geographic location | List of wars: before 1000,Lists of battles,list_misc | period_based,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_50007544,Battle of Ephesus (ca. 258 BC),Battle of Ephesus,Battle of Ephesus (ca. 258 BC),https://en.wikipedia.org/wiki/Battle_of_Ephesus_%28ca._258_BC%29,260–253,,,260,3,0.5,,,,,,,,Defeat,Defeat,defeat,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | war/conflict categories,battle-like title | battle categories | war/conflict categories | fallback wikitext extraction,naval_battle,False,1263,250s BC conflicts | 3rd century BC in Greece | All articles lacking in-text citations | All stub articles | Ancient Aegean Sea | Ancient Greek battle stubs | Articles lacking in-text citations from July 2024 | Articles with short description | CS1 German-language sources (de) | Ephesus | Naval battles involving ancient Rhodes | Naval battles involving the Ptolemaic Kingdom | Short description matches Wikidata,List of battles before 301 | List of naval battles,List of battles before 301 | List of naval battles,Lists of battles,battle_type_based | period_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_37427719,Roman–Gallic wars,Roman–Gallic wars,Roman–Gallic wars,https://en.wikipedia.org/wiki/Roman%E2%80%93Gallic_wars,269-267,,,269,3,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories,battle categories | war/conflict title | war/conflict categories | fallback wikitext extraction,war_conflict,False,7215,1st-century BC conflicts | 1st century BC in the Roman Republic | 2nd-century BC conflicts | 2nd century BC in the Roman Republic | 3rd-century BC conflicts | 3rd century BC in the Roman Republic | 4th-century BC conflicts | 4th century BC in the Roman Republic | Articles with short description | Pre-Roman Gaul | Short description is different from Wikidata | Wars involving the Celts | Wars involving the Roman Republic,List of battles by casualties | List of battles by geographic location,List of battles by casualties | List of battles by geographic location,Lists of battles,list_misc,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_57639218,Roman–Greek wars,Roman–Greek wars,Roman–Greek wars,https://en.wikipedia.org/wiki/Roman%E2%80%93Greek_wars,280–275,,,280,3,0.5,,,,,,,,Victory,Victory,victory,,,,,,,,,,,,,,,,,,,,,war_conflict_article,0.83,battle categories | war/conflict title | war/conflict categories,battle categories | war/conflict title | war/conflict categories | fallback wikitext extraction,war_conflict,False,2123,2nd-century BC conflicts | 2nd century BC in Greece | 2nd century BC in the Roman Republic | 3rd-century BC conflicts | 3rd century BC in Greece | 3rd century BC in the Roman Republic | All set index articles | Articles with short description | Greece in the Roman era | Roman–Greek wars | Set index articles | Short description is different from Wikidata | Wars involving ancient Greece | Wars involving the Roman Republic | Wars of the Hellenistic period,List of wars by death toll,List of wars by death toll,Lists of battles,war_conflict_based,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence,quarantined
battle_28131408,Tonkawa massacre,Tonkawa massacre,Tonkawa massacre,https://en.wikipedia.org/wiki/Tonkawa_massacre,300-390,,,300,3,0.5,,,,,,,,,,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.83,battle-like title | battle categories | campaign signals,battle-like title | battle categories | campaign signals | fallback wikitext extraction,massacre,False,4132,1862 in North America | 1862 murders in the United States | All articles needing coordinates | Articles missing coordinates without coordinates on Wikidata | Articles with short description | History of Texas | Massacres committed by Native Americans | Massacres in the American Civil War | Massacres of Native Americans | Military operations of the American Civil War in Indian Territory | Native American tribes in Texas | October 1862 | Short description matches Wikidata | Texas articles missing geocoordinate data | Tonkawa history | Union war crimes | Webarchive template wayback links,,,,,0.2,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
battle_2966150,Aornos,Aornos,Aornos,https://en.wikipedia.org/wiki/Aornos,April 326,,,326,4,0.5,,,,,31,74,,Alexander in the vanguard and his first force were later repelled by boulders rolled down from above.,Unknown,unknown,,,,,,,,,,,,,,,,,,,,,battle_article,0.5,battle categories,battle categories | fallback wikitext extraction,siege,False,3458,All Wikipedia articles written in Indian English | Articles containing Ancient Greek (to 1453)-language text | Articles with short description | Battles of Alexander the Great | Coordinates on Wikidata | Military history of Pakistan | Pages using gadget WikiMiniAtlas | Short description is different from Wikidata | Sieges of antiquity | Use Indian English from March 2016 | Use dmy dates from March 2025,,,,,0.4,validated_rebuild_mode=wikitext,insufficient_source_evidence|no_infobox_and_no_result,quarantined
