analytic_commander_id,display_name,page_type,raw_score_contribution,weighted_score_contribution,absolute_weighted_score_contribution,weighted_presence,known_outcome_rows,engagement_rows,unknown_outcome_rows,total_absolute_weighted_score_contribution,share_of_total_score
acmd_00002a28fd55,Ayas Mehmed Pasha,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0007bad37a1a,"Herman of Hesse,<br>Administrator of Cologne",battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0008091e2da5,Crnojević noble family,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_000987294550,Rostislav Vsevolodovich,battle_article,-0.46188,-0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_00099f36f38e,George Wood,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_0009b1c64e20,François Roguet,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_0010225d3bc8,Azarethes,battle_article,0.0,0.0,1.131371,2.0,2,2,0,1.1313712,1.0
acmd_0010225d3bc8,Azarethes,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,1.1313712,0.0
acmd_00141b520281,Pavel Rybalko,operation_article,1.232352,0.985882,0.985882,2.4,3,3,0,1.4477616000000002,0.68097
acmd_00141b520281,Pavel Rybalko,battle_article,0.46188,0.46188,0.46188,1.0,1,1,0,1.4477616000000002,0.31903
acmd_0014d0bfff7b,Antoine-Henri Jomini,battle_article,-0.372094,-0.372094,0.372094,2.0,2,2,0,0.37209440000000005,1.0
acmd_0014f7ebc1c6,Luchino Visconti,war_conflict_article,-0.282842,-0.098995,0.098995,0.35,1,1,0,0.09899483999999999,1.0
acmd_0014f7ebc1c6,Luchino Visconti,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.09899483999999999,0.0
acmd_001641bfc5b4,French First Republic Pierre Dumesny,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_001736c90d5f,Thomas Jefferson,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_0018bd671dde,Abu Bakr,battle_article,2.098834,2.098834,2.604799,8.0,7,8,1,2.7447992000000005,0.948994
acmd_0018bd671dde,Abu Bakr,war_conflict_article,0.4,0.14,0.14,0.35,1,1,0,2.7447992000000005,0.051006
acmd_00220f0ed47f,Gustav Anton von Wietersheim,battle_article,0.282842,0.282842,0.282842,2.0,1,2,1,0.2828424,1.0
acmd_0023b26b51a6,Callias,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0026c6d2c1c5,Gabino Gaínza,battle_article,0.0,0.0,0.0,2.0,0,2,2,0.0,0.0
acmd_002d0e0558fd,Oskar Vinte,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_002d388a9c01,Al-Saadi Gaddafi,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0034cb4f12b6,Francesco II Pico della Mirandola,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_00379ad78b48,Jason Kenney,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_003c3e137cdd,Mir Muhammed Ali Khan,battle_article,0.22188,0.22188,0.22188,1.0,1,1,0,0.22188,1.0
acmd_003d1b46d7ff,"Alexandre Maître, Marquis de Bay",battle_article,1.034314,1.034314,2.165686,3.0,3,3,0,2.1656856,1.0
acmd_003de79af1fd,Sylejman Selimi,war_conflict_article,0.0,0.0,0.0,0.7,0,2,2,0.0,0.0
acmd_003fb3f79d1c,Han Fuju,war_conflict_article,0.326598,0.114309,0.114309,0.7,1,2,1,0.11430944,1.0
acmd_003fb3f79d1c,Han Fuju,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.11430944,0.0
acmd_004119a3e67e,Iwan Sternberg,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00421b82c068,"Nicholas Fleming, Mayor of York",battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
